"TI3";""MorEel"";""LizFish"";""RaySha"";""CatFish"";""SnapGru"";""PuffFish"";""Doplh"";""FlatFish"";""Demers"";""PortCrab"";""EpBenth"";""Shrimp"";""Spale"";""Benth"";""SerSco"";""Car"";""Bird"";""Zoopl"";""Baci"";""Phyto"";;SUM
""Car"";"0,03";"0,03";"0,03";"0,02";"0,05";"0,03";"0,09";"0,03";"0,05";"0,04";"0,04";"0,05";"0,06";"0,05";"0,03";"0,04";"0,03";"0,07";"0,04";"0,04";;"0,83"
""Bird"";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,03";"0,03";"0,01";"0,04";"0,03";"0,01";"0,01";"0,03";"0,01";"0,02";"0,02";;"0,35"
""Zoopl"";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,04";"0,02";"0,05";"0,05";"0,05";"0,05";"0,02";"0,06";"0,03";"0,05";"0,10";"0,10";;"0,79"
""Baci"";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,01";"0,01";"0,02";"0,03";"0,04";"0,04";"0,01";"0,04";"0,01";"0,02";"0,02";"0,06";"0,03";"0,03";;"0,45"
""Phyto"";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,03";"0,04";"0,04";"0,04";"0,01";"0,02";"0,02";"0,06";"0,03";"0,03";;"0,46"


"WI3";""MorEel"";""LizFish"";""RaySha"";""CatFish"";""SnapGru"";""PuffFish"";""Doplh"";""FlatFish"";""Demers"";""PortCrab"";""EpBenth"";""Shrimp"";""Spale"";""Benth"";""SerSco"";""Car"";""Bird"";""Zoopl"";""Baci"";""Phyto"";;SUM
""MorEel"";"435,24";"963,84";"1070,68";"437,53";"1820,05";"1748,92";"435,74";"3868,39";"18227,21";"63678,26";"237768,01";"95034,16";"301352,91";"1345124,29";"1157,97";"16888,11";"5321,38";"24843626,26";"4551307,58";"24076750,21";;"55567016,75"
""LizFish"";"889,70";"1950,76";"2150,49";"878,34";"3818,98";"3502,38";"1039,28";"7683,47";"49841,67";"110504,73";"478266,96";"198916,14";"964566,38";"2557039,97";"2417,96";"53974,09";"9600,11";"46434612,45";"14569838,28";"80650460,89";;"146101953,03"
""RaySha"";"1070,68";"2329,70";"2285,60";"897,09";"3905,74";"4011,16";"1066,19";"8110,56";"45267,49";"188459,73";"681013,88";"283255,52";"915274,64";"4191385,76";"3257,40";"49131,30";"10120,16";"79768052,79";"12944135,09";"71858419,46";;"170961449,94"
""CatFish"";"336,56";"731,95";"690,07";"270,85";"1100,91";"1252,28";"122,88";"2468,74";"9123,67";"62868,49";"205373,96";"83723,12";"159884,35";"1332364,23";"1070,04";"7989,78";"2638,99";"25938608,58";"2102699,57";"11104261,26";;"41017580,28"
""SnapGru"";"1820,05";"4137,23";"3905,74";"1431,18";"7023,52";"6453,98";"5094,84";"13084,75";"93194,49";"326666,54";"1247774,19";"530650,83";"2073700,02";"7640066,28";"5578,76";"117575,16";"29241,37";"146757135,05";"29359673,59";"166581224,03";;"354805431,58"
""PuffFish"";"941,73";"2043,06";"2159,86";"876,60";"3475,22";"3723,90";"262,11";"7854,88";"29541,91";"177160,09";"594072,50";"237225,07";"462138,50";"3691804,00";"2699,16";"23470,50";"8860,49";"71136580,82";"6449963,98";"32861424,95";;"115696279,33"
""Doplh"";"201,11";"519,64";"492,09";"73,73";"2351,46";"224,67";"5440,40";"636,03";"111822,41";"2912,10";"438475,91";"235359,20";"3048267,84";"1813694,67";"428,88";"175225,74";"12875,26";"29432017,88";"45068347,56";"266837163,21";;"347186529,80"
""FlatFish"";"3570,82";"7683,47";"7486,68";"2962,49";"12078,23";"13465,51";"1272,05";"26736,18";"118030,68";"702072,75";"2378366,80";"976643,41";"2238858,13";"15232447,25";"11111,10";"112607,07";"27846,06";"299157253,79";"30158881,82";"163016994,64";;"514206368,93"
""Demers"";"21031,40";"62302,08";"52231,72";"13685,51";"107532,10";"63304,10";"279556,02";"147538,35";"404845,58";"9168481,00";"68239654,99";"35673482,62";"50049440,77";"561922745,22";"59268,02";"834049,55";"1372458,94";"24597934919,33";"76112429,55";"370590680,72";;"25773109637,58"
""PortCrab"";"78373,25";"147339,64";"231950,44";"100589,58";"402051,13";"404937,36";"7765,59";"936097,00";"9779713,06";"3564205,52";"41869070,12";"18084346,56";"198435051,05";"127011449,24";"125472,76";"11645468,70";"1241917,26";"819966097,09";"3215883711,34";"18166384010,61";;"22616299617,31"
""EpBenth"";"310927,40";"677544,85";"890556,61";"349135,72";"1631704,71";"1442747,51";"1242348,42";"3369352,97";"77338275,65";"44485887,00";"542110071,07";"272746383,18";"2012982006,57";"3054555647,12";"578477,43";"109151652,48";"9672234,00";"96636779679,61";"28896997499,94";"168202833435,85";;"299870145568,10"
""Shrimp"";"109654,80";"248645,17";"326833,30";"125584,69";"612289,42";"508339,43";"588398,00";"1220804,26";"35673482,62";"16954074,90";"240658573,39";"122814606,57";"946435451,65";"1353698993,35";"189943,20";"51426037,12";"4136354,16";"43308162168,05";"13585316957,16";"79371040011,25";;"139040247202,50"
""Spale"";"278171,92";"964566,38";"844868,90";"191861,22";"1914184,63";"792237,42";"6096535,68";"2238858,13";"40039552,61";"148826288,29";"1420928475,23";"757148361,32";"1885832656,68";"11285365212,77";"608711,43";"67254103,89";"29396577,59";"499515885997,40";"14882823161,84";"86588708348,00";;"616636138731,31"
""Benth"";"1655537,58";"3409386,63";"5158628,63";"2131782,76";"9403158,49";"8438409,14";"4836519,12";"20309929,67";"599384261,57";"127011449,24";"2874875903,17";"1443945592,91";"15047153617,02";"12857028526,76";"2376498,27";"851203787,26";"47990613,35";"295031247123,74";"227770443387,85";"1329681267242,24";;"1886389271355,44"
""SerSco"";"712,60";"1611,97";"2004,55";"856,04";"3433,08";"3084,75";"571,84";"7407,40";"31609,61";"62736,38";"272224,67";"101303,04";"405807,62";"1188249,14";"1605,16";"24507,16";"9872,28";"19279843,62";"6946275,72";"34715993,42";;"63059710,06"
""Car"";"11691,77";"40480,57";"34013,98";"7190,80";"81398,19";"30176,36";"262838,61";"84455,30";"500429,73";"6550576,14";"57786168,96";"30855622,27";"50440577,92";"478802130,34";"27570,55";"1065417,75";"1211579,09";"21761180106,35";"151536411,36";"844679621,82";;"23385188457,86"
""Bird"";"1637,35";"3200,04";"3113,90";"1055,60";"8997,34";"5063,14";"8583,51";"9282,02";"365989,05";"310479,31";"2275819,76";"1103027,78";"9798859,20";"11997653,34";"4936,14";"538479,60";"10563,99";"219319293,19";"142839528,56";"842177870,60";;"1230783433,41"
""Zoopl"";"15288385,39";"30956408,30";"49088032,48";"20750886,86";"90312083,11";"81298949,51";"39242690,51";"199438169,20";"13118898623,64";"409983048,55";"45476131613,94";"23097686489,63";"333010590664,93";"147515623561,87";"19279843,62";"19343271205,65";"438638586,38";"15832075082,06";"5186139754981,30";"30522938564414,60";;"36307866873721,50"
""Baci"";"1750502,92";"6070765,95";"4978513,50";"1051349,79";"11292182,15";"4607117,13";"37556956,30";"12566200,76";"25370809,85";"1004963659,79";"8499116911,75";"4528438985,72";"6201176317,43";"71178263558,70";"4341422,32";"84186895,20";"178549410,70";"3241337346863,31";"2843676507,72";"9378264074,54";;"3345343569005,53"
""Phyto"";"9260288,54";"33604358,71";"27637853,64";"5552130,63";"64069701,55";"23472446,39";"222364302,68";"67923747,77";"123530226,91";"5676995003,32";"49471421598,78";"26457013337,08";"36078628478,33";"415525396013,20";"21697495,88";"469266456,57";"1052722338,25";"19076836602759,10";"9378264074,54";"13060065170,86";;"19634605487782,70"

