TI3;"Bird""""";"Ltuna""""";"PelaPred""""";"Stuna""""";"Jack""""";"PelaSha""""";"Dempred""""";"DemFish""""";"Spela""""";"Spar""""";"FlyFish""""";"Herb""""";"Zoopl""""";"Mamm""""";"BillFish""""";"ODemFish""""";"Crus""""";"MolluWorm""""";"HetBenth""""";"ReefFeed""""";"MorEel""""";"BathyDem""""";"DemSha""""";"Turtle""""";"Echino""""";"Ray""""";"BenthAuto""""";"MicroFau""""";"FlatFish""""";"Phyto""""";;SUM
"Echino""""";0,07;0,15;0,07;0,1;0,08;0;0;0,17;0,22;0,2;0,07;0,15;0,23;0,02;0,03;0,17;0,23;0,23;0,23;0,05;0;0,03;0;0;0;0;0,23;0,18;0;0,23;;3,15
"FlatFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"FlyFish""""";0,05;0,07;0,05;0,07;0,07;0;0;0,07;0,07;0,07;0;0,07;0,07;0,02;0,03;0,07;0,07;0,07;0,07;0,05;0;0,03;0;0;0,07;0;0,07;0,07;0;0,07;;1,3
"Herb""""";0,05;0,12;0,05;0,08;0,07;0;0;0,13;0,15;0,15;0,07;0;0,15;0,02;0,03;0,13;0,15;0,15;0,15;0,05;0;0,03;0;0;0,15;0;0,15;0,15;0;0,15;;2,33
"HetBenth""""";0,07;0,17;0,07;0,1;0,08;0;0;0,17;0,25;0,2;0,07;0,15;0,28;0,02;0,03;0,17;0,28;0,28;0;0,05;0;0,03;0;0;0,23;0;0,23;0,18;0;0,27;;3,38
"Jack""""";0,07;0,08;0,07;0,08;0;0;0;0,08;0,08;0,08;0,07;0,07;0,08;0,02;0,03;0,08;0,08;0,08;0,08;0,05;0;0,03;0;0;0,08;0;0,08;0,08;0;0,08;;1,57
"Ltuna""""";0,07;0;0,07;0,1;0,08;0;0;0,13;0,15;0,13;0,07;0,12;0,17;0,02;0,03;0,13;0,17;0,17;0,17;0,05;0;0,03;0;0;0,15;0;0,15;0,13;0;0,15;;2,43
"Mamm""""";0,02;0,02;0,02;0,02;0,02;0;0;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0,02;0,02;0,02;0,02;0,02;0;0,02;0;0;0,02;0;0,02;0,02;0;0,02;;0,37
"MicroFau""""";0,07;0,13;0,07;0,1;0,08;0;0;0,17;0,17;0,18;0,07;0,15;0,18;0,02;0,03;0,17;0,18;0,18;0,18;0,05;0;0,03;0;0;0,18;0;0,18;0;0;0,18;;2,77
"MolluWorm""""";0,07;0,17;0,07;0,1;0,08;0;0;0,17;0,28;0,2;0,07;0,15;0,35;0,02;0,03;0,17;0,28;0;0,28;0,05;0;0,03;0;0;0,23;0;0,23;0,18;0;0,32;;3,53
"MorEel""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ODemFish""""";0,07;0,13;0,07;0,1;0,08;0;0;0,17;0,15;0,17;0,07;0,13;0,17;0,02;0,03;0;0,17;0,17;0,17;0,05;0;0,03;0;0;0,17;0;0,17;0,17;0;0,17;;2,6
"PelaPred""""";0,07;0,07;0;0,07;0,07;0;0;0,07;0,07;0,07;0,05;0,05;0,07;0,02;0,03;0,07;0,07;0,07;0,07;0,05;0;0,03;0;0;0,07;0;0,07;0,07;0;0,07;;1,3
"PelaSha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0,07;0,15;0,07;0,1;0,08;0;0;0,17;0,3;0,2;0,07;0,15;0,33;0,02;0,03;0,17;0,27;0,32;0,27;0,05;0;0,03;0;0;0,23;0;0,23;0,18;0;0;;3,48
"Ray""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ReefFeed""""";0,05;0,05;0,05;0,05;0,05;0;0;0,05;0,05;0,05;0,05;0,05;0,05;0,02;0,03;0,05;0,05;0,05;0,05;0;0;0,03;0;0;0,05;0;0,05;0,05;0;0,05;;1,03
"Spar""""";0,07;0,13;0,07;0,1;0,08;0;0;0,17;0,18;0;0,07;0,15;0,2;0,02;0,03;0,17;0,2;0,2;0,2;0,05;0;0,03;0;0;0,2;0;0,2;0,18;0;0,2;;2,9
"Spela""""";0,07;0,15;0,07;0,1;0,08;0;0;0,15;0;0,18;0,07;0,15;0,3;0,02;0,03;0,15;0,25;0,28;0,25;0,05;0;0,03;0;0;0,22;0;0,22;0,17;0;0,3;;3,28
"Stuna""""";0,07;0,1;0,07;0;0,08;0;0;0,1;0,1;0,1;0,07;0,08;0,1;0,02;0,03;0,1;0,1;0,1;0,1;0,05;0;0,03;0;0;0,1;0;0,1;0,1;0;0,1;;1,8
"Turtle""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0,07;0,17;0,07;0,1;0,08;0;0;0,17;0,3;0,2;0,07;0,15;0;0,02;0,03;0,17;0,28;0,35;0,28;0,05;0;0,03;0;0;0,23;0;0,23;0,18;0;0,33;;3,57
