TI3;"Bird""""";"Ltuna""""";"PelaPred""""";"Stuna""""";"Jack""""";"PelaSha""""";"Dempred""""";"DemFish""""";"Spela""""";"Spar""""";"FlyFish""""";"Herb""""";"Zoopl""""";"Mamm""""";"BillFish""""";"ODemFish""""";"Crus""""";"MolluWorm""""";"HetBenth""""";"ReefFeed""""";"MorEel""""";"BathyDem""""";"DemSha""""";"Turtle""""";"Echino""""";"Ray""""";"BenthAuto""""";"MicroFau""""";"FlatFish""""";"Phyto""""";;SUM
"FlyFish""""";0,05;0,04;0,05;0,05;0,02;0,02;0,01;0,01;0,02;0,01;0,04;0,01;0,03;0,05;0,07;0,01;0,01;0,01;0,01;0;0;0;0,01;0;0;0;0;0;0,01;0,01;;0,56
"Herb""""";0,04;0,02;0,01;0,01;0,02;0,02;0,04;0,03;0,01;0,05;0,01;0,03;0,01;0,05;0,01;0,02;0,03;0,03;0,01;0,02;0,06;0,02;0,04;0,02;0,02;0,02;0,05;0,01;0,02;0,01;;0,74
"Zoopl""""";0,07;0,06;0,07;0,07;0,06;0,06;0,05;0,05;0,07;0,03;0,09;0,03;0,05;0,04;0,09;0,06;0,05;0,05;0,06;0,06;0,03;0,07;0,06;0,03;0,06;0,08;0,03;0,04;0,12;0,1;;1,79
"Mamm""""";0,03;0,05;0,06;0,05;0,05;0,05;0,03;0,03;0,05;0,05;0,08;0,05;0,02;0,04;0,04;0,01;0,02;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;;0,85
"BillFish""""";0,02;0,04;0,05;0,05;0,02;0,04;0,01;0,01;0,05;0,01;0,07;0,01;0,03;0,02;0,04;0,01;0,01;0,01;0,01;0;0;0;0,01;0,01;0;0,01;0;0;0,01;0,01;;0,56
"ODemFish""""";0,02;0,04;0,04;0,02;0,02;0,02;0,04;0,04;0,02;0,02;0,02;0,02;0,04;0,02;0,02;0,03;0,04;0,04;0,04;0,03;0,06;0,06;0,05;0,02;0,03;0,07;0,02;0,07;0,03;0,02;;0,98
"Crus""""";0,03;0,05;0,03;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,03;0,07;0,06;0,03;0,03;0,07;0,05;0,06;0,07;0,07;0,08;0,07;0,07;0,1;0,07;0,09;0,08;0,09;0,12;0,11;;1,95
"MolluWorm""""";0,03;0,05;0,03;0,05;0,06;0,03;0,06;0,06;0,06;0,06;0,02;0,07;0,06;0,03;0,03;0,07;0,06;0,05;0,06;0,07;0,08;0,07;0,07;0,1;0,07;0,09;0,08;0,09;0,12;0,11;;1,87
"HetBenth""""";0,02;0,05;0,02;0,05;0,05;0,03;0,05;0,04;0,05;0,03;0,02;0,03;0,05;0,02;0,02;0,06;0,05;0,05;0,04;0,06;0,03;0,06;0,05;0,09;0,07;0,04;0,07;0,08;0,03;0,1;;1,42
"ReefFeed""""";0,02;0,02;0,01;0,01;0,04;0,02;0,05;0,04;0,02;0,05;0,01;0,03;0,04;0,02;0,01;0,03;0,04;0,04;0,05;0,04;0,06;0,06;0,05;0,03;0,05;0,03;0,06;0,07;0,03;0,03;;1,04
"MorEel""""";0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,03;0,01;0,04;0,01;0,06;0,01;0,01;0;0,04;0,03;0,03;0,02;0,04;0,03;0,05;0,05;0,01;0,02;0,02;0,02;0,02;0,02;0,01;;0,73
"BathyDem""""";0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,03;0,01;0,02;0,01;0,02;0,03;0,01;0,01;0,05;0,03;0,04;0,04;0,05;0,06;0,03;0,05;0,02;0,05;0,03;0,02;0,03;0,02;0,03;;0,79
"DemSha""""";0,02;0,02;0,02;0,02;0,02;0,04;0,05;0,04;0,02;0,05;0,01;0,06;0,04;0,02;0,01;0,06;0,04;0,04;0,04;0,05;0,07;0,06;0,04;0,03;0,05;0,07;0,03;0,04;0,03;0,03;;1,12
"Turtle""""";0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,03;0,01;0,01;0,01;0,01;0,03;0,04;0,01;0,05;0,01;0,01;0,02;;0,45
"Echino""""";0,01;0,01;0,01;0,01;0,02;0,02;0,04;0,04;0,02;0,02;0,01;0,02;0,04;0,01;0,01;0,03;0,04;0,04;0,05;0,05;0,03;0,06;0,05;0,09;0,04;0,07;0,06;0,08;0,03;0,1;;1,12
"Ray""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,04;0,03;0,03;0,02;0,02;0,02;0,02;0,04;0,02;0,04;0,03;0,01;0,06;0,02;0,02;;0,59
"BenthAuto""""";0,01;0,01;0,01;0,01;0,02;0,01;0,04;0,03;0,01;0,04;0;0,05;0,01;0,01;0;0,02;0,03;0,03;0,04;0,04;0,02;0,02;0,02;0,08;0,05;0,02;0,03;0,02;0,02;0,02;;0,76
"MicroFau""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0;0,01;0,01;0,01;0;0,04;0,03;0,03;0,03;0,04;0,02;0,02;0,02;0,02;0,04;0,06;0,02;0,03;0,02;0,02;;0,59
"FlatFish""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0;0,01;0,02;0;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;;0,28
"Phyto""""";0;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,02;0;0,01;0,01;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,02;;0,36
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Bird""""";"Ltuna""""";"PelaPred""""";"Stuna""""";"Jack""""";"PelaSha""""";"Dempred""""";"DemFish""""";"Spela""""";"Spar""""";"FlyFish""""";"Herb""""";"Zoopl""""";"Mamm""""";"BillFish""""";"ODemFish""""";"Crus""""";"MolluWorm""""";"HetBenth""""";"ReefFeed""""";"MorEel""""";"BathyDem""""";"DemSha""""";"Turtle""""";"Echino""""";"Ray""""";"BenthAuto""""";"MicroFau""""";"FlatFish""""";"Phyto""""";;SUM
