TI3;"ShaRay""""";"MidwPisc""""";"Lplank""""";"LgReefCarn""""";"SmPlank""""";"SmReefCarn""""";"LgGroup""""";"SmReefHerb""""";"LgReefHerb""""";"Cepha""""";"Echino""""";"Crus""""";"WormMollu""""";"Sess""""";"Zoopl""""";"BenthProd""""";"Decomp""""";"Phyto""""";"Turtule""""";;SUM
"Crus""""";8,58414E+11;1,17749E+14;2,46888E+14;2,03398E+14;2,10124E+14;2,77728E+14;2,14995E+12;1,07053E+15;1,30225E+15;3,12806E+13;4,33978E+14;2,46072E+14;6,53361E+14;5,95176E+14;2,45438E+15;2,75224E+15;2,63963E+15;7,29264E+14;24304225985;;1,39671E+16
"WormMollu""""";1,94006E+12;2,34211E+14;1,59176E+15;6,68872E+14;1,50215E+15;8,31039E+14;1,76526E+12;7,56913E+14;8,98869E+14;1,42726E+14;4,28347E+14;5,44467E+14;4,24534E+14;9,93409E+14;6,99396E+14;5,6306E+15;1,85603E+16;4,86603E+15;30473936609;;3,87774E+16
"Sess""""";2,0848E+12;3,21769E+14;6,85335E+14;4,42813E+14;5,93736E+14;4,89806E+14;2,54811E+12;6,42132E+14;7,87423E+14;7,63444E+13;4,62876E+14;4,62915E+14;9,27182E+14;8,32187E+14;4,36086E+15;8,18931E+15;7,59668E+15;2,0824E+15;33949790408;;2,89584E+16
"Zoopl""""";3,48346E+12;2,65437E+14;9,83246E+15;2,77244E+15;9,67064E+15;3,88363E+15;1,97985E+12;7,64798E+14;7,48949E+14;7,23549E+14;6,52197E+14;1,77261E+15;6,06143E+14;4,04937E+15;5,44708E+14;2,55927E+15;1,16781E+17;2,9835E+16;47788647285;;1,85468E+17
"BenthProd""""";8,15205E+11;4,52464E+13;2,31225E+14;8,33973E+14;1,42543E+14;2,17925E+15;3,58994E+12;2,00255E+16;2,4162E+16;3,36231E+13;5,58596E+15;1,52902E+15;3,75373E+15;5,84951E+15;1,96867E+15;6,2523E+14;1,51065E+15;4,3948E+14;2,57429E+11;;6,89202E+16
"Decomp""""";9,99264E+11;2,57884E+14;9,10053E+13;1,95002E+14;6,7189E+13;2,10332E+14;4,80832E+12;7,79284E+14;9,63569E+14;4,64128E+13;8,86529E+14;8,79875E+14;7,42412E+15;3,25572E+15;5,38991E+16;9,06391E+14;5,06552E+14;2,00365E+14;29118568743;;7,05752E+16
"Phyto""""";2,9421E+11;6,85511E+13;3,08973E+13;6,3081E+13;2,39003E+13;7,99143E+13;1,55461E+12;3,83481E+14;4,70057E+14;1,32201E+13;2,85188E+14;2,43088E+14;1,94641E+15;8,92456E+14;1,377E+16;2,63688E+14;2,00365E+14;6,99363E+13;10187843648;;1,88061E+16
"Turtule""""";30659183,6;4748026536;2689901776;5595138565;1363176088;6277884092;35072731,95;25203889254;30666461507;637333978,4;10310010819;6751173885;10157978870;12124925146;18380248956;1,28714E+11;24265473953;8489869706;654865,22;;2,96442E+11
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
