TI3;"Totoa""""";"Vaqu""""";"LobMar""""";"Merlu""""";"Sciae""""";"Rhino""""";"CDeRo""""";"PecPla""""";"OtroPec""""";"Cazul""""";"Cefalo""""";"Haemu""""";"Major""""";"Serran""""";"Mycto""""";"Pelagic""""";"Tibur""""";"BallDent""""";"BallBar""""";"InFau""""";"Polique""""";"Zoopl""""";"Stomat""""";"Manta""""";"Ccafe""""";"Jaib""""";"Macrofit""""";"Fitopl""""";;SUM
"OtroPec""""";414029,2;417963,36;7234077,35;34340649,73;116964682,4;156147005,6;186939628,2;707478570,8;7797373876;1332290267;52878119394;2606982159;1155668881;30583153,44;11662051902;1618251565;12215732,12;54264690,14;466445201,2;1,02801E+11;2,33517E+11;2,51172E+12;413558421,6;766791416,6;89195783,73;92132565,42;8463444627;1,74448E+12;;4,68317E+12
"Cazul""""";54354,15;45346,62;867053,02;5015486,26;14063399,85;19587448,61;23110153,45;87131011,53;943705605,8;148381723,5;6007285548;382016135,9;158084406,7;4452128,29;1254926001;177994211;1441168,84;6079844,95;69921815,14;11043466236;27786630276;2,13725E+11;44332139,35;95595303,31;10279167,17;9087456,03;1050679146;2,64786E+11;;5,27855E+11
"Cefalo""""";643363,96;938919,77;11562063,7;106445487,6;221768654,9;319858244,8;505456163,1;1403096213;22032549748;3533697381;1,50494E+11;5285554201;2345472421;49989503,15;32352879101;4535557111;13679907,97;107307423,4;1500191449;2,74646E+11;6,71232E+11;6,25797E+12;954152188,9;1531336903;237268078,7;236045702,3;17298123675;5,75261E+12;;1,32015E+13
"Haemu""""";608797,71;273478,8;10151873,12;10577742,02;128479084,1;140293328,4;74747308,75;700820812,4;2063860876;426959210,7;10042552981;2395660831;984470400,2;39646520,23;2155232984;302179331,2;21391827,63;56349043,27;129646562,1;24383490282;52412783906;4,35328E+11;238179551,2;744306847;29645648,99;23183542,56;7687959983;3,95892E+11;;9,36423E+11
"Major""""";181773,32;79486,63;3167667,36;4209013,97;44907701,1;45387911,4;26493995,41;238228732,2;770445920,4;148785324;3752755874;829027705,4;314354083;14613573,07;764511477,4;109611406,6;6351443,29;16284936,08;57239465,51;7909058183;20298466112;1,19212E+11;81940686,49;251164359,9;9917254,01;7609647,11;2426882731;1,84903E+11;;3,42247E+11
"Serran""""";9823,07;4173,73;146180,86;138845,74;1593909,75;2136430,23;963166,63;9512893;24211663,14;4975908,09;94980055,99;39646520,23;17353618,02;549382,17;20100447,22;2829588,3;327321,18;837181,29;1401518,28;312222749,9;516501355,2;4020664149;2879245,79;10405733,62;400273,09;251849,96;118315368,2;4150401151;;9353760503
"Mycto""""";147206,65;218423,57;2733137,53;29133504,02;51633392,12;72651510,56;123418993,5;322179369,2;5345107122;812010941,6;35588167011;1247766465;525601640,7;11637101,02;7388672358;1050502269;3305402,7;24567126,3;417083378,9;61336437910;1,63024E+11;1,20829E+12;207238748,9;350527468,9;55146086,44;49928647,03;3916295445;1,60881E+12;;3,09905E+12
"Pelagic""""";14899,47;22095,6;272758,1;2806114,75;5291914,04;7535159,94;12428260,03;33274444,31;539417188,2;83761981,66;3628445689;127233402,6;54805703,3;1191405,6;764001650,4;108006440,7;317804,67;2507672,11;39984291,81;6401631968;16446393766;1,34274E+11;21887902,25;36256134,68;5663592,69;5331006,19;406858187,1;1,53901E+11;;3,1691E+11
"Tibur""""";3608,35;2461,47;45756,14;32521,6;372597,97;409985,98;174998,29;1879923,51;5598877,22;932521,01;15047898,77;12384742,31;4366617,26;189501,74;3305402,7;436981,42;95368,99;318265,23;261806,49;55875336,73;97093754,1;529832456,6;563821,52;2092775,2;67983,47;50525,41;20553081,09;741976632,3;;1493966203
"BallDent""""";7602,06;8754,03;146683,66;220368,84;1262599,97;1315522,04;832354,81;6227522,26;31654402,58;5006931,14;150230392,7;41520347,67;14249319,07;616870,42;31267251,65;4388426,19;405064,83;674467,87;2001421,93;339331821,4;765758227,6;5107240325;2139585,07;6728536,48;345780,65;292070,63;63046202,63;6896858285;;13473777138
"BallBar""""";7266,57;8192,49;113132,48;163328,77;1934659,2;3096565,81;3066289,6;12914650,03;136046517;28791335,65;1050134014;47764522,89;25042266,16;516348,84;265416695,7;34986255,33;166604,13;1000710,96;1090711,34;2502229636;4050751907;84915032407;9870213,18;14327998,26;1856615,03;2565763,47;168747581,6;2524490006;;95802132196
"InFau""""";3594098,21;3688694,79;68727898,79;492598539;1245948648;1449244998;2073555529;7090353453;85667404601;12992313219;5,49292E+11;25666831876;9886322728;328655526,2;1,11521E+11;16004079920;101591521,3;484759744,9;7149227532;9,18319E+11;2,59366E+12;1,60892E+13;3722626085;7560278804;875282226,1;743083733,2;77186438215;2,72203E+13;;4,77432E+13
"Polique""""";7106369,38;8630210,26;118916558,1;804096412,5;2092348471;3141250416;4282178640;13495426312;1,84868E+11;31055645603;1,27534E+12;52412783906;24104428508;516501355,2;2,81588E+11;39060185195;167707393,4;1039243309;10994898034;2,46398E+12;5,57654E+12;6,08286E+13;8924647317;14830443302;2087600734;2185934945;1,70743E+11;4,17407E+13;;1,12734E+14
"Zoopl""""";32793312,39;48274806,57;665833632,6;12190609157;13472039456;16596989312;37374105214;78889901391;1,56982E+12;1,88581E+11;9,38696E+12;3,4368E+11;1,11761E+11;3174208539;1,64767E+12;2,51764E+11;722498804,5;5472043205;1,81961E+11;1,20669E+13;4,80226E+13;6,43074E+12;35023589216;84564435718;13549941017;6462261516;8,79932E+11;7,10387E+14;;7,91777E+14
"Stomat""""";28377,76;14682,07;393313,18;1573323,72;5555079,02;8443158,1;7010387,79;35893421,88;258474013,5;39116593,55;1431228283;188036487,8;76819393,58;2273088,78;282598293,9;41039816,72;768847,53;2292412,57;21150456,81;2791969564;7045774198;35023589216;13366788,47;40162142,44;2946228,39;2043144,66;450591651,6;79010159513;;1,26783E+11
"Manta""""";90546,98;35847,54;1311959,33;2319482,21;18147046,28;24450554,2;14061859,83;110307862,6;447294993;78725543,9;2143871664;548436624,1;219768814,9;7667382,67;446125869,5;63448235,69;2663532,07;6728536,48;28655996,53;5292195163;10927695065;78926806670;37484666,28;121885943,1;5910462,13;4397941,02;1299338771;97140650326;;1,9792E+11
"Ccafe""""";2225,88;1768,79;38610,51;187785,37;672594,33;819595,87;922944,53;3914164,65;37164909,89;6046568,92;237268078,7;15602973,15;6198283,76;210670,05;50132805,86;7079490,87;61803,15;246986,18;2652307,19;437641113;1098737229;9033294011;1964152,26;4221758,66;407084,06;377933,77;43411357,76;9899433414;;20888712620
"Jaib""""";2042,02;1907,77;34599,14;303777,58;573908,14;765041,07;1125018,01;3471360,62;46066282,71;6414674,84;283254842,7;14642237,41;5707235,33;159063,14;54467614,94;7996509,29;55118,63;250346,26;4398451,66;445850239,9;1380590492;5169809213;1634515,73;3769663,73;453520,53;314338,85;41047359,49;16945800795;;24418960169
"Macrofit""""";779443,7;336032,7;12352033,17;23726721,08;195305701,9;227430220,1;140580118,3;1111054271;4584365840;803460523,8;22487560778;5260183146;1971842219;80952620,36;4628349162;661144554,1;24290004,93;58542902,44;313388365,9;50171184840;1,16824E+11;7,62608E+11;390512764,7;1206528859;56434765,09;44467972,78;11830646666;1,06138E+12;;2,0471E+12
"Fitopl""""";36995485,39;50593409,53;616097189,1;829415035;11379582290;17938649709;19196615768;75475911924;8,7224E+11;1,86908E+11;6,90314E+12;2,50037E+11;1,38677E+11;2621305990;1,75506E+12;2,30851E+11;809429053,4;5911592815;4327697154;1,63322E+13;2,63625E+13;5,68309E+14;63208127610;83263414565;11879320096;16945800795;9,79737E+11;6,42508E+12;;6,2906E+14
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WO3;"Totoa""""";"Vaqu""""";"LobMar""""";"Merlu""""";"Sciae""""";"Rhino""""";"CDeRo""""";"PecPla""""";"OtroPec""""";"Cazul""""";"Cefalo""""";"Haemu""""";"Major""""";"Serran""""";"Mycto""""";"Pelagic""""";"Tibur""""";"BallDent""""";"BallBar""""";"InFau""""";"Polique""""";"Zoopl""""";"Stomat""""";"Manta""""";"Ccafe""""";"Jaib""""";"Macrofit""""";"Fitopl""""";;SUM
"BallBar""""";0;0;0;0,02;0,05;0,05;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,04;0,07;0,07;0;0,04;0;0,07;0,07;0,07;0,07;0,07;0,04;0,05;0,07;0,07;;1,43
