TI3;"TranOrc""""";"SSLpup""""";"SSLjuv""""";"SSLad""""";"Smamm""""";"ToothWhale""""";"Sal""""";"Spela""""";"AtkaMack""""";"Herr""""";"Apoll""""";"DemSM""""";"Mycto""""";"BenthInv""""";"Cephalo""""";"Lzoopl""""";"Szoopl""""";"BalWhale""""";"ShaMeater""""";"Sandl""""";"Jpoll""""";"RockFish""""";"PacCod""""";"ShaSkate""""";"ArrToo""""";"FlatFish""""";"Lpred""""";"SabFish""""";"Shri""""";"EpiCarn""""";"Otter""""";"Bird""""";"Lpela""""";"DeepL""""";"Halib""""";"Macroph""""";"POP""""";"Phyto""""";;SUM
"Jpoll""""";0,02;0,02;0,04;0,04;0,04;0,02;0,02;0,02;0,04;0,02;0,04;0,04;0,04;0,03;0,02;0,03;0,04;0,04;0,02;0,02;0,03;0,04;0,02;0,03;0,04;0,02;0,04;0,02;0,04;0,04;0,02;0,05;0,02;0,02;0,04;0,02;0,02;0,02;;1,17
"RockFish""""";0,02;0,02;0,04;0,04;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,04;0,05;0,04;0,04;0,03;0,02;0,03;0,02;0,02;0,02;0,02;0,03;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;;1
"PacCod""""";0,02;0,02;0,05;0,05;0,05;0,03;0,03;0,06;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,05;0,03;0,05;0,03;0,03;0,03;0,04;0,05;0,05;0,05;0,07;0,05;0,05;0,03;0,05;0,02;0,06;0,05;0,03;0,07;0,03;;1,59
"ShaSkate""""";0,02;0,01;0,05;0,05;0,03;0,03;0,05;0,05;0,04;0,06;0,05;0,04;0,04;0,04;0,04;0,04;0,05;0,03;0,06;0,05;0,05;0,05;0,04;0,03;0,05;0,05;0,05;0,07;0,05;0,05;0,03;0,03;0,03;0,06;0,05;0,03;0,03;0,03;;1,65
"ArrToo""""";0,02;0,01;0,04;0,04;0,02;0,02;0,02;0,05;0,04;0,05;0,04;0,04;0,04;0,04;0,03;0,03;0,02;0,02;0,05;0,02;0,04;0,02;0,04;0,04;0,03;0,02;0,05;0,06;0,04;0,02;0,02;0,02;0,03;0,05;0,03;0,02;0,02;0,02;;1,19
"FlatFish""""";0,02;0,02;0,04;0,04;0,04;0,02;0,02;0,02;0,04;0,02;0,04;0,03;0,04;0,04;0,03;0,03;0,04;0,02;0,02;0,05;0,02;0,02;0,04;0,03;0,02;0,03;0,02;0,02;0,04;0,04;0,03;0,02;0,02;0,06;0,05;0,02;0,06;0,02;;1,18
"Lpred""""";0,02;0,01;0,04;0,04;0,02;0,02;0,02;0,02;0,03;0,01;0,02;0,03;0,03;0,03;0,03;0,03;0,01;0,02;0,05;0,02;0,04;0,02;0,03;0,03;0,04;0,02;0,03;0,02;0,04;0,04;0,02;0,02;0,02;0,02;0,04;0,02;0,02;0,01;;0,96
"SabFish""""";0,01;0;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;;0,47
"Shri""""";0,01;0;0,02;0,02;0,04;0,02;0,01;0,02;0,04;0,02;0,04;0,03;0,02;0,04;0,03;0,03;0,02;0,02;0,02;0,02;0,04;0,04;0,04;0,03;0,04;0,04;0,04;0,03;0,03;0,04;0,02;0,02;0,02;0,06;0,05;0,02;0,06;0,02;;1,08
"EpiCarn""""";0,01;0;0,02;0,02;0,04;0,02;0,02;0,02;0,04;0,02;0,04;0,04;0,02;0,04;0,03;0,03;0,04;0,02;0,02;0,03;0,04;0,04;0,03;0,03;0,02;0,04;0,04;0,02;0,04;0,03;0,09;0,02;0,02;0,02;0,04;0,06;0,02;0,02;;1,14
