"TI3";""Phyto"";""MicroZoopl"";""Copyp"";""Mysid"";""UpoAfri"";""FishLarv"";""ZooplEater"";""BenthMicroAl"";""MeioFau"";""Det"";""Graz"";""SuspFeed"";""CalliaKra"";""Sol"";""Herb"";""Epiph"";""FreeWat"";""AttWat"";""SedBaci"";""CarnMac"";""BenthFeed"";""Pisci"";""CatFish"";""Leer"";""DuskyKob"";""Bird"";""Grunter"";""SkipJack"";;SUM
""ZooplEater"";"114827089903494000,00";"166136981349191000,00";"156057403174983000,00";"36025543178640600,00";"20375495572442700,00";"10202560238412,80";"15666661774371200,00";"6896260570140200,00";"17499634887980,00";"37130135889113,00";"915489354860,44";"23690785504550,60";"389848733366,95";"1042698208,41";"888868740107,89";"1944555895,55";"48963299172789700,00";"151689209474815,00";"23729004101728,20";"366747057535568,00";"1098908452908840,00";"47375980685632,40";"408522658725344,00";"79818278275225,30";"586232939528889,00";"2364586820264730,00";"2932709799336300,00";"614932379974182,00";;"573714707587466000,00"
""BenthMicroAl"";"0,00";"0,00";"213386474340577,00";"33241968918558,20";"26590202374732600,00";"64461648557,92";"4827382399098140,00";"10505548250876400,00";"7932830185480080000,00";"156726806158862000000,00";"6520907335116650000,00";"89730748537526900000,00";"1264766380017980000,00";"73453132697737700000,00";"78818165771258200000,00";"2978888880,51";"0,00";"0,00";"87852228572323700,00";"25910029872477900,00";"268968293084592000,00";"753859700213627,00";"142860758348575000,00";"1349751183710880,00";"3294870478956260,00";"55489815007,52";"264005152792015,00";"0,00";;"415020780746791000000,00"
""MeioFau"";"6081019272626,50";"8624711150,65";"366447605509,21";"82044681740,17";"42140458883658,70";"142102266,32";"8749817443989,98";"5666307275342910000,00";"10488875403685800,00";"103436810182873000,00";"4317573928736900,00";"58669430474936600,00";"837650012516422,00";"48630806818258700,00";"52609263037629700,00";"593416678743,43";"0,00";"526538360212,68";"27194523872915400,00";"457641414457461000,00";"21860570820856000,00";"581794350775081,00";"122234849722445,00";"15731396123223500,00";"24232352839603200,00";"14060029003575100,00";"177858527092136,00";"871730591,11";;"6506958409428240000,00"
""Det"";"855957425168119,00";"1060758087604,83";"101775377091668,00";"38413876884874,30";"4020839256923070,00";"14709397018,51";"18565067944556,50";"111947718684901000000,00";"103436810182873000,00";"3525703762591440,00";"51064767014158,00";"4041474251512360,00";"99465593722954,90";"10147843595822,50";"7471310049977320,00";"11677060994964,60";"0,00";"72207571108900,70";"536384974155113000,00";"9087541021491530000,00";"430616626164678000,00";"11559792996202400,00";"2381927642970940,00";"309662215639476000,00";"477191802112627000,00";"278115771702270000,00";"4734503724363010,00";"8770876045357,61";;"123209672578961000000,00"
""Graz"";"10134099091619,90";"14373195268,56";"16551484327,24";"39344302413,63";"201690484391,47";"57332824,28";"183097870972,09";"1863116381461900000,00";"1727029571494760,00";"20425906805663,20";"8088764275,84";"44881710766307,00";"72558101269,77";"93198883443,23";"124604982510489,00";"195497717691,43";"0,00";"877483145293,44";"8923440037662800,00";"150273774128881000,00";"7169200359286790,00";"191156987900045,00";"29476626030620,80";"5181955776838110,00";"7981651209640270,00";"4624507221533800,00";"72499662845459,50";"1452750566,22";;"2049492823137220000,00"
""SuspFeed"";"94693793928854,40";"88510168349,63";"134667473152742,00";"28410733516668,70";"12411703897900200,00";"32762217877,45";"16583549853185,40";"89730748537526900000,00";"82137202664911200,00";"5658063952117310,00";"157085987682075,00";"914441051068430,00";"292049806349063,00";"18399724310320,00";"5879595169486460,00";"9201968156303,07";"0,00";"7406766049176,20";"430073746884967000,00";"7417632941698640000,00";"343357620487802000,00";"9435846562883930,00";"2677471983631140,00";"244357148675263000,00";"377050265551072000,00";"222967105913399000,00";"2728374962882560,00";"3574056647721,07";;"98888792262114900000,00"
""CalliaKra"";"560149985071637,00";"1213580665,50";"77071969104121,00";"35583206767584,70";"15833036877777,00";"44930767,22";"233909240020,17";"1084085468586840000,00";"1005180015019710,00";"119358712467546,00";"217674303809,30";"250328405442054,00";"1322139613,54";"56748852951,65";"74181808379830,50";"113661814813,96";"0,00";"48594811500053,10";"5203403356008840,00";"87459193515861100,00";"4542243639323280,00";"112227317165341,00";"170863438273646,00";"3013836966769960,00";"4654944084568190,00";"2943276909217280,00";"1028216551250800,00";"10118018069973,30";;"1195410698908840000,00"
""Sol"";"141037758672,36";"0,00";"278711364225,62";"128171402858,03";"237526932711,03";"648625,36";"312809462,52";"31479914013316100000,00";"29178484090955200,00";"6088706157493,52";"139798325164,85";"7885596132994,27";"28374426475,83";"1539523919364,81";"2095603860801570,00";"3303364620519,30";"0,00";"2531556432,40";"150738336906546000,00";"2539103215185690000,00";"120923146175267000,00";"3229975248950620,00";"406316457571713,00";"87560370186386000,00";"134865696556357000,00";"78069283821435900,00";"925133470733821,00";"36376606943,33";;"34627029385309500000,00"
""Herb"";"82082911483685,70";"95250029587,44";"162775458786110,00";"74782652281325,10";"167607411889713,00";"491114202,35";"622208118075,52";"78818165771258200000,00";"73652968252681600,00";"10459834069968300,00";"436117438786711,00";"5879595169486460,00";"86545443109802,20";"4889742341870320,00";"10490859754762400,00";"8277346690858,54";"0,00";"1447055396194,95";"377345351361927000,00";"6356332373258790000,00";"302721941991526000,00";"8097900044970850,00";"1041873763997390,00";"219409735846881000,00";"337967424365526000,00";"195496100715570000,00";"2343491987408800,00";"21217535515288,20";;"86725336535386800000,00"
""Epiph"";"0,00";"0,00";"0,00";"145534,10";"19185346,04";"0,00";"194455589,55";"425555554,36";"118683335748,69";"2335412198992,91";"97748858845,71";"1314566879471,87";"18943635802,33";"1101121540173,10";"1182478098694,08";"0,19";"0,00";"0,00";"60832394,01";"9073488,57";"162786930,36";"890388,61";"24113441,94";"11095636,92";"4376618,68";"0,00";"21417184,67";"0,00";;"6169888475836,69"
