TI3;"Lgroup""""";"Lshark""""";"Lfishc""""";"Crus""""";"Scom""""";"Ceph""""";"Seabird""""";"Sschool""""";"Lschool""""";"Plongi""""";"Pescul""""";"Sfisho""""";"Mende""""";"Bmoll""""";"Fishh""""";"Zoopl""""";"Prown""""";"Echino""""";"Sess""""";"Phyto""""";"Benthau""""";"Decomp""""";"Turtle""""";;SUM;;;
"Mende""""";114977,95;1717703,87;56218604,16;310333864,8;26285242,94;24385905,49;1827584,28;648308990,9;85583824,31;9859032,59;16551943,24;119665380,5;25558870,03;599013524,1;3871574773;12268601797;10768378,47;426324154,3;2904742906;6460008093;1078676985;2013835939;487839,34;;30960446315,39;;;
"Pescul""""";244970,4;1374240,59;64062981,44;325584838,9;14445647,65;13363360,76;791473,19;323279493,7;45392807,61;7296456,71;8747586,24;173221581,5;18620936,14;733331859,5;10653511465;5437516096;8134117,74;964136114,5;4260292766;3087870955;570929100,6;953635503,6;1167244,2;;27666951597,07;;;
"Phyto""""";37354703,46;484644800,3;6434774501;1,24565E+11;12064094813;1819151694;779901514,5;12212423039;2157149570;3572396412;3430967728;26349135411;8075010117;2,90566E+11;2,57069E+11;8,65997E+12;2788726649;76021763295;9,94574E+11;1,40934E+11;2,62787E+11;87547958737;47597863,21;;10974290551658,00;;;
"Plongi""""";97437,24;788183,97;33514546,81;140153685,1;6611595;11909229,22;524542,83;326298908,9;43408179,58;4140939,86;7296456,71;75188106,26;11091411,67;275042888,8;3886513348;2009558965;4926695,99;359682904,7;1674331258;3215156771;404042133,9;983103173,8;443808,39;;13473825170,54;;;
"Prown""""";212727,89;1394207,16;48447417,75;209095808,5;32506953,48;15331417,49;1197658,45;416225545,2;54741640,55;8211159,98;13556862,89;82796744,73;20190709,63;436952661,5;2976466557;7445830772;7402396,83;336417792,6;2019933667;4183089973;1564560138;1334496454;383794,28;;21209443060,56;;;
"Scom""""";1373198,5;4686638,59;706942377,5;3522159761;44331181,65;56421483,91;5640350,07;1954797641;291374827,1;10284703,33;22471007,46;2241781647;45999175,14;7161201822;1,64018E+11;9776829723;30339823,25;13467822376;53642569648;16889732738;890653675,1;4821361152;17463061,89;;279624604526,62;;;
"Seabird""""";14542,3;152902,27;5794919,27;25600971,45;4834585,78;2911430,3;272749,95;96208399,48;12267976,39;699390,44;1055297,59;8496680,81;2741376,42;43780118,06;76530951,84;1223879075;958126,76;14449819,95;205007694,1;935881817,4;130608538,2;270360896,4;11589,71;;3062519849,49;;;
"Sess""""";30492715,3;536648600,4;47617109426;34427180826;61305793884;5370933502;273343592,1;1,49536E+11;19235184723;2976588904;7573853806;15998262596;5809485812;46271905744;21968591102;8,96494E+11;2154595912;23892794135;1,80519E+11;1,59132E+12;3,05868E+12;5,5365E+11;46532064,46;;6725687949474,17;;;
"Sfisho""""";2283886,42;27340405,79;2229438560;2285710401;2882290689;183963984,4;12745021,21;4282578149;564391668,4;150376212,5;346443162,9;1020826884;269247106,1;4322170522;25580733339;70712585055;99356093,68;3386804331;17998045420;47428443739;1,42391E+11;18268432462;4773634,15;;344450220866,64;;;
"Sschool""""";5138394,01;69975106,26;925501427,1;17078463782;1954797641;249818933,1;112243132,7;1358181973;250691511;507576080,6;502879212,3;3330894116;1134540734;39833305131;4230821914;1,23341E+12;388477175,5;8110420869;1,30844E+11;17097392255;48222076922;11905104223;3446313,94;;1521526726122,38;;;
"Turtle""""";2831,47;47773,56;4576527,1;2144288,86;6236807,82;171488,27;4829,05;1230826,41;193328,83;246560,22;648469;1326009,49;304899,59;3931196,87;37042795,56;20787112,79;127931,43;4783393,16;14541270,15;23798931,6;313973670,8;16556407,74;7929,73;;452685279,42;;;
"Zoopl""""";42873304,65;467183212,7;57557151019;1,34103E+11;12570209643;41005322208;1835818612;1,58581E+12;2,00593E+11;4019117930;10875032193;70712585055;27604354044;45947804084;3,29648E+11;1,74024E+11;8934996926;47492632553;1,00856E+12;1,5588E+13;5,03356E+11;4,44411E+12;74833606,03;;24297297031013,30;;;
