"TI3";""Lgroup"";""Lshark"";""Lfishc"";""Crus"";""Scom"";""Ceph"";""Seabird"";""Sschool"";""Lschool"";""Plongi"";""Pescul"";""Sfisho"";""Mende"";""Bmoll"";""Fishh"";""Zoopl"";""Prown"";""Echino"";""Sess"";""Phyto"";""Benthau"";""Decomp"";""Turtle"";;SUM
""Seabird"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Sschool"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Lschool"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Plongi"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Pescul"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Sfisho"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Mende"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Bmoll"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Fishh"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Zoopl"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
