0,2.409,0.024,0,0,0,0,2.108,0.152,0,0,17.896,0,0,0,0.656,7.101,1.654,0,0.558,0.463,0,0,0,9.201,0,0.022,0.016,5.638,0,0,0,10.098,0,1.193,0
0,0,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0,0,0,0,0,0,0,0.001,0,0.035,0.035,0,0,0,0,0
0,0.008,0,0.133,0.787,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0.893,1.298,0,0,0,0,0.287,0,0,0,0,0,0,0,0,0,0
0.001,0.015,0,0.14,0,0,0,0,0.003,0.029,0.002,0,0,0,0,0.035,0,0,0,0,0.067,0,0,0,0,0.022,0.22,0,0,0.001,0.005,0,0,0,0.096,0.136
0.001,0.008,0,0.506,1.574,15.808,0,0,0.03,0.65,0.104,0,0,1.384,0,0,2.798,0,0,1.831,3.154,0,1.893,0,1.899,0.221,0,0,0,0,0.226,0.091,0,0,0,0.477
0.027,0,0.012,0,0.787,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0.042,0,0,0,0,0.838
0,0,0.116,1.017,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,1.117,0,0,0,0,0,0.022,0.013,0,0,0,0,0,0,0,0,0.817
0,0,0,0,0,0,211.68,50.468,0,0,0,0.179,3.278,0,200.472,0,0,0,0,0,0,0,0,83.247,42.195,0,0,0,0,0,0,0,0,479.278,0,0
0.01,0.031,0,0.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,0.791,0,0,0,0,0.044,0.022,0,0,0.003,0,0,0,0,0,0
0.053,0.08,0,0.705,0.787,2.635,0,0,0.038,0.356,0,0,0,0.346,0,0.017,1.117,0,4.244,0.335,1.855,0,2.346,0,1.046,0.088,0,0,0.01,0,0,0.338,0,0,0.054,0
