0.053,0.002,0.284,0.584,0,0.26,0,0,0,0,0.006,0.017,0.008,0,0.1,0,0,0,0,0,0,0.336,0.034,0,0,0,0.258,0,0.163,0,0.199,0,0.858,0,0
0,0,0.011,0.022,0,0.26,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0.336,0,0,0,0,0.284,0,0.065,0,0,0,0.027,0,0
0.042,0.35,0,0,0,0.269,0,2.353,178.872,1.056,0,0.03,0,0,0.057,0,0.059,0.063,0.119,0,0,0.084,0,0.122,0,0.045,1.288,0,0,0.545,0.245,0.004,0,0,0
0.006,0,0.008,0,0,0,0,0,0,0.01,0.007,0.007,0,0,0,0,0,0,0.006,0,0,0.002,0.003,0,0,0,0,0,0.011,0,0,0,0.003,0,0
0,0.001,0,0,0,0.001,0,0,0,0,0,0.002,0,0,0,0,0,0,0.006,0.003,0,0.002,0,0,0,0,0,0,0,0,0,0,0.006,0,0
0,0,0.04,0,0,0,0,0,0,0.01,0,0.04,0,0,0,0,0,0,0,0,0,0.017,0.023,0,0,0,0,0,0,0,0,0,0.003,0,0
0,0,0,0,0,0,0.004,0,0,0,0.014,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.017,0.033,5.521,8.297,0.023,2.439,0,0.41,0,0.119,0,59.097,3.797,0,0.157,0.627,0.535,0.008,0,13.333,0,1.201,2.362,2.959,1.134,0,0.445,0.327,0,4.021,0.109,8.761,0
0.003,0,0.103,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0.045,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0.026,0,0.029,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0,0,0,0.009,0,0,0.104,0.015,0,0,0,0
0.008,0.028,0.017,0.033,0,0.052,0,0,0,0.077,0.004,0.002,0.006,0,0.1,0,0,0,0,0,0,0.017,0.038,0,0,0,0.047,0,0.011,0,0.015,0,0.006,0,0
0,0.117,0,0.153,0,0.246,0.001,0.029,0,0.051,0,0.016,0,0,0,0,0,0,0,0.219,0,0.094,0.031,0,0.006,0,0,0,0,0.034,0,0,0.064,0,0
0.061,0.056,0.1,0.206,1.218,0,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0.178,0,0.168,0.007,0,0,0,0,0,0.013,0,0.015,0,0,0,0
0,0,0,0,0,0,0,2.903,453.708,0,0,0,0,0.392,0,459.118,0.02,0.263,0.149,0,316.743,0,0,0,0,0,0,0,0,0,0,0,0,0,737.342
