TI3;"Cet""""";"Jcod""""";"JSilvHake""""";"RedFish""""";"TranMack""""";"DemPisc""""";"JDemPisc""""";"LDemFish""""";"JLDemFish""""";"Sandl""""";"SPela""""";"Squid""""";"LZP""""";"SZP""""";"GreySeal""""";"Acod""""";"ASilvHake""""";"Hadd""""";"Plai""""";"Flou""""";"Skate""""";"Poll""""";"SDemFish""""";"Cape""""";"SCrab""""";"Polych""""";"BivalvMollu""""";"OBI""""";"Bird""""";"SMesoPel""""";"Shri""""";"Echino""""";"AHal""""";"DogFish""""";"LCrab""""";"TranPel""""";"JHal""""";"Phyto""""";;SUM;
"SMesoPel""""";0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,03;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;;0,58;
"Shri""""";0,03;0,04;0,04;0,04;0,07;0,05;0,04;0,05;0,05;0,04;0,05;0,03;0,04;0,05;0,03;0,05;0,05;0,04;0,05;0,05;0,07;0,05;0,04;0,05;0,03;0,05;0,03;0,05;0,05;0,03;0,04;0,03;0,05;0,06;0,06;0,03;0,05;0,1;;1,76;
"Echino""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,03;0,03;0,01;0,01;0,03;0,01;0,03;0,02;0,02;0,01;0,04;0,01;0,01;0,02;0,01;0,01;0,05;0,01;0,04;0,01;;0,7;
"AHal""""";0,01;0,03;0,03;0,01;0,01;0,02;0,03;0,01;0,03;0,03;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,03;0,05;0,01;0,01;0,01;0,03;0,02;0,01;0,02;0,01;0,01;0,02;0,01;0,02;0,02;0,01;0,01;0,01;0,01;;0,72;
"DogFish""""";0,01;0,02;0,03;0,03;0,01;0,02;0,01;0,01;0,01;0,02;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,02;0,01;0,02;0,02;0,01;0,04;0,01;0,01;;0,66;
"LCrab""""";0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,04;0,02;0,01;0;0,02;0,04;0,01;0,01;0,02;0,01;0,01;0,01;;0,51;
"TranPel""""";0,02;0,01;0,03;0,03;0,06;0,01;0,03;0,03;0,03;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,04;0,01;0,01;0,03;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,05;0,01;0,01;0,01;0,04;0,01;0,03;0,01;0,01;;0,73;
"JHal""""";0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,03;0,03;0,03;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,03;0,04;0,01;0,01;0,04;0,01;0,02;0,01;0,02;0,04;0,01;0,01;0,01;0,01;0,02;0,02;;0,74;
"Phyto""""";0;0;0;0;0,01;0;0;0,01;0,01;0;0,01;0;0,02;0,02;0;0;0,01;0,01;0;0,01;0,01;0,01;0,02;0,01;0;0;0,03;0;0,01;0,01;0,02;0;0;0;0,01;0;0,01;0,02;;0,29;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Cet""""";"Jcod""""";"JSilvHake""""";"RedFish""""";"TranMack""""";"DemPisc""""";"JDemPisc""""";"LDemFish""""";"JLDemFish""""";"Sandl""""";"SPela""""";"Squid""""";"LZP""""";"SZP""""";"GreySeal""""";"Acod""""";"ASilvHake""""";"Hadd""""";"Plai""""";"Flou""""";"Skate""""";"Poll""""";"SDemFish""""";"Cape""""";"SCrab""""";"Polych""""";"BivalvMollu""""";"OBI""""";"Bird""""";"SMesoPel""""";"Shri""""";"Echino""""";"AHal""""";"DogFish""""";"LCrab""""";"TranPel""""";"JHal""""";"Phyto""""";;SUM;
"Acod""""";0;0;0;0;0;0;0;0,01;0,01;0,01;0;0;0;0;0;0;0;0,01;0,01;0,01;0;0;0,01;0;0,01;0;0;0;0,01;0;0;0;0;0;0;0;0,01;0;;0,13;0,0043
"AHal""""";0;0;0;0;0;0;0;0;0;0,01;0;0;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0;0,01;0,01;0;0,01;0;0;0,01;0;0;0;0;0;0;0;;0,11;0,0037
"ASilvHake""""";0;0,03;0,07;0,05;0;0;0,01;0;0,01;0,04;0,04;0,04;0,05;0,03;0,03;0;0;0,03;0;0,03;0;0,03;0,03;0,03;0;0;0;0,01;0,01;0,01;0,04;0;0;0,01;0;0,01;0;0;;0,63;0,0209
"Bird""""";0;0;0,01;0,01;0;0;0;0,03;0,03;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,03;0;0,01;0,03;0,01;0,03;0;0;0;0;0;0;0;0;0;0;0,01;0,03;0;;0,37;0,0123
"BivalvMollu""""";0;0,01;0;0;0;0;0,01;0;0;0;0;0;0,03;0,01;0;0;0;0;0;0;0;0;0,01;0;0,01;0,01;0;0,01;0;0;0,03;0,01;0;0;0;0;0;0;;0,16;0,0053
"Cape""""";0;0;0,03;0,04;0;0;0,01;0;0,03;0,01;0,03;0,03;0,03;0,01;0;0;0,03;0;0,01;0,03;0;0,01;0,01;0;0;0;0;0;0,01;0,01;0,01;0;0;0,01;0;0,01;0;0;;0,37;0,0123
"Cet""""";0;0;0;0;0;0;0;0;0;0;0,01;0;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0,01;0;0;;0,08;0,0027
"DemPisc""""";0;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,14;0,0046
"DogFish""""";0;0;0,01;0,01;0;0;0,01;0;0,01;0;0,01;0;0;0;0;0;0,01;0;0;0,01;0;0;0;0,01;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;;0,12;0,0040
"Echino""""";0;0,01;0;0;0;0;0,01;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0,01;0;0;0,01;0;0;0;0;0;0;0;;0,11;0,0037
"Flou""""";0;0,05;0,07;0,04;0;0;0,03;0,03;0,07;0,08;0,07;0,04;0,04;0;0,04;0,01;0,03;0,05;0,08;0;0;0,01;0,05;0,03;0,05;0;0;0,03;0,03;0,01;0,07;0;0;0,01;0;0,01;0,03;0;;1,04;0,0345
"GreySeal""""";0,01;0,11;0,05;0,03;0;0;0,05;0,01;0,01;0,09;0,05;0,03;0,13;0,05;0;0;0,03;0,05;0,03;0,04;0;0,03;0,11;0;0,09;0,01;0;0,08;0,01;0;0,13;0;0,01;0;0;0,01;0,01;0;;1,28;0,0425
"Hadd""""";0;0,11;0,09;0,07;0;0;0,03;0,04;0,05;0,11;0,09;0,09;0,07;0,03;0,05;0,01;0,03;0;0,05;0,05;0;0,03;0,11;0;0,07;0;0;0,05;0,03;0;0,11;0;0;0;0;0,01;0,03;0;;1,38;0,0458
"Jcod""""";0;0;0,13;0,07;0;0,01;0,08;0,03;0,04;0,17;0,11;0,09;0,2;0,04;0,11;0;0,03;0,11;0,04;0,05;0;0,03;0,17;0;0,11;0,01;0,01;0,11;0;0;0,22;0,01;0;0;0;0,01;0;0;;1,97;0,0654
"JDemPisc""""";0;0,08;0,04;0,03;0;0,01;0;0,01;0,04;0,05;0,04;0,03;0,07;0,01;0,05;0;0,01;0,03;0,01;0,03;0;0;0,04;0,01;0,08;0,01;0,01;0,04;0;0,01;0,08;0,01;0;0,01;0;0;0;0;;0,86;0,0286
"JHal""""";0;0;0;0;0;0;0;0,03;0,03;0,01;0;0;0;0;0,01;0,01;0;0,03;0,03;0,03;0;0;0,03;0;0,03;0;0;0;0,03;0;0;0;0;0;0;0;0;0;;0,25;0,0083
"JLDemFish""""";0;0,04;0,05;0,05;0;0,01;0,04;0,05;0;0,07;0,07;0,05;0,03;0,01;0,01;0,01;0,01;0,05;0,05;0,07;0;0;0,05;0,03;0,04;0;0;0,01;0,03;0,01;0,04;0;0;0,01;0;0;0,03;0;;0,93;0,0309
"JSilvHake""""";0;0,13;0;0,11;0;0,01;0,04;0,03;0,05;0,12;0,12;0,11;0,12;0,05;0,05;0;0,07;0,09;0,04;0,07;0;0,05;0,07;0,03;0,03;0;0;0,05;0,01;0,01;0,12;0;0;0,01;0;0,03;0;0;;1,61;0,0535
"LCrab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0000
"LDemFish""""";0;0,03;0,03;0,03;0;0,01;0,01;0;0,05;0,04;0,03;0,03;0,01;0,01;0,01;0,01;0;0,04;0,03;0,03;0;0;0,04;0;0,03;0;0;0,01;0,03;0;0,01;0;0;0;0;0;0,03;0;;0,54;0,0179
