TI3;"Phyto""""";"MicroMesoZoopl""""";"MacroZoopl""""";"Jelly""""";"Sard""""";"SpelaFish""""";"SupBenth""""";"DemFishThree""""";"Anch""""";"HorMack""""";"Mack""""";"Crab""""";"Gadi""""";"FlatFish""""";"DemFishOne""""";"Shri""""";"NorLobs""""";"MantShri""""";"VulHake""""";"DemSkate""""";"DemFishTwo""""";"Polych""""";"OctoCepha""""";"Mull""""";"BenthInv""""";"DemSha""""";"Turtle""""";"SquidCepha""""";"CongEel""""";"AngFish""""";"STuniAtlBoni""""";"LpelaFish""""";"NonVulHake""""";"Dolph""""";"TurBrill""""";"Bird""""";;SUM;
"OctoCepha""""";0;0;0;0;0,06;0,01;0,04;0,07;0,04;0,03;0,01;0,15;0,03;0,04;0,15;0,14;0,07;0,03;0,01;0,01;0,1;0,04;0;0,03;0,08;0,06;0;0,04;0;0,04;0;0;0,01;0,01;0,01;0;;1,33;0,036508372
"Phyto""""";0;0,07;0,06;0,04;0,06;0,07;0,01;0,03;0,01;0,04;0,03;0,01;0,01;0,01;0,03;0;0;0;0,01;0;0,01;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0;0,01;0;;0,57;0,015646445
"Polych""""";0;0;0,03;0;0;0;0,06;0,01;0;0,01;0;0,1;0,01;0,01;0,1;0,08;0,03;0,01;0;0,01;0,07;0;0,04;0,01;0,06;0,01;0;0,01;0;0,04;0;0;0,01;0;0,03;0;;0,76;0,020861927
"Sard""""";0,06;0,11;0,08;0,04;0;0,14;0,1;0,14;0,17;0,1;0,07;0,14;0;0,03;0,19;0,14;0,01;0;0,03;0,01;0,14;0;0,06;0,01;0,04;0,03;0;0,1;0,03;0,03;0,03;0,03;0,03;0,06;0,01;0;;2,14;0,058742794
"Shri""""";0;0,03;0,06;0;0,14;0,06;0,18;0,17;0,1;0,06;0,04;0,29;0,03;0,06;0,28;0;0,1;0,03;0,03;0,01;0,21;0,08;0,14;0,03;0,11;0,06;0;0,08;0;0,07;0,01;0;0,01;0,06;0,03;0;;2,53;0,069448257
"SpelaFish""""";0,07;0,08;0,07;0,04;0,14;0;0,04;0,07;0,1;0,04;0,04;0,07;0,01;0,03;0,08;0,06;0;0;0,01;0,01;0,06;0;0,01;0,01;0,01;0;0;0,03;0;0;0,01;0,01;0,01;0,01;0,01;0;;1,17;0,032116388
"SquidCepha""""";0;0,06;0,03;0;0,1;0,03;0,04;0,07;0,07;0,07;0,06;0,08;0,01;0,03;0,11;0,08;0,03;0;0,01;0,01;0,07;0,01;0,04;0;0,01;0,03;0;0;0,03;0,03;0,01;0,01;0,03;0,06;0;0;;1,22;0,033488883
"STuniAtlBoni""""";0,01;0,03;0,03;0;0,03;0,01;0,01;0,01;0;0,01;0;0,01;0;0;0,01;0,01;0;0;0,01;0;0,03;0;0;0;0;0;0;0,01;0;0;0;0,01;0,01;0,01;0,01;0;;0,31;0,00850947
"SupBenth""""";0,01;0,04;0,07;0,01;0,1;0,04;0;0,14;0,04;0,06;0,04;0,19;0;0,04;0,18;0,18;0,03;0;0,01;0;0,15;0,06;0,04;0;0,06;0,01;0;0,04;0;0,04;0,01;0;0;0,03;0,03;0;;1,67;0,04584134
"TurBrill""""";0,01;0,01;0,03;0;0,01;0,01;0,03;0,03;0;0,01;0;0,04;0;0;0,06;0,03;0,01;0;0,01;0;0,03;0,03;0,01;0;0,01;0;0;0;0;0,01;0,01;0,01;0,01;0;0;0;;0,44;0,012077958
"Turtle""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"VulHake""""";0,01;0,03;0,01;0;0,03;0,01;0,01;0,01;0,01;0,04;0,01;0,03;0;0,01;0,06;0,03;0,03;0,01;0;0;0,04;0;0,01;0,01;0,01;0,03;0;0,01;0,01;0;0,01;0,03;0,03;0,01;0,01;0;;0,6;0,016469942
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,43;1
