TI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"BenthFeed""""";"Epiph""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"Pisci""""";"SkipJack""""";"Grunter""""";"Leer""""";"DuskyKob""""";"CatFish""""";"Bird""""";;SUM;;;
"Bird""""";2,27362E+16;8,60959E+15;1,40009E+16;3,13123E+15;1,65943E+15;65420261891;3,97321E+15;1,73159E+15;3,34533E+15;6,97336E+16;3,13824E+16;1,73648E+17;6,74765E+15;2,34929E+15;6,72193E+16;9,1659E+15;0;0;1,674E+12;1,65555E+13;4,85059E+14;9,88123E+13;2,49641E+13;5,57992E+13;5079144596;3,67663E+13;2,64524E+12;2862085693;;420155518903442000,00;;;
"CalliaKra""""";1,13694E+15;1,66748E+14;4,19589E+14;1,46046E+15;5,15367E+15;21660439742;2,79858E+14;5,13032E+18;3,67067E+15;2,37024E+16;1,4337E+16;5,6043E+16;4,14637E+15;7,49359E+14;2,64894E+16;3,1397E+16;3,69507E+11;0;6,84204E+13;3,40818E+15;1,9139E+17;3,82476E+15;8,97664E+14;4,09538E+15;1,95239E+15;8,60381E+15;1,40491E+15;8,09719E+15;;5523213172029320000,00;;;
"CarnMac""""";3,21418E+15;6,5396E+14;5,17096E+14;1,2561E+14;3,4307E+14;12798059632;3,47043E+14;3,52922E+16;1,31856E+17;2,74723E+18;1,2247E+18;6,85586E+18;2,55186E+17;9,25794E+16;2,6368E+18;3,61845E+17;14150483421;0;1,67549E+14;8,28838E+14;4,72099E+14;2,0104E+14;4,16414E+13;6,41024E+14;7,52931E+13;3,86494E+14;2,86251E+14;7,76094E+14;;14350428500606400000,00;;;
"CatFish""""";5,99839E+13;3,98602E+15;6,90104E+15;1,0573E+15;9,02931E+14;4903139356;2,77114E+14;1,35734E+15;1,003E+15;2,0889E+16;9,50735E+15;5,19012E+16;2,10737E+15;7,03412E+14;2,02348E+16;2,73794E+15;87145197,42;0;1,02042E+12;5,62321E+12;3,22032E+14;5,4707E+13;8,05437E+12;3,97142E+13;4,64133E+11;2,59282E+13;3,4549E+12;4,76143E+12;;124091678572918000,00;;;
"Copyp""""";7,06259E+18;1,98258E+17;2,06693E+17;4,83107E+17;8,32228E+15;1,42373E+13;8,93662E+17;2,10911E+15;6,4961E+13;1,54144E+15;9,0943E+14;3,36235E+15;4,89521E+14;4,42611E+13;1,6934E+15;2,72361E+16;212820411,5;1,15257E+18;3,97521E+15;3,82479E+12;4,52459E+14;4,16947E+15;2,67332E+15;1,0203E+16;6,34021E+13;6,59465E+14;5,36747E+15;1,96013E+16;;10089832582462200000,00;;;
"Det""""";9,60383E+14;1,57363E+14;1,98185E+15;2,28054E+16;8,33182E+16;3,03892E+11;3,42434E+15;8,2711E+19;4,26017E+16;4,22703E+16;8,11814E+16;5,35522E+16;3,55537E+16;7,06972E+14;1,0362E+17;4,50267E+17;5,90565E+12;0;5,45268E+13;5,4346E+16;3,09063E+18;6,12131E+16;1,43408E+16;6,21643E+16;3,11989E+16;1,37521E+17;2,0889E+16;1,25521E+17;;87231261597095700000,00;;;
"DuskyKob""""";3,34776E+15;4,63563E+14;6,59465E+14;3,0391E+14;2,93032E+14;9495456274;5,2768E+14;3,31179E+15;5,13473E+15;1,06961E+17;4,79196E+16;2,66694E+17;1,00378E+16;3,60732E+15;1,02988E+17;1,39762E+16;448728408,7;0;1,07828E+13;1,24993E+13;3,38182E+14;5,3983E+13;9,4961E+12;8,08312E+13;2,38117E+12;2,09776E+13;2,01664E+13;5,14728E+13;;566826297125638000,00;;;
"Epiph""""";0;0;30402915,92;417231453,3;1490514014;5379,69;85911500,7;6423223948;31487747377;6,56184E+11;2,94111E+11;1,63599E+12;61584547142;22138039410;6,32067E+11;84932502015;0,13;0;0;23765434,41;1768810428;295615818,3;39631329,91;238006363,8;704,38;64104058,39;9682799,71;0;;3429377470886,37;;;
"FishLarv""""";2,90312E+12;4,56672E+12;8,13558E+12;1,37622E+12;5,74295E+11;10090829,75;5,75617E+11;73678911474;6538156551;1,35063E+11;63551834330;3,34485E+11;14440293161;4475337827;1,32547E+11;36276267155;21518,75;6,40736E+11;1613518056;269046811,2;6399029816;10967841272;3265427684;4752043314;612145286,3;5425975014;2179173047;52336209512;;19661170739537,40;;;
"FreeWat""""";7,79565E+15;1,16029E+17;1,64653E+17;2,32569E+16;1,19485E+16;1,60184E+11;6,54389E+15;0;0;0;0;0;0;0;0;3,17063E+14;0;76024209110;1,85105E+12;0;0;1,19043E+14;9,28919E+13;0;0;0;0;0;;330757575174584000,00;;;
"Graz""""";8,77477E+14;1,7827E+14;3,89756E+14;3,37362E+15;1,22928E+16;47663875748;5,71482E+14;1,23026E+19;7,35511E+15;2,70605E+16;2,11771E+16;5,99721E+16;7,16851E+15;8,01149E+14;3,51142E+16;7,03049E+16;8,82334E+11;0;4,57941E+13;8,1166E+15;4,59261E+17;9,11628E+15;2,13869E+15;9,36642E+15;4,66131E+15;2,0537E+16;3,16912E+15;1,88294E+16;;13084494011140900000,00;;;
"Grunter""""";3,18379E+14;5,91403E+15;1,0203E+16;1,57576E+15;1,42269E+15;8316075800;4,34481E+14;5,78663E+15;2,33191E+15;4,835E+16;2,1855E+16;1,20302E+17;4,77794E+15;1,62735E+15;4,66643E+16;6,56486E+15;1666044546;0;1,64623E+13;2,41556E+13;5,60896E+14;1,05075E+14;1,69567E+13;1,20284E+14;8,85573E+12;8,08312E+13;3,08888E+13;7,81189E+13;;279170979594146000,00;;;
