TI3;"ProdPrim""""";"Zoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scall""""";"Lobs""""";"Sdemers""""";"Pil""""";"Cepha""""";"CarnZoopl""""";"Sgado""""";"Mull""""";"Sole""""";"Gurna""""";"Whit""""";"Cod""""";"RayDogFish""""";"Poll""""";"JohnDo""""";"Sande""""";"Herr""""";"Sprat""""";"Mack""""";"Scad""""";"BaskSha""""";"Bird""""";"Jbass""""";"Jplai""""";"Jwhit""""";"DepoFeed""""";"Whelk""""";"Plai""""";"Dab""""";"OFlatFish""""";"LBottFish""""";"Bream""""";"Bass""""";"Jcod""""";"Crab""""";"CommCrab""""";"Hake""""";"Seal""""";"ToothCet""""";"OvWint""""";"Sha""""";"Jsole""""";;SUM
"DepoFeed""""";0,08;0,32;0,1;0,24;0,08;0,19;0,03;0,06;0,4;0,07;0,16;0,01;0,09;0,02;0,02;0;0,24;0,2;0,44;0,06;0,02;0,09;0,14;0,09;0,03;0,11;0;0,04;0;0;0,07;0;0,03;0,01;0,02;0,04;0,23;0,05;0,01;0;0,26;0;0,09;0,08;0,09;0,06;0;0;;4,42
"Echino""""";0,05;0,02;0,06;0,03;0;0,08;0,01;0,06;0,08;0,01;0,02;0;0,02;0;0;0;0,02;0,01;0,08;0,01;0;0;0;0;0;0,02;0;0;0;0;0;0,08;0,03;0;0,02;0,03;0,02;0,03;0;0;0,03;0;0;0,01;0,01;0;0;0;;0,88
"Gurna""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Hake""""";0,01;0,08;0,02;0,04;0;0,04;0;0;0,07;0,03;0,04;0;0,03;0,01;0;0;0,07;0,04;0,09;0,02;0,02;0;0,03;0,04;0,02;0,02;0;0,03;0;0;0,03;0,09;0;0;0;0;0,06;0;0;0;0,06;0;0;0,02;0,04;0,02;0,01;0;;1,13
"Herr""""";0;0,11;0;0,06;0;0,03;0;0;0,1;0,03;0,06;0,01;0,05;0,01;0;0;0,09;0,09;0,14;0,03;0;0,07;0;0,05;0,01;0,04;0;0,02;0;0;0,05;0,14;0;0;0;0;0,07;0,02;0,01;0;0,08;0;0,03;0,04;0,04;0,03;0;0;;1,55
"Jbass""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jcod""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"JohnDo""""";0;0,02;0;0;0;0;0;0;0,01;0,01;0;0;0,01;0;0;0;0,02;0,01;0,02;0;0;0;0;0,02;0,01;0,01;0;0,01;0;0;0,01;0,02;0;0;0;0;0,01;0;0;0;0,01;0;0,02;0;0,01;0,01;0;0;;0,25
"Jplai""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jsole""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jwhit""""";0;0,06;0;0,05;0;0,03;0;0;0,07;0,01;0,03;0;0,05;0;0;0;0,07;0,05;0,07;0,02;0,01;0,02;0,05;0,02;0,01;0,03;0;0,01;0;0;0;0,07;0;0;0;0;0,07;0;0;0;0,07;0;0,03;0,02;0,02;0,01;0;0;;0,99
"LBottFish""""";0,01;0,14;0,04;0,13;0,02;0,08;0;0,01;0,23;0,01;0,11;0;0,08;0,01;0;0;0,16;0,13;0,23;0,04;0,01;0,04;0,07;0,02;0,01;0,06;0;0,02;0;0;0,07;0,23;0,01;0,01;0,01;0,02;0;0,02;0;0;0,18;0;0,06;0,09;0,06;0,06;0,02;0;;2,52
"Lobs""""";0,05;0,02;0,04;0,03;0,06;0,06;0,01;0;0,06;0,01;0,01;0;0,02;0;0;0;0,02;0,01;0,06;0,01;0;0;0;0;0;0,02;0;0;0;0;0;0,06;0,03;0;0,02;0,03;0,01;0,03;0;0;0,03;0;0;0;0;0;0;0;;0,73
"Mack""""";0,01;0,03;0;0;0;0;0;0;0,01;0,01;0,01;0;0;0;0;0;0,02;0,02;0,03;0;0,01;0,01;0,01;0,02;0;0,01;0;0,03;0;0;0,01;0,03;0;0;0;0;0,01;0;0;0;0,01;0;0,02;0;0,03;0;0;0;;0,35
"Mull""""";0;0,01;0,01;0,01;0;0,01;0;0;0,02;0,01;0,02;0;0,01;0;0;0;0;0;0,02;0;0;0,01;0,01;0;0;0,01;0;0;0;0;0;0,02;0;0;0;0;0,01;0,01;0;0;0,02;0;0,01;0,01;0,02;0,01;0;0;;0,27
"OFlatFish""""";0,03;0,01;0,02;0,01;0,03;0,03;0;0,03;0,04;0;0,01;0;0,02;0;0;0;0,03;0,02;0,04;0,02;0;0,01;0;0;0;0,02;0;0;0;0;0;0,04;0,02;0,01;0,02;0;0,02;0,03;0;0;0,01;0;0;0,01;0;0,01;0;0;;0,56
"OvWint""""";0;0,03;0;0;0;0;0;0;0,05;0,03;0,06;0;0,02;0,01;0;0;0,03;0,02;0,08;0,02;0,01;0,03;0,03;0,03;0;0,03;0;0,01;0;0;0,01;0,06;0;0,01;0;0,01;0,06;0,02;0;0;0,03;0;0,02;0,04;0,04;0;0,02;0;;0,84
"Pil""""";0,02;0,07;0,02;0,02;0,01;0,02;0,01;0,01;0,04;0;0,03;0;0,01;0,01;0;0;0,02;0,01;0,07;0,01;0,01;0,01;0,03;0,05;0,01;0,03;0;0,01;0;0;0,01;0,07;0;0;0;0;0,01;0,01;0;0;0,03;0;0,03;0;0,03;0,03;0;0;;0,78
"Plai""""";0;0;0;0;0;0;0;0;0,01;0;0,01;0;0;0;0;0;0,01;0,01;0,01;0,01;0;0,01;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0,01;0;0;0;0;0;0;0,01;0;0,01;0;0;;0,13
"Poll""""";0,01;0,04;0,02;0,02;0,01;0,03;0;0,01;0,06;0,01;0,04;0;0,03;0;0;0;0,05;0,05;0,06;0;0;0,02;0,03;0,02;0;0,02;0;0;0;0;0,02;0,06;0;0,01;0,01;0,02;0,04;0,02;0;0;0,03;0;0,02;0,03;0,02;0,02;0;0;;0,86
"ProdPrim""""";0;0,05;0,04;0,04;0,05;0,05;0,03;0,05;0,05;0,02;0,01;0;0,02;0;0,02;0;0,02;0,01;0,08;0,01;0;0;0;0,01;0,01;0,03;0;0,01;0;0;0;0,08;0,03;0;0,02;0,03;0,01;0,03;0;0;0,02;0;0,01;0;0,01;0;0;0;;0,89
