TI3;"Herr""""";"LizFish""""";"SpanMack""""";"KingMack""""";"Jack""""";"CatFish""""";"Shri""""";"MicroCrus""""";"Ofish""""";"Anne""""";"Zoopl""""";"BenthProd""""";"Anch""""";"Trout""""";"Mollu""""";"Mojar""""";"Sha""""";"RedGroup""""";"Crab""""";"Gru""""";"Flou""""";"RedSnap""""";"Phyto""""";;SUM;;;
"SpanMack""""";0,05;0,03;0,04;0,04;0,03;0,03;0,05;0,03;0,06;0,02;0,05;0,03;0,05;0,03;0,06;0,06;0,06;0,07;0,05;0,03;0,02;0,03;0,03;;0,95;;;
"Trout""""";0,03;0,03;0,03;0,03;0,03;0,03;0,05;0,05;0,03;0,06;0,05;0,06;0,06;0,04;0,06;0,04;0,06;0,07;0,06;0,04;0,03;0,08;0,04;;1,05;;;
"Zoopl""""";0,06;0,04;0,07;0,03;0,06;0,07;0,04;0,07;0,07;0,04;0,05;0,04;0,07;0,07;0,08;0,07;0,04;0,04;0,06;0,07;0,03;0,08;0,16;;1,42;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Herr""""";"LizFish""""";"SpanMack""""";"KingMack""""";"Jack""""";"CatFish""""";"Shri""""";"MicroCrus""""";"Ofish""""";"Anne""""";"Zoopl""""";"BenthProd""""";"Anch""""";"Trout""""";"Mollu""""";"Mojar""""";"Sha""""";"RedGroup""""";"Crab""""";"Gru""""";"Flou""""";"RedSnap""""";"Phyto""""";;SUM;;;
"Anch""""";424610455,9;1509707,2;123899509,9;162776716,4;21805959,42;25290257,84;2182691028;58590838646;491208307,7;2094633804;1,46637E+11;2770159157;249578816,3;6689534,83;15632886297;347207135,6;5381691,25;3807081,23;126641951,1;644795105,1;12287083,39;90491673,68;12883987983;;243529792142,82;;thresold:;2456178515,20
"Anne""""";4196594844;7539868,55;752671241,4;913629684,2;147615552,6;337770333;34499014606;1,59842E+11;5190157487;15608103377;3,06406E+11;46113911538;2094633804;56148746,36;34067934603;2456178515;39615230,57;29568600,41;1667021954;8841014673;112144334;540421093,9;96558750125;;720478579388,96;;;2456178515,20
"BenthProd""""";4212345973;5915228,45;482753581,2;669679165,3;144737139,8;87045994,99;7761301492;11352557626;4305479669;41921737761;16347384054;5161708018;2518326507;59678984,34;4597552921;4317803525;23242713,7;27894972,38;643963690,8;2960606821;146127199,7;199611851,2;98534568520;;206482023408,88;;;
"CatFish""""";40979845,34;104686,59;7824324;10555887,09;1820948,31;1242922,94;99037737,49;3001092047;43711672,64;337770333;7628087829;95750594,49;25290257,84;644596,47;826508115,9;41804655,97;395622;330477,79;7665589,5;37551746,43;1371185,47;4794090,21;1146118910;;13360454075,93;;;
