"TI3";""Herr"";""LizFish"";""SpanMack"";""KingMack"";""Jack"";""CatFish"";""Shri"";""MicroCrus"";""Ofish"";""Anne"";""Zoopl"";""BenthProd"";""Anch"";""Trout"";""Mollu"";""Mojar"";""Sha"";""RedGroup"";""Crab"";""Gru"";""Flou"";""RedSnap"";""Phyto"";;SUM
""Shri"";"5890568527,77";"9288556,04";"855838019,58";"1199066334,36";"239652945,89";"162061752,25";"14734860893,04";"60531850599,88";"6437134568,54";"56452932991,16";"122574571073,54";"13970342685,49";"3571676228,40";"83579093,82";"16698126460,10";"5816767530,28";"33236819,27";"44898059,43";"1092148003,56";"5200960319,87";"200083724,69";"345624817,84";"140445077177,36";;"456590347182,17"
""MicroCrus"";"105823559316,34";"72020920,35";"1946414010,56";"1013744566,56";"520504374,01";"3819571696,19";"47080328244,35";"181197230219,79";"75949638298,53";"203435086303,51";"267849172413,57";"15893580676,70";"74570158277,06";"1797122522,41";"111142129594,14";"103685215801,31";"41879636,51";"38802682,75";"6969516684,28";"76226649178,53";"1423646445,20";"563370388,87";"6554439644381,27";;"7835498986632,77"
""Ofish"";"853269910,32";"1947630,83";"174062623,11";"222116494,34";"33198288,72";"43711672,64";"3933804458,55";"59674715805,99";"943455811,12";"5190157487,48";"144460506886,41";"4736027636,38";"491208307,73";"12249766,32";"15669729743,02";"689407271,17";"8439949,60";"6368668,21";"226558069,97";"1138663914,10";"25140105,14";"123852640,89";"23223828833,95";;"261882421975,97"
""Anne"";"4196594844,42";"7539868,55";"752671241,39";"913629684,16";"147615552,57";"337770332,95";"34499014605,71";"159841853524,19";"5190157487,48";"15608103376,58";"306406285654,66";"46113911537,62";"2094633803,97";"56148746,36";"34067934603,18";"2456178515,20";"39615230,57";"29568600,41";"1667021954,05";"8841014672,59";"112144333,98";"540421093,86";"96558750124,52";;"720478579388,96"
""Zoopl"";"262591753808,97";"163919053,72";"3308132741,44";"210143820,26";"854293531,32";"9708475419,31";"95335777501,64";"267849172413,57";"183858826946,33";"389971636287,75";"204033886563,17";"22886337676,00";"186628418123,61";"4494287555,39";"230378556145,28";"256615491866,84";"18918946,32";"8894934,03";"16010078471,76";"189215757479,31";"3195003608,01";"758833833,33";"16844193662322,50";;"19172290259049,90"
""BenthProd"";"4212345972,63";"5915228,45";"482753581,20";"669679165,33";"144737139,81";"87045994,99";"7761301491,94";"11352557626,21";"4305479669,44";"41921737761,48";"16347384054,29";"5161708018,30";"2518326506,59";"59678984,34";"4597552920,55";"4317803525,13";"23242713,70";"27894972,38";"643963690,78";"2960606820,76";"146127199,69";"199611851,22";"98534568519,68";;"206482023408,88"
""Anch"";"424610455,94";"1509707,20";"123899509,90";"162776716,44";"21805959,42";"25290257,84";"2182691028,47";"58590838646,26";"491208307,73";"2094633803,97";"146636614239,98";"2770159157,25";"249578816,28";"6689534,83";"15632886296,74";"347207135,58";"5381691,25";"3807081,23";"126641951,14";"644795105,08";"12287083,39";"90491673,68";"12883987983,24";;"243529792142,82"
""Trout"";"11096250,29";"33010,01";"2941946,57";"3795633,20";"548414,47";"644596,47";"51076112,89";"1412024839,04";"12249766,32";"56148746,36";"3531225936,37";"65646882,77";"6689534,83";"171360,29";"379611761,51";"9511262,72";"144320,74";"108738,88";"3153132,42";"16020184,17";"272132,78";"2447212,49";"386813873,20";;"5952375648,79"
""Mollu"";"20076797361,10";"14122990,75";"348361107,47";"133880491,27";"87932721,51";"751371014,49";"9276736922,28";"79387235424,38";"14245208857,29";"30970849639,25";"164556111532,34";"4597552920,55";"14211714815,22";"345101601,37";"33080868597,88";"19678357816,23";"5180017,21";"4149332,30";"1318159491,48";"14909132461,04";"252590831,92";"124034904,39";"1275441544076,72";;"1683816994928,47"
""Mojar"";"607044186,02";"1898011,16";"163606768,69";"205958854,75";"30425613,24";"41804655,97";"3554691268,50";"81466955272,46";"689407271,17";"2456178515,20";"201626457895,37";"4749583877,65";"347207135,58";"9511262,72";"21646193597,86";"493314326,68";"8576249,14";"6118695,38";"201711846,12";"1050016666,48";"14229556,87";"145196055,43";"20700140430,53";;"340216228012,97"
""Sha"";"7185782,45";"33757,01";"2895339,02";"3641540,62";"480896,53";"359656,36";"18464899,60";"29914026,08";"7672681,46";"36013845,97";"13513533,09";"23242713,70";"4892446,59";"131200,68";"5180017,21";"7796590,13";"76916,77";"71313,67";"1227801,14";"8604684,65";"166662,98";"1264226,35";"312503326,54";;"485333858,60"
""RedGroup"";"5695689,45";"9041,17";"491468,45";"340714,92";"82267,43";"270390,92";"22449029,72";"24944581,77";"5210728,53";"24192491,25";"5718171,88";"25105475,14";"3114884,64";"88968,17";"3734399,07";"5006205,31";"64182,31";"22844,54";"1171734,25";"6885621,75";"152547,69";"521089,22";"186418522,84";;"321691050,41"
""Crab"";"252512970,20";"451651,41";"36746421,05";"47511850,28";"9044049,58";"9059333,05";"788773558,12";"6471694063,97";"267750446,32";"1970116854,79";"14866501438,06";"837152798,01";"149667760,44";"3726429,22";"1713607338,93";"238386727,23";"1596141,49";"1692505,03";"50902883,11";"262105911,40";"8027019,26";"18898516,59";"6834171983,33";;"34840098650,86"
""Gru"";"989260596,80";"2058535,64";"169772131,28";"224591716,46";"39143247,02";"34137951,30";"2889422399,93";"54447606556,09";"1035149012,82";"8037286065,99";"135154112485,22";"2960606820,76";"586177368,25";"14563803,79";"14909132461,04";"954560605,89";"8604684,65";"7650690,83";"201619931,84";"967312584,72";"31078747,48";"117633076,90";"26713742749,50";;"250495224224,21"
""Flou"";"9505089,50";"16812,44";"2155663,88";"2869549,29";"415910,29";"623266,12";"55578812,41";"508445159,00";"11427320,52";"50974697,26";"1141072717,15";"73063599,85";"5585037,91";"123696,72";"126295415,96";"6467980,40";"83331,49";"84748,72";"3087315,10";"15539373,74";"231113,25";"1426114,77";"282846777,73";;"2297919503,48"
""RedSnap"";"99019252,67";"161370,78";"6546097,95";"6792148,60";"2071446,85";"3486611,06";"153611030,15";"321925936,50";"90074647,92";"393033522,80";"433619333,33";"159689480,97";"65812126,31";"1779790,91";"99227923,51";"105597131,22";"1011381,08";"463190,42";"11629856,36";"94106461,52";"2281783,63";"1006783,69";"4739324988,16";;"6792272296,40"
