TI3;"Tibur""""";"Zalo""""";"AvesMar""""";"Odon""""";"Merlu""""";"Sciae""""";"Rhino""""";"Serran""""";"Ray""""";"OtroPec""""";"Haemu""""";"Pela""""";"Cepha""""";"PecPla""""";"Mycto""""";"Mojar""""";"JTotoa""""";"ATotoa""""";"CDeRo""""";"Jaib""""";"CAA""""";"Polique""""";"CCA""""";"Vaqu""""";"Esto""""";"InvBenth""""";"CCPL""""";"Zoopl""""";"Myst""""";"CAPL""""";"AvesCos""""";"Macroph""""";"Phyto""""";;SUM
"Haemu""""";0,05;0,06;0,06;0,05;0,03;0,04;0,05;0,02;0,04;0,04;0,03;0,03;0,05;0,05;0,03;0,03;0,02;0,02;0,04;0,02;0,04;0,02;0,04;0,05;0,02;0,04;0,05;0,04;0,03;0,05;0,02;0,02;0,05;;1,23
"Pela""""";0,04;0,06;0,06;0,04;0,05;0,03;0,02;0,01;0,01;0,03;0,02;0,03;0,03;0,02;0,03;0,02;0,05;0,07;0,02;0,02;0,02;0,02;0,02;0,05;0,01;0,02;0,05;0,04;0,05;0,04;0,01;0,01;0,04;;1,04
"Cepha""""";0,05;0,06;0,06;0,04;0,02;0,04;0,02;0,01;0,02;0,03;0,04;0,03;0,04;0,04;0,05;0,02;0,02;0,07;0,02;0,02;0,02;0,02;0,02;0,05;0,01;0,02;0,05;0,04;0,06;0,05;0,01;0,02;0,04;;1,08
"PecPla""""";0,04;0,06;0,02;0,02;0,02;0,03;0,02;0,02;0,04;0,03;0,04;0,02;0,04;0,03;0,02;0,04;0,02;0,02;0,04;0,02;0,03;0,03;0,02;0,02;0,02;0,03;0,04;0,04;0,02;0,04;0,02;0,05;0,02;;1
"Mycto""""";0,04;0,05;0,02;0,04;0,05;0,03;0,02;0,01;0,02;0,03;0,02;0,03;0,05;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,04;0,05;0,02;0,02;0,05;0,04;0,06;0,04;0,02;0,02;0,04;;0,99
"Mojar""""";0,05;0,06;0,06;0,05;0,02;0,04;0,05;0,05;0,03;0,04;0,03;0,02;0,03;0,05;0,02;0,03;0,03;0,02;0,04;0,03;0,04;0,04;0,04;0,05;0,04;0,04;0,04;0,02;0,02;0,04;0,02;0,05;0,02;;1,23
"JTotoa""""";0,01;0,05;0,02;0,04;0,02;0,03;0,02;0,01;0,02;0,03;0,01;0,04;0,01;0,01;0,01;0,02;0,02;0,02;0,03;0,03;0,03;0,03;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,02;0,01;0,01;;0,69
"ATotoa""""";0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,02;0,03;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,43
"CDeRo""""";0,02;0,02;0,02;0,02;0,05;0,03;0,02;0,04;0,04;0,03;0,04;0,02;0,02;0,04;0,02;0,04;0,05;0,07;0,03;0,04;0,02;0,04;0,02;0,02;0,02;0,04;0,02;0,04;0,02;0,02;0,02;0,05;0,04;;1,03
"Jaib""""";0,02;0,02;0,05;0,02;0,02;0,04;0,05;0,05;0,04;0,03;0,02;0,02;0,02;0,02;0,02;0,03;0,05;0,07;0,05;0,04;0,04;0,05;0,05;0,02;0,05;0,04;0,04;0,04;0,02;0,04;0,08;0,05;0,05;;1,26
"CAA""""";0,03;0,03;0,03;0,05;0,06;0,04;0,06;0,05;0,05;0,04;0,04;0,03;0,03;0,05;0,05;0,05;0,06;0,07;0,03;0,05;0,04;0,05;0,04;0,06;0,05;0,05;0,03;0,05;0,06;0,03;0,08;0,05;0,05;;1,52
"Polique""""";0,02;0,02;0,06;0,03;0,05;0,04;0,05;0,05;0,05;0,04;0,03;0,02;0,02;0,04;0,02;0,04;0,06;0,03;0,05;0,05;0,04;0,04;0,05;0,02;0,05;0,05;0,03;0,05;0,06;0,03;0,08;0,05;0,05;;1,37
"CCA""""";0,02;0,02;0,02;0,04;0,02;0,03;0,03;0,05;0,04;0,02;0,04;0,02;0,02;0,02;0,04;0,04;0,02;0,02;0,02;0,04;0,03;0,04;0,03;0,05;0,05;0,04;0,02;0,04;0,05;0,02;0,07;0,05;0,04;;1,1
"Vaqu""""";0,02;0,02;0,02;0,02;0,01;0,03;0,02;0,04;0,03;0,03;0,03;0,03;0,03;0,01;0,04;0,03;0,01;0,02;0,01;0,01;0,03;0,01;0,03;0,02;0,01;0,01;0,02;0,01;0,02;0,02;0,01;0,01;0,01;;0,68
"Esto""""";0,02;0,02;0,02;0,02;0,02;0,03;0,05;0,05;0,04;0,03;0,02;0,02;0,01;0,02;0,02;0,04;0,05;0,02;0,03;0,05;0,04;0,04;0,05;0,02;0,03;0,04;0,02;0,04;0,02;0,04;0,08;0,05;0,04;;1,08
"InvBenth""""";0,02;0,02;0,02;0,03;0,05;0,04;0,05;0,05;0,05;0,04;0,04;0,02;0,02;0,05;0,02;0,04;0,06;0,02;0,05;0,05;0,05;0,05;0,05;0,02;0,05;0,04;0,03;0,05;0,06;0,03;0,08;0,05;0,05;;1,35
"CCPL""""";0,02;0,02;0,02;0,02;0,05;0,03;0,01;0,01;0,01;0,03;0,03;0,04;0,04;0,04;0,04;0,03;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,04;0,05;0,03;0,01;0,04;0,04;;0,9
"Zoopl""""";0,02;0,02;0,02;0,02;0,06;0,02;0,02;0,02;0,02;0,03;0,04;0,05;0,05;0,04;0,05;0,02;0,02;0,03;0,04;0,04;0,04;0,04;0,05;0,02;0,04;0,04;0,05;0,03;0,07;0,05;0,08;0,03;0,05;;1,24
"Myst""""";0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,03;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,03;0,01;0,01;0,03;0,04;0,03;0,02;0,04;0,02;0,01;0,02;;0,64
"CAPL""""";0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,01;0,02;0,03;0,03;0,04;0,04;0,04;0,04;0,03;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,04;0,02;0,03;0,04;0,05;0,03;0,02;0,04;0,04;;0,89
"AvesCos""""";0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,03;0,03;0,01;0,03;0,03;0,01;0,03;0,01;0,01;0,02;0,01;0,01;;0,43
"Macroph""""";0,01;0,01;0,02;0,01;0,02;0,02;0,02;0,05;0,04;0,03;0,02;0,01;0,01;0,04;0,01;0,04;0,02;0,02;0,04;0,04;0,03;0,04;0,04;0,02;0,04;0,04;0,04;0,02;0,02;0,04;0,02;0,03;0,02;;0,87
"Phyto""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,04;0,04;0,04;0,02;0,04;0,02;0,02;0,02;0,04;0,04;0,03;0,03;0,04;0,02;0,04;0,03;0,04;0,04;0,03;0,05;0,03;0,02;0,03;;0,94
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Tibur""""";"Zalo""""";"AvesMar""""";"Odon""""";"Merlu""""";"Sciae""""";"Rhino""""";"Serran""""";"Ray""""";"OtroPec""""";"Haemu""""";"Pela""""";"Cepha""""";"PecPla""""";"Mycto""""";"Mojar""""";"JTotoa""""";"ATotoa""""";"CDeRo""""";"Jaib""""";"CAA""""";"Polique""""";"CCA""""";"Vaqu""""";"Esto""""";"InvBenth""""";"CCPL""""";"Zoopl""""";"Myst""""";"CAPL""""";"AvesCos""""";"Macroph""""";"Phyto""""";;SUM
"ATotoa""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"AvesCos""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"AvesMar""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"CAA""""";0,08;0,02;0;0,06;0;0,23;0,05;0,08;0,11;0,3;0,11;0,09;0,12;0,03;0,08;0,12;0;0;0,14;0,18;0;0,23;0,21;0;0,15;0,24;0,06;0,17;0;0,05;0;0,03;0,03;;2,94
"CAPL""""";0,03;0;0;0,02;0;0,03;0;0;0;0,05;0,03;0,02;0,05;0,02;0,05;0;0;0;0,02;0,02;0,05;0,03;0,05;0;0,02;0,03;0,06;0,06;0;0;0;0;0,02;;0,61
"CCA""""";0,03;0;0;0,02;0;0,12;0,05;0,06;0,08;0,17;0,08;0,05;0,08;0,02;0,06;0,09;0;0;0,08;0,14;0,21;0,15;0;0;0,12;0,15;0,05;0,12;0;0,05;0;0,03;0,03;;2
