"TI3";""BalWhale"";""ToothWhale"";""Apoll"";""Jpoll"";""PacCod"";""Shri"";""PacHerr"";""Cepha"";""ForFish"";""Lzoopl"";""Copep"";""WalrBSeal"";""Seal"";""StLion"";""Phal"";""ArrTooFlo"";""SFlatFish"";""MacroUri"";""KingCrab"";""PacSal"";""SpeWhale"";""GreenTur"";""TanCrab"";""SnowCrab"";""EpiFau"";""InFAu"";""BenthAmph"";""Jelly"";""SculRockFish"";""Bird"";""Skate"";""Zoar"";""Phyto"";;SUM
""BalWhale"";"217121623,91";"1951329,76";"8724713174,52";"2886689432,39";"43860834,40";"137073954,16";"748021837,25";"1589051385,89";"2624363563,82";"394663311934,04";"3338367288968,47";"2788411,77";"7540256,37";"2100414,56";"1250393,44";"4237880,94";"63577087,76";"54982192,88";"68616,19";"38047166,06";"1361693,88";"2013825,72";"82245,06";"255326,23";"5088801,42";"2003587,13";"87296142,98";"1250663904,01";"12640676,62";"45804547,05";"8790503,29";"28850942,26";"1018269217938,21";;"4769892110592,44"
""ToothWhale"";"3122127,62";"19443,73";"124945840,17";"41178981,39";"389624,70";"2183849,77";"10996636,81";"23547130,68";"39224427,88";"771148661,11";"958658187,90";"140093,39";"77165,02";"15891,72";"11438,84";"37364,26";"1004014,99";"916034,97";"13878,15";"561907,70";"21331,24";"15901,35";"15974,06";"51778,99";"898728,17";"849390,87";"2993593,88";"10299020,25";"150174,54";"664011,08";"71460,42";"440563,09";"14559747767,99";;"16554412396,71"
""Apoll"";"15704483714,14";"140564070,19";"630848416983,44";"208755838306,77";"3202771942,41";"9598768185,54";"54017389179,42";"115421305746,22";"189310097944,36";"29608954805928,50";"252674549621363,00";"173651710,14";"548272658,32";"152226307,19";"89797192,35";"310879218,98";"4595720594,15";"4021126465,11";"1379716,44";"2788991984,38";"92604506,18";"146003651,91";"1689194,30";"5273326,05";"78163186,48";"117719660,85";"6113238159,93";"91770227370,17";"924330512,20";"3348817371,86";"639321746,74";"2117294272,73";"72308841691864,90";;"355937382484035,00"
""Jpoll"";"5196040978,31";"46326354,07";"208755838306,77";"69077122998,45";"1056015424,89";"3184609539,87";"17866886284,24";"38137195893,38";"62565912841,91";"9768769941197,05";"83271375908918,40";"56034336,33";"180822072,35";"50179477,22";"29557301,51";"102475203,73";"1517992484,52";"1323640180,39";"316376,99";"919957699,61";"30166843,89";"48133484,18";"390292,51";"1256596,81";"23024278,16";"44586263,15";"2028641579,82";"30343063721,10";"304569368,62";"1105956411,15";"210976745,59";"697414849,96";"24009945660566,90";;"117494996614872,00"
""PacCod"";"100879919,11";"560085,51";"4092430815,31";"1349353042,91";"17961544,96";"108363810,71";"351375812,28";"695974650,28";"1192472038,20";"38981921578,32";"95959376896,28";"27450681,17";"2004742,95";"447636,17";"329607,98";"960012,53";"60083495,40";"34970558,51";"2843954,11";"15113990,99";"656729,96";"413958,43";"3359196,17";"10224413,79";"552331430,06";"354497160,21";"74888145,60";"381694331,93";"8144686,84";"19196529,84";"2471462,08";"14069261,69";"567476750754,38";;"711893572934,67"
""Shri"";"274147908,31";"2729812,21";"10665297983,93";"3538455044,30";"94229400,62";"20023610,22";"947692527,70";"2463851503,85";"3439172126,00";"747870197160,84";"7306413133887,59";"49768388,07";"11902015,49";"2791193,50";"1691127,78";"7381471,54";"113040271,65";"146969347,02";"6271461,80";"76903836,20";"1871642,48";"2780969,47";"6374277,78";"19222198,88";"34799338,29";"1913987270,11";"232334287,33";"1714382137,86";"36158406,78";"82238524,27";"14891597,95";"74263272,98";"342036964115,81";;"8422315918118,64"
""PacHerr"";"972428388,43";"8934767,41";"39012558851,80";"12903862316,40";"198603719,99";"616000143,00";"3338304735,31";"7100765910,79";"11682785965,65";"1804705661971,93";"15306878416186,60";"15801872,45";"34438433,04";"9550207,03";"5692519,27";"19089348,28";"290434022,19";"249819542,96";"577651,62";"169896133,83";"6224390,18";"9191240,55";"729932,23";"2211964,47";"149987961,50";"22945420,70";"447161570,52";"5654995787,83";"57223335,59";"205496800,03";"40207247,76";"130649654,19";"4557754028724,74";;"21752694676718,30"
""Cepha"";"3495913048,95";"32377304,69";"141070484800,94";"46612128314,13";"665714882,88";"2710236654,24";"12016680772,11";"24024201422,67";"41601449641,98";"5518887430240,49";"43437169303830,90";"38126020,81";"118380172,72";"34429057,79";"20851759,09";"62121057,79";"960102695,75";"708630893,95";"1107425,70";"517717693,54";"25083308,78";"32956629,24";"1285233,04";"3972543,44";"40231096,38";"82646305,02";"1615238572,36";"19630895567,69";"178365443,10";"658382886,98";"143233815,17";"378001789,73";"19467140994740,00";;"68720678675622,00"
""ForFish"";"5248727127,63";"49030534,85";"210344553271,51";"69517680935,46";"1036932207,13";"3439172126,00";"17973516870,24";"37819499674,53";"62672428186,37";"9242816944266,19";"77105023596993,70";"59786671,65";"186235499,01";"51413931,72";"31075907,53";"99719170,71";"1504398339,65";"1296134205,58";"1230964,89";"885737179,11";"36344076,77";"49752820,15";"1355716,06";"4377908,83";"29883284,90";"238262124,78";"2956940666,36";"29971333887,40";"294202113,28";"1085092434,68";"217195855,69";"683689469,31";"25553518325925,60";;"112349144570347,00"
""Lzoopl"";"749860292674,68";"915739035,07";"31253896739591,20";"10311479382374,70";"32202456956,01";"710476687302,80";"2637646736728,20";"4766311871571,33";"8780676097052,88";"585594283673619,00";"2917147175737980,00";"2901459054,96";"5125804387,31";"999987316,29";"574012024,92";"3809647408,95";"191661637500,85";"79839542310,18";"11035800,13";"86673374012,41";"473884667,33";"972340166,66";"13835600,61";"43963186,45";"299230589,87";"951177135,21";"38644254037,53";"3567979855208,94";"13059822324,27";"115903398196,22";"4284375536,61";"40275377247,13";"5124800095315140,00";;"8690939518743740,00"
""Copep"";"4339877475659,01";"778909777,67";"182487174726540,00";"60140438156441,10";"54237908680,51";"4749168537026,93";"15306878416186,60";"25667418224991,00";"50118265338045,90";"1995942804452300,00";"585639198928624,00";"7025416044,08";"8319921859,04";"832882700,76";"506261566,84";"7796757988,47";"1035372383406,96";"213023311355,62";"3023779,98";"383663285644,42";"629213124,32";"786781204,80";"3388564,92";"13980455,85";"328273157,52";"270517733,81";"36057240447,79";"19555947434494,50";"29232479818,14";"567353627994,47";"3424156563,69";"105783776487,01";"33643902054532300,00";;"36590304669720900,00"
""WalrBSeal"";"3346094,12";"105070,05";"115767806,76";"37356224,22";"14322094,52";"29861032,84";"14586343,80";"20796011,35";"35872002,99";"1832500455,76";"6484999425,30";"31932178,32";"258922,61";"68218,28";"56547,49";"89604,34";"31510206,08";"16840004,12";"3670747,74";"605499,26";"136431,24";"79784,11";"4126730,69";"12413972,92";"477698787,15";"697306331,73";"31377343,29";"12694009,25";"7002366,43";"917302,71";"1459724,39";"5170581,20";"19942772129,05";;"29867699984,11"
""Seal"";"7540256,37";"48228,14";"304595921,29";"100456706,86";"871627,37";"5951007,75";"26491102,34";"53809169,42";"93117749,50";"2697791782,80";"6399939891,57";"215768,84";"177272,80";"41884,78";"30017,39";"85876,55";"2215911,51";"1787196,05";"20598,46";"1191200,68";"58732,87";"40133,65";"23541,92";"78828,82";"739244,67";"845296,00";"5416076,87";"27672234,58";"308431,27";"1454723,92";"173137,47";"879635,98";"40577306748,61";;"50311375937,09"
""StLion"";"2940580,39";"13905,25";"118398238,92";"39028482,29";"272474,19";"1953835,45";"10284838,35";"21909400,41";"35989752,21";"736832759,37";"896950600,82";"79587,99";"58638,69";"10172,86";"7560,37";"29381,91";"900660,31";"803433,58";"7283,91";"521667,92";"13780,43";"10324,43";"8258,64";"29079,09";"425066,32";"382440,93";"2487184,53";"9802583,34";"118428,95";"619470,66";"47509,64";"393297,67";"13912721713,44";;"15794052393,26"
""Phal"";"1625511,47";"9294,06";"64853527,81";"21346939,98";"186300,16";"1099233,06";"5692519,27";"12321494,01";"20199339,90";"392745069,68";"506261566,84";"61259,78";"39022,60";"7020,34";"4988,03";"18067,29";"514965,96";"482370,60";"5799,60";"295125,60";"8287,89";"7609,06";"6730,67";"22256,31";"420550,15";"190289,32";"1856456,80";"5303115,14";"73685,08";"350900,35";"34860,10";"231751,22";"7446190415,62";;"8482466323,75"
""ArrTooFlo"";"3390304,75";"18682,13";"138168541,77";"45544534,99";"333917,40";"2952588,62";"11747291,25";"22589475,56";"39887668,29";"1604062066,93";"4798004915,98";"59736,23";"68701,24";"16789,67";"11118,33";"32680,15";"947793,85";"598622,04";"4569,85";"452578,54";"16653,90";"15845,65";"5476,32";"19755,49";"851842,61";"80985,24";"1992282,00";"13740136,43";"110485,83";"591120,30";"71164,63";"302888,95";"20762428424,29";;"27449119639,21"
""SFlatFish"";"108081049,20";"1066765,93";"4340402783,37";"1433659568,72";"44409540,08";"96084230,91";"379798336,71";"741897537,63";"1278738588,70";"171486728290,24";"1353948501378,33";"44639458,62";"3767049,57";"1093658,94";"673417,03";"2014061,94";"52608803,01";"40967171,38";"5767409,61";"16583476,62";"817021,56";"1077730,63";"6017765,02";"18123113,52";"217453628,47";"1591981076,47";"93833971,05";"605904831,84";"17081338,70";"20559830,26";"7024828,95";"19387525,35";"596880811160,13";;"2133507556398,45"
""MacroUri"";"60480412,17";"629774,04";"2457355062,01";"808891221,35";"16725049,72";"80833140,86";"211385767,12";"354315446,97";"712873813,07";"46222892916,42";"180250494223,98";"15436670,44";"1965915,65";"631269,25";"408159,74";"823105,31";"26508169,71";"12282915,77";"1821665,96";"5115518,17";"643430,75";"615608,32";"2008420,39";"6042920,40";"177441292,00";"376654433,37";"51842000,45";"296415408,76";"5418084,01";"8119023,82";"3207981,64";"5169133,23";"467927516542,95";;"700102964497,81"
""KingCrab"";"61754,57";"7806,46";"689858,22";"158188,49";"1112851,61";"2822157,81";"399912,66";"453037,79";"553934,20";"5227484,27";"2093386,14";"2753060,81";"18538,62";"4682,51";"4015,10";"5141,08";"3053334,50";"1490453,96";"301396,20";"26232,46";"10552,06";"5429,58";"348452,17";"1047716,11";"50159403,56";"47001663,22";"2357741,30";"34232,81";"554259,75";"54211,36";"103320,48";"410141,03";"60144316,88";;"183468667,76"
""PacSal"";"41851882,67";"386311,54";"1704383990,45";"562196371,98";"7228430,47";"42297109,91";"143758267,08";"258858846,77";"487155448,51";"50179321796,66";"324638164776,05";"555040,99";"1310320,74";"409881,93";"249721,66";"622295,50";"10730484,87";"5115518,17";"32061,90";"4437917,58";"311978,58";"390762,16";"40086,17";"121399,00";"7301252,90";"757454,18";"19603656,35";"225437135,43";"1693030,51";"6401515,37";"1698674,41";"2817015,91";"290746177982,96";;"669101818419,36"
""SpeWhale"";"544677,55";"5332,81";"20578779,15";"6703743,09";"114213,91";"374328,50";"1915196,98";"4560601,60";"7268815,35";"99765193,12";"193604038,25";"45477,08";"23493,15";"3937,27";"2550,12";"8326,95";"192240,37";"233974,82";"4689,80";"113446,76";"2936,31";"5388,46";"5494,91";"16590,23";"250635,10";"100212,00";"1633768,57";"1534663,53";"36931,41";"135339,54";"24815,31";"105538,09";"1972249399,11";;"2312164769,18"
""GreenTur"";"1812443,15";"8944,51";"73001825,95";"24066742,09";"161983,73";"1251436,26";"6363166,53";"13482257,42";"22388769,07";"460582184,21";"544694680,25";"59838,08";"36120,28";"6637,13";"5267,81";"17826,36";"570563,27";"503679,54";"5429,58";"319714,49";"12124,04";"6437,71";"6401,56";"21567,49";"525053,54";"99348,16";"1488448,70";"6078210,09";"71924,79";"378460,06";"28225,77";"243449,78";"8672437291,77";;"9830736453,17"
""TanCrab"";"82245,06";"9983,78";"938441,28";"216829,17";"1460520,07";"3187138,89";"561486,33";"584196,84";"677858,03";"7281895,06";"2606588,40";"3438942,24";"23541,92";"5899,03";"5177,44";"6845,40";"3539861,78";"1825836,72";"387169,08";"36441,97";"13737,29";"7112,84";"440503,36";"1324791,23";"56340658,94";"67957790,49";"3224308,48";"49184,91";"723365,47";"63998,60";"141823,36";"532183,70";"86938590,01";;"244634947,15"
""SnowCrab"";"255326,23";"32361,87";"2929625,58";"698109,34";"4445397,30";"9611099,44";"1701511,13";"1805701,56";"2188954,42";"23138519,19";"10754196,81";"10344977,43";"78828,82";"20770,78";"17120,24";"24694,36";"10660655,01";"5493564,00";"1164129,01";"110362,72";"41475,57";"23963,87";"1324791,23";"3984224,49";"169673078,64";"204015490,95";"9665242,34";"155055,30";"2185126,31";"196079,10";"438423,24";"1602927,75";"266622713,47";;"745404497,51"
""EpiFau"";"7124321,99";"786387,15";"60793589,48";"17907771,91";"336201740,03";"24359536,80";"161525497,01";"25601606,79";"20918299,43";"220485697,80";"353524938,87";"557315251,68";"1034942,54";"425066,32";"452900,17";"1490724,57";"179079458,74";"225834371,64";"78025738,87";"9292503,68";"877222,85";"816749,95";"78876922,52";"237542310,10";"81085148,58";"24275988108,86";"583817064,97";"1958755,47";"161595771,84";"827554,32";"38322176,13";"105387004,26";"2603320155,90";;"30452595291,18"
""InFAu"";"2604663,27";"690130,08";"85019755,05";"32201190,05";"200367960,12";"1244091725,57";"22945420,70";"48836452,96";"154870381,11";"650805408,30";"270517733,81";"755415192,71";"1098884,80";"355123,72";"190289,32";"131601,01";"1217397293,77";"445137057,62";"67891291,32";"895173,12";"325689,01";"143502,90";"88345127,63";"265220138,24";"22541988958,23";"83887314,71";"17521651,15";"6461638,11";"107806944,72";"16883454,88";"6981751,73";"77634876,67";"10624521647,15";;"39039185423,54"
""BenthAmph"";"122214600,17";"2619394,64";"4754740791,06";"1577832339,86";"45584088,63";"162634001,13";"481558614,41";"1027879091,50";"2069858466,45";"28474713501,34";"38830874328,39";"36606900,51";"7582507,62";"2487184,53";"1999261,17";"3486493,50";"77275034,98";"65980727,85";"3667597,58";"24950108,08";"5718189,99";"2315364,64";"4514031,87";"13531339,27";"583817064,97";"18869470,47";"108578220,65";"385320715,94";"14411136,95";"25958256,57";"8503987,67";"26274975,92";"535066075240,20";;"614038433028,50"
""Jelly"";"750398342,41";"3862132,59";"30590075790,06";"10114354573,70";"99572434,42";"514314641,36";"2609998055,92";"5353880609,37";"8991400166,22";"1126730480592,30";"9025821892843,63";"6347004,62";"16603340,75";"4201107,15";"2447591,60";"10305102,32";"213848764,18";"161681132,05";"22821,87";"122965710,23";"2301995,30";"4052140,06";"29510,94";"93033,18";"839466,63";"2982294,51";"165137449,69";"4061917808,84";"32284492,53";"149035720,85";"17796220,54";"83510323,54";"3864628540323,35";;"14081267173536,70"
