TI3;"TranOrc""""";"Porp""""";"Pinni""""";"ResOrc""""";"Asal""""";"Aherr""""";"Sha""""";"Hal""""";"LingCod""""";"SabFish""""";"Aatooth""""";"PacCod""""";"Jatooth""""";"DeepDem""""";"PollOne""""";"RockFish""""";"Squide""""";"DeepEpiBent""""";"Cape""""";"Jherr""""";"Jelly""""";"OmnZoopl""""";"ShalSmEpiBenth""""";"Sal""""";"NshDem""""";"Eula""""";"ShalEpiBenth""""";"Sandl""""";"HerbZoopl""""";"PollZero""""";"DeepSmInFau""""";"AviPred""""";"ShalSmInFau""""";"NeaOmnZoo""""";"Bird""""";"ShalLgInFau""""";"MeioFau""""";"DeepLgInFau""""";"BelWhale""""";"NeaHerbZoo""""";"Otter""""";"MacroalgaGrass""""";"InveatBird""""";"NeaPhyto""""";"OffshPhyto""""";;SUM;
"Jelly""""";0;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,03;0,01;0,03;0;0,01;0;0,01;0,03;0,01;0,01;0;0,01;0,03;0,01;0,02;0;0,01;0,01;0,05;0,01;0;0,01;0,08;0,14;;0,78;
"OmnZoopl""""";0,01;0,02;0,03;0,02;0,03;0,05;0,05;0,02;0,05;0,05;0,06;0,03;0,05;0,04;0,04;0,05;0,04;0,04;0,05;0,05;0,08;0,04;0,02;0,05;0,02;0,04;0,01;0,05;0,05;0,06;0,08;0,02;0,01;0,04;0,05;0,02;0,03;0,03;0,1;0,06;0,01;0,01;0,01;0,03;0,15;;1,87;
"ShalSmEpiBenth""""";0,01;0,02;0,02;0,02;0,03;0,04;0,04;0,04;0,02;0,02;0,02;0,04;0,02;0,04;0,02;0,04;0,03;0,02;0,04;0,02;0,02;0,02;0,05;0,04;0,05;0,04;0,08;0,04;0,02;0,01;0,02;0,1;0,05;0,02;0,05;0,03;0,02;0,01;0,01;0,02;0,02;0,15;0,21;0,08;0,01;;1,67;
"Sal""""";0,02;0,02;0,04;0,03;0,05;0,02;0,02;0,04;0,05;0,02;0,02;0,01;0,02;0,01;0,04;0,02;0,02;0,01;0,04;0,03;0,06;0,03;0,03;0,03;0,02;0,04;0,01;0,04;0,04;0,02;0,01;0,03;0,01;0,04;0,05;0,01;0;0,01;0,02;0,05;0;0,01;0,01;0,02;0,03;;1,16;
"NshDem""""";0,03;0,05;0,04;0,01;0,02;0,02;0,02;0,04;0,04;0,02;0,04;0,04;0,02;0,04;0,02;0,04;0,02;0,04;0,02;0,03;0,01;0,02;0,04;0,02;0,03;0,02;0,06;0,04;0,03;0,02;0,02;0,09;0,07;0,01;0,04;0,02;0,03;0,02;0,02;0,01;0,02;0,04;0,04;0,02;0,01;;1,38;
"Eula""""";0,04;0,05;0,05;0,03;0,06;0,03;0,02;0,04;0,05;0,04;0,05;0,04;0,04;0,03;0,04;0,02;0,04;0,02;0,03;0,03;0,02;0,03;0,04;0,05;0,03;0,03;0,02;0,03;0,04;0,02;0,02;0,1;0,02;0,04;0,05;0,02;0,02;0,01;0,02;0,02;0,01;0,02;0,02;0,01;0,02;;1,42;
"ShalEpiBenth""""";0;0,01;0,01;0;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,03;0,01;0,03;0,02;0,01;0,01;0,02;0,01;0,01;0;0;0,04;0,01;0,03;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,07;0;0,01;0,03;0,02;0,03;0;0;0,11;0,14;0,04;0,02;0;;0,91;
"Sandl""""";0,04;0,05;0,05;0,03;0,05;0,03;0,02;0,04;0,02;0,04;0,05;0,04;0,04;0,02;0,04;0,04;0,02;0,02;0,03;0,03;0,02;0,04;0,04;0,05;0,04;0,03;0,02;0,03;0,04;0,03;0,02;0,03;0,02;0,05;0,05;0,01;0,01;0,01;0,09;0,05;0,01;0,02;0,02;0,02;0,02;;1,42;
"HerbZoopl""""";0,01;0,02;0,02;0,02;0,02;0,04;0,02;0,02;0,05;0,03;0,03;0,02;0,02;0,02;0,04;0,05;0,04;0,04;0,04;0,04;0,07;0,05;0,02;0,05;0,04;0,04;0,02;0,04;0,04;0,05;0,07;0,02;0,01;0,05;0,05;0,02;0,02;0,11;0,03;0,03;0,03;0,01;0,01;0,02;0,15;;1,62;
"PollZero""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,04;0,03;0,04;0,01;0,03;0,03;0,03;0,01;0,02;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,03;0,02;0;0,01;0,04;0,01;0;0,01;0,01;0,02;0,04;0;0,01;0;0,01;0,02;;0,75;
"DeepSmInFau""""";0;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,01;0,03;0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0;0;0,01;;0,5;
"AviPred""""";0;0,01;0,01;0,02;0,04;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0,01;0,01;0;0,01;0;0,01;0,01;0;0;0,03;0,01;0,03;0,03;0,01;0,01;0,01;0;0;0,02;0,01;0;0,03;0,01;0;0;0;0;0;0,01;0,01;0,01;0;;0,39;
"ShalSmInFau""""";0;0,01;0,01;0;0;0;0,01;0,01;0,01;0,01;0;0,03;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0;0,02;0;0,03;0,01;0,05;0,01;0;0,01;0,01;0,01;0,05;0,01;0,01;0,02;0,01;0,01;0;0,01;0,02;0,02;0,2;0,07;0;;0,76;
"NeaOmnZoo""""";0,01;0,02;0,02;0,02;0,02;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,04;0,01;0,04;0,04;0,04;0,01;0,04;0,04;0,07;0,03;0,02;0,04;0,01;0,03;0,01;0,04;0,04;0,05;0,01;0,02;0,02;0,04;0,05;0,03;0,01;0,01;0,09;0,06;0,01;0,01;0,01;0,08;0,03;;1,3;
"Bird""""";0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,02;0,02;0,01;0,02;0,01;0,02;0,02;0,03;0,02;0,03;0,01;0,03;0,03;0,02;0,03;0,04;0,04;0,04;0,04;0,02;0,03;0,03;0,02;0,01;0,09;0,01;0,04;0,03;0,1;0,01;0,02;0,02;0,02;0,02;0,01;0,02;0,03;0,02;;1,1;
"ShalLgInFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0,01;0;0;0,01;0;0,01;0;0;0;0,01;0;0;0;0;0,01;0,01;0,01;0,03;0,04;0,01;0,03;0;0,01;0,1;0,01;0,01;0,07;0;;0,46;
"MeioFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0,01;0,02;0,01;0;0;0,01;0,01;0;0;0;;0,16;
"DeepLgInFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0,01;0;0,03;0;0;0;0;0;0;0,01;0;0,01;0;0,02;0;0,01;0;0;0;0;0,03;0,02;0,04;0;0;0,11;0,01;0;0,01;0,01;;0,41;
"BelWhale""""";0;0,01;0,01;0,01;0,01;0,03;0,01;0;0,01;0,01;0,01;0;0,01;0;0,01;0,01;0,01;0;0,01;0,02;0,01;0,02;0;0,01;0;0,01;0;0,02;0,01;0,01;0;0;0;0,03;0,01;0;0;0;0,02;0,01;0;0;0;0,01;0,01;;0,35;
"NeaHerbZoo""""";0,01;0,01;0,01;0,02;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,03;0,03;0,06;0,03;0,01;0,04;0,01;0,01;0;0,03;0,02;0,04;0,01;0,01;0,01;0,04;0,01;0,02;0;0;0,02;0,03;0;0;0,01;0,08;0,03;;0,84;
"Otter""""";0;0;0;0;0;0;0;0,01;0;0;0;0;0;0,01;0;0;0;0,03;0;0;0;0;0,01;0;0,01;0;0,05;0;0,01;0;0,01;0;0,01;0;0,01;0,1;0,02;0,11;0;0;0,06;0,02;0;0,02;0;;0,52;
"MacroalgaGrass""""";0;0;0;0;0;0;0;0,01;0;0;0;0,01;0;0,01;0;0;0;0,02;0;0;0;0;0,02;0;0,01;0;0,05;0;0;0;0;0,01;0,01;0;0;0,01;0,01;0,01;0;0;0,02;0,03;0,01;0;0;;0,27;
"InveatBird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0,01;0;0,01;0;0;0;0;0;0,06;0;0;0;0;0;0;0;0;0,01;0,03;0,01;0;;0,21;
"NeaPhyto""""";0;0;0;0;0;0,01;0,01;0;0;0,01;0;0,01;0;0,01;0;0;0,01;0;0,01;0,01;0,05;0,01;0,03;0,01;0,01;0;0,01;0,01;0,01;0,01;0;0,01;0,06;0,03;0,01;0,1;0;0,01;0,01;0,04;0,02;0,01;0,03;0,04;0,02;;0,62;
"OffshPhyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,02;0;0,01;0;0;0;0;0,02;0;0,01;0;0;0,01;0;0;0;0,01;0;0,01;0;0;0;0,01;0,03;;0,23;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"TranOrc""""";"Porp""""";"Pinni""""";"ResOrc""""";"Asal""""";"Aherr""""";"Sha""""";"Hal""""";"LingCod""""";"SabFish""""";"Aatooth""""";"PacCod""""";"Jatooth""""";"DeepDem""""";"PollOne""""";"RockFish""""";"Squide""""";"DeepEpiBent""""";"Cape""""";"Jherr""""";"Jelly""""";"OmnZoopl""""";"ShalSmEpiBenth""""";"Sal""""";"NshDem""""";"Eula""""";"ShalEpiBenth""""";"Sandl""""";"HerbZoopl""""";"PollZero""""";"DeepSmInFau""""";"AviPred""""";"ShalSmInFau""""";"NeaOmnZoo""""";"Bird""""";"ShalLgInFau""""";"MeioFau""""";"DeepLgInFau""""";"BelWhale""""";"NeaHerbZoo""""";"Otter""""";"MacroalgaGrass""""";"InveatBird""""";"NeaPhyto""""";"OffshPhyto""""";;SUM;%
"Aatooth""""";0;0,02;0,07;0;0,04;0,02;0,07;0,07;0,06;0,08;0;0,09;0,08;0,06;0,07;0,08;0,07;0,06;0,03;0,08;0;0,09;0,07;0,03;0,04;0,01;0,01;0,04;0,09;0,02;0,01;0;0,01;0,07;0,04;0;0;0,01;0;0,02;0,01;0;0;0;0;;1,61;0,018699187
"Aherr""""";0,01;0,04;0,1;0,01;0,07;0;0,13;0,06;0,07;0,09;0,02;0,1;0,06;0,08;0,11;0,09;0,13;0,08;0,13;0,18;0,03;0,12;0,04;0,09;0,09;0,14;0,01;0,16;0,06;0,06;0;0,01;0;0,07;0,03;0;0;0;0;0,03;0;0;0;0,01;0;;2,51;0,029152149
"Asal""""";0;0,01;0,1;0,01;0;0,07;0,08;0,07;0,08;0,07;0,04;0,08;0,07;0,06;0,09;0,06;0,06;0,02;0,06;0,09;0,01;0,08;0,09;0,09;0,06;0,08;0,01;0,06;0,07;0;0;0,01;0;0,06;0,06;0;0;0;0;0,02;0;0;0;0;0;;1,77;0,020557491
"AviPred""""";0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0,01;0;0,01;0;0,02;0,02;0;0,01;0,01;0,02;0,01;0,02;0;0,02;0,01;0;0;0;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;;0,28;0,003252033
"BelWhale""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"Bird""""";0;0,01;0,08;0;0,06;0,03;0,04;0,09;0,07;0,06;0,04;0,08;0,07;0,07;0,1;0,08;0,09;0,04;0,07;0,09;0,03;0,1;0,1;0,11;0,08;0,09;0,02;0,09;0,11;0,02;0;0,01;0,01;0,1;0;0,01;0;0;0;0,02;0,01;0;0;0,01;0;;2,09;0,0242741
"Cape""""";0;0,01;0,09;0,01;0,06;0,13;0,14;0,1;0,08;0,09;0,03;0,11;0,09;0,11;0,16;0,11;0,18;0,13;0;0,2;0,04;0,16;0,1;0,12;0,1;0,18;0,03;0,18;0,09;0,08;0;0,02;0;0,1;0,07;0;0;0;0;0,03;0;0;0;0,01;0;;3,14;0,036469222
"DeepDem""""";0;0,02;0,1;0;0,06;0,08;0,16;0,14;0,06;0,12;0,06;0,21;0,11;0;0,14;0,13;0,18;0,2;0,11;0,13;0,01;0,14;0,18;0,08;0,14;0,11;0,11;0,09;0,13;0,03;0,01;0;0,06;0,08;0,07;0,03;0;0,03;0;0,01;0,06;0,01;0,02;0,04;0;;3,47;0,040301974
"DeepEpiBent""""";0;0,02;0,07;0;0,02;0,08;0,13;0,11;0,06;0,1;0,06;0,16;0,09;0,2;0,13;0,11;0,13;0;0,13;0,14;0,01;0,13;0,11;0,04;0,11;0,11;0,08;0,11;0,11;0,06;0,01;0;0,02;0,06;0,04;0,02;0;0,03;0;0;0,06;0,01;0;0,01;0;;2,89;0,033565621
"DeepLgInFau""""";0;0;0;0;0;0;0,01;0,01;0;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,03;0;0;0;0,01;0;0;0,01;0;0,02;0;0,03;0;0,01;0;0;0;0;0,01;0;0;0;0;0,03;0;0;0;0;;0,3;0,003484321
"DeepSmInFau""""";0;0;0;0;0;0;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0,01;0;0;0,01;0;0;0;0,01;0;0;0;0;0;0;0;0;0,01;0;0;0,01;0;0;0;0;;0,18;0,002090592
"Eula""""";0,01;0,03;0,12;0,01;0,08;0,14;0,14;0,1;0,07;0,11;0,01;0,13;0,09;0,11;0,17;0,1;0,18;0,11;0,18;0,2;0,03;0,14;0,1;0,13;0,13;0;0,03;0,18;0,1;0,06;0;0,02;0;0,09;0,09;0;0;0;0;0,02;0;0;0;0;0;;3,23;0,037514518
"Hal""""";0;0,01;0,11;0,01;0,07;0,06;0,12;0;0,08;0,11;0,07;0,17;0,11;0,14;0,13;0,1;0,12;0,11;0,1;0,12;0,01;0,12;0,13;0,09;0,1;0,1;0,06;0,09;0,1;0,02;0,01;0,01;0,02;0,09;0,09;0;0;0,01;0;0,01;0,02;0,01;0;0;0;;2,84;0,032984901
"HerbZoopl""""";0;0,02;0,12;0;0,07;0,06;0,11;0,1;0,09;0,13;0,09;0,12;0,12;0,13;0,16;0,14;0,13;0,11;0,09;0,16;0,06;0,21;0,1;0,14;0,09;0,1;0,03;0,1;0;0,03;0,01;0,01;0,01;0,17;0,11;0,01;0;0,03;0;0,06;0,03;0;0;0,01;0,01;;3,29;0,038211382
"InveatBird""""";0;0;0;0;0;0;0;0;0;0;0;0,02;0;0,02;0;0;0,02;0;0;0;0;0;0,02;0;0,02;0;0,02;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0,02;0;;0,18;0,002090592
"Jatooth""""";0;0,01;0,09;0;0,07;0,06;0,12;0,11;0,06;0,14;0,08;0,14;0;0,11;0,14;0,11;0,14;0,09;0,09;0,13;0,01;0,14;0,1;0,09;0,07;0,09;0,02;0,07;0,12;0,02;0,01;0;0;0,1;0,07;0;0;0,01;0;0,03;0,01;0;0;0;0;;2,67;0,031010453
"Jelly""""";0;0;0,01;0;0,01;0,03;0,01;0,01;0,02;0,01;0;0;0,01;0,01;0,03;0,02;0,03;0,01;0,04;0,04;0;0,07;0,02;0,07;0,01;0,03;0;0,04;0,06;0,02;0;0;0,01;0,08;0,03;0,01;0;0;0;0,06;0;0;0;0,03;0,01;;0,88;0,010220674
"Jherr""""";0,01;0,06;0,17;0,01;0,09;0,18;0,18;0,12;0,11;0,16;0,08;0,18;0,13;0,13;0,2;0,16;0,21;0,14;0,2;0;0,04;0,22;0,12;0,14;0,16;0,2;0,03;0,22;0,16;0,08;0;0,02;0,01;0,16;0,09;0;0;0;0;0,06;0;0;0;0,01;0;;4,23;0,04912892
"LingCod""""";0;0,02;0,11;0,01;0,08;0,07;0,08;0,08;0;0,07;0,06;0,08;0,06;0,06;0,08;0,07;0,08;0,06;0,08;0,11;0,02;0,09;0,07;0,08;0,06;0,07;0,01;0,08;0,09;0,02;0;0,01;0,01;0,08;0,07;0;0;0;0;0,02;0;0;0;0;0;;1,99;0,02311266
"MacroalgaGrass""""";0;0;0;0;0;0;0;0,01;0;0;0;0,01;0;0,01;0,01;0;0;0,01;0;0;0;0;0,01;0;0,01;0;0,01;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0,01;0;0;0;0;;0,11;0,001277584
"MeioFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"NeaHerbZoo""""";0;0,01;0,02;0;0,02;0,03;0,02;0,01;0,02;0,03;0,02;0,02;0,03;0,01;0,03;0,02;0,03;0;0,03;0,06;0,06;0,07;0,03;0,04;0;0,02;0;0,03;0,06;0,02;0;0;0,01;0,08;0,02;0,01;0;0;0;0;0;0;0;0,03;0,01;;0,94;0,010917538
"NeaOmnZoo""""";0;0,01;0,1;0;0,06;0,07;0,09;0,09;0,08;0,1;0,07;0,1;0,1;0,08;0,13;0,09;0,13;0,06;0,1;0,16;0,08;0,2;0,1;0,13;0,06;0,09;0;0,11;0,17;0,06;0;0,01;0,01;0;0,1;0,01;0;0;0;0,08;0;0;0;0,03;0,01;;2,84;0,032984901
"NeaPhyto""""";0;0;0;0;0;0,01;0,01;0;0;0,01;0;0,02;0;0,04;0;0;0,03;0,01;0,01;0,01;0,03;0,02;0,04;0,02;0,02;0;0,02;0,01;0,01;0,01;0;0;0,03;0,03;0,01;0,02;0;0;0;0,03;0,01;0;0,02;0;0,01;;0,54;0,006271777
"NshDem""""";0,01;0,03;0,1;0;0,06;0,09;0,11;0,1;0,06;0,09;0,04;0,17;0,07;0,14;0,12;0,12;0,16;0,11;0,1;0,16;0,01;0,1;0,14;0,09;0;0,13;0,09;0,13;0,09;0,02;0,01;0,01;0,04;0,06;0,08;0;0;0,01;0;0;0,02;0,01;0,02;0,02;0;;2,93;0,034030197
