"TI3";""MarMamm"";""Cepha"";""LBenthCarn"";""SBenthCarn"";""Clup"";""Anch"";""Shri"";""BenthOmn"";""Lzoopl"";""Sha"";""Lpela"";""LBenthPela"";""MBenthCarn"";""MeioBenth"";""RaySkate"";""SBenthPela"";""CrabLobs"";""HetBenth"";""MicroNekt"";""Mack"";""Tuna"";""MicroZoopl"";""Phyto"";;SUM
""Tuna"";"0,02";"0,02";"0,01";"0,04";"0,04";"0,03";"0,03";"0,04";"0,02";"0,02";"0,02";"0,01";"0,01";"0,04";"0,02";"0,03";"0,02";"0,02";"0,02";"0,01";"0,03";"0,02";"0,02";;"0,52"
""MicroZoopl"";"0,03";"0,03";"0,03";"0,05";"0,05";"0,05";"0,05";"0,05";"0,06";"0,03";"0,03";"0,03";"0,06";"0,06";"0,03";"0,05";"0,03";"0,05";"0,06";"0,08";"0,03";"0,04";"0,06";;"1,01"
""Phyto"";"0,03";"0,03";"0,03";"0,05";"0,05";"0,05";"0,05";"0,05";"0,06";"0,03";"0,03";"0,03";"0,06";"0,06";"0,03";"0,05";"0,03";"0,05";"0,06";"0,08";"0,03";"0,06";"0,04";;"1,01"


"WI3";""MarMamm"";""Cepha"";""LBenthCarn"";""SBenthCarn"";""Clup"";""Anch"";""Shri"";""BenthOmn"";""Lzoopl"";""Sha"";""Lpela"";""LBenthPela"";""MBenthCarn"";""MeioBenth"";""RaySkate"";""SBenthPela"";""CrabLobs"";""HetBenth"";""MicroNekt"";""Mack"";""Tuna"";""MicroZoopl"";""Phyto"";;SUM
""MarMamm"";"4155,26";"72819,21";"83930,63";"533115,00";"1002767,47";"4524379,98";"1112879,32";"319869,55";"83205087,17";"1336,81";"5005,01";"15838,76";"107336,70";"1675079,18";"1622,65";"125229,93";"110946,39";"11768102,33";"11974845,84";"2076097,77";"7409,03";"279278928,70";"369526815,47";;"767533598,15"
""Cepha"";"118331,21";"1503461,28";"3159570,33";"26070810,30";"54835416,63";"283138634,93";"70959481,15";"12099410,64";"2473974322,36";"42839,41";"164247,09";"719358,67";"7328900,09";"31557479,61";"31577,74";"7080161,93";"2990712,54";"527652313,57";"701849736,99";"81746744,83";"124609,05";"13467566985,21";"11616861535,72";;"29371576641,27"
""LBenthCarn"";"167861,26";"3888701,94";"2796611,17";"29971354,15";"58553252,17";"340644088,59";"80727823,08";"12710847,41";"2836104869,93";"40621,59";"169729,26";"547767,65";"8221475,30";"46957863,96";"71500,67";"8120701,51";"2677506,30";"537126325,96";"865111995,78";"29351001,17";"419050,97";"9383074535,72";"18155680814,22";;"32403136299,75"
""SBenthCarn"";"1066230,00";"32087151,14";"29971354,15";"1222108005,04";"4797114070,82";"7573325067,76";"1320005925,29";"456953211,06";"562273551312,72";"300888,84";"1195330,58";"6532621,58";"144491474,31";"3212730555,91";"1380440,12";"232321388,00";"13583820,23";"54227238567,62";"28779056834,80";"30460681766,01";"4045223,21";"3149287659843,83";"1100537451121,44";;"4944614852204,48"
""Clup"";"1629497,14";"54835416,63";"47574517,39";"3897655182,54";"8091519006,08";"22182388432,29";"2430866033,52";"599389461,59";"1354252505448,06";"460465,58";"2480843,59";"10895449,67";"265186291,30";"7122108201,17";"2308989,98";"384533710,60";"19076375,18";"84193290145,05";"79830413452,62";"30763240174,61";"6410577,45";"3259281209434,93";"5644848505296,80";;"10498288482403,80"
