TI3;"Lpred""""";"IntMedPred""""";"Carang""""";"FlatFishSole""""";"Sciae""""";"Spela""""";"EngraClup""""";"Squid""""";"DemZooBenthFeed""""";"Leio""""";"Mullid""""";"Nemi""""";"Bali""""";"Lact""""";"ReefFish""""";"OctoSep""""";"Tuna""""";"CrabLobs""""";"Shri""""";"Scrus""""";"LzooBenthFeed""""";"MacroBenth""""";"MeioBenth""""";"Lutja""""";"Serra""""";"Zoopl""""";"Phyto""""";"MacroBenthFlo""""";;SUM;;;
"Carang""""";38943,95;213602,87;21487,8;148990,63;482033,44;344220,1;526974,94;513676,88;1247889,25;4618794,3;2822113,66;1167360,93;375814,29;645418,79;165729,95;107963,66;11617,16;596751,91;1700344,87;7658203,45;308319,89;7105166,72;11754312,95;8916,57;1595,41;27335274,38;78764227,82;16489178,89;;165174925,50;;;163307047,96
"CrabLobs""""";335167,07;2640571,96;596751,91;2273396,53;5015215,11;7395208,49;8060515,98;8210384,65;19685088,47;56291188,18;39360575,91;12170304,76;4359628,24;7824837,43;10421768,95;2331486,54;91560,95;8132730,57;20630860,47;317890231;3157892,24;270006387,6;191573267,9;233143,51;35117,89;2067009793;1032540428;146985039,3;;4245258542,36;;;
"DemZooBenthFeed""""";841371,52;8513855,13;1403875,41;6144478,86;17616571,48;43264693,89;43443327;42938969,39;49899061,75;245715966,1;201956949,1;41803154,64;13964648,8;34083647,12;37664120,08;13597897,49;296452,38;22145724,53;116566155,9;2449777346;11030262,14;686049562;1135198252;592495,29;91781,25;18536573335;3162509065;547499010,2;;27471182029,25;;;
"EngraClup""""";348330,37;2236413,3;395231,21;1806054,73;7671069;31349437,26;34038354,65;34144158,4;28962218;143174732,7;114254069,5;22776748,97;8734375,99;19931948,27;18904667,82;8311658,49;143512,79;6045386,99;61641068,2;1583174538;3094552,51;351188330,6;600753210;175134,21;22205,51;10752973152;4060048760;80933828,38;;17977233148,14;;;
"FlatFishSole""""";56410,86;478952,55;93119,15;368890,94;933804,46;1266699,57;1505045,61;1560335,36;3413599,37;10735437,22;6887258,99;2498429,53;847293,11;1492407,37;1318447,99;341310,83;16242,91;1420872,83;3013986,81;42505848,05;585586,05;38081496,01;31905560,64;37371,04;5806,23;210307412,2;246125665,2;30209165,21;;638012456,09;;;
"IntMedPred""""";226573,04;1017152,58;253653,4;910009,85;2107567,93;2799803,33;3540987,72;3589450,21;8986847,08;21849119,97;13893191,12;5137107,29;1989048,57;3068167,45;3768054,04;807923,21;63770,4;3135679,2;7711284,75;89439775,79;1182237,47;113430503,6;56175167,91;95654,68;13587,65;423014663,2;589007881,4;42420385,37;;1399635248,15;;;
"Lact""""";353948,88;2099272,47;524402,77;1940129,58;5681291,21;20133983,08;21592943,96;21742427,35;24615967,36;95473555,38;75288332,03;15851502,24;6265527,55;13307594,04;16174498,74;5522194,36;117096,54;6357680,41;40499491,23;1005192081;2552785,47;345202410,4;390559579;210800,88;27993,4;6815106233;2604824697;67853310,2;;11605071730,03;;;
"Leio""""";2497380,78;14949397,87;3752770,37;13956068,39;40646692,91;144700430,5;155105960,4;156210045,8;177461531;685016788,7;540314050,4;113608873,3;44993314,3;95473555,38;116997790,2;39691579,26;822486,05;45736590,4;290387431,8;7224376644;18224753,01;2499689649;2802169911;1511132,86;200307,88;48966897583;18741161733;478398666,4;;83414953117,54;;;
"Lpred""""";33263,4;178873,46;36509,96;84616,28;332599;297491,91;435412,97;431126,34;701142,93;2881593,21;1751076,79;735726,92;242332,33;408402,56;70009,62;71749,43;13541,62;314219,13;986675,58;6695458,62;191122,22;3275599,53;7378542,38;11692,86;1677,23;20598718,86;63692883,21;8951941,78;;120804000,11;;;
"Lutja""""";10913,33;70482,4;7802;52319,46;163690,97;142737,74;204323,24;200873,86;460829,67;1627373,85;1017596;398763,68;132173,73;227016,33;79127,88;44295,02;3292,37;204000,57;608514,4;4004242,88;102357,25;3123125;4294566,81;3280,92;558,39;18729718,55;30340249,56;5235786,85;;71490012,71;;;
"LzooBenthFeed""""";76448,89;373338,15;115619,96;351351,63;719096,61;1330908,29;1547276,25;1602578,46;3676754,05;8411424,47;5523385,78;1861789,68;755380,08;1178208,68;1878562,96;361370,95;20891,31;1184209,59;2610645,11;47747761,49;382135,19;53275670,6;23684718,7;43867,39;6066,6;242335068,7;263460010,9;11201029,55;;675715570,03;;;
"MacroBenth""""";5022585,95;137310609,6;10213677,16;87587440,83;332841763,1;566585582,3;673110967;684456258,1;876618884,8;4422527840;2982425405;953134419,6;296728993,7;610742726,1;234479894;145736248,4;2309921,96;388134182,1;1397650792;22616265240;204223404;5188504132;14705519592;5130848,21;1035984,25;1,33188E+11;96219213317;12269765806;;299205104250,70;;;
"MacroBenthFlo""""";1790388,36;6697955,58;3091721,04;9062749,56;11442588,34;18392977,09;20233457,09;21490305,29;91249835,03;110399692,3;68786321,4;26032205,87;13665831,27;15658456,2;54447210,32;5978586,24;395633,99;27559694,87;35876346,93;559037177,2;5600514,78;1600404236;217129021,3;1121954,32;147788,39;2287891704;4212853362;2482401,78;;9428920116,31;;;
