TI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"Epiph""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"BenthFeed""""";"Pisci""""";"CatFish""""";"Leer""""";"DuskyKob""""";"Bird""""";"Grunter""""";"SkipJack""""";;SUM
"MeioFau""""";6,08102E+12;8624711151;3,66448E+11;82073486987;4,21405E+13;142102266,3;8,74986E+12;5,66631E+18;1,04889E+16;1,03437E+17;4,31757E+15;5,86694E+16;8,3765E+14;4,86308E+16;5,26093E+16;5,93417E+11;0;5,26538E+11;2,71945E+16;4,57641E+17;2,18606E+16;5,81841E+14;1,22235E+14;1,57314E+16;2,42324E+16;1,406E+16;1,77859E+14;871730591,1;;6,50696E+18
"Det""""";8,55957E+14;1,06076E+12;1,01775E+14;3,84174E+13;4,02084E+15;14709397019;1,85707E+13;1,11948E+20;1,03437E+17;3,5257E+15;5,10648E+13;4,04148E+15;9,94657E+13;1,01478E+13;7,47132E+15;1,16771E+13;0;7,22076E+13;5,36385E+17;9,08754E+18;4,30617E+17;1,15643E+16;2,38193E+15;3,09662E+17;4,77192E+17;2,78116E+17;4,7345E+15;8,77088E+12;;1,2321E+20
"Graz""""";1,01341E+13;14373195269;16551484327;39392306739;2,01692E+11;57332824,28;1,83175E+11;1,86312E+18;1,72703E+15;2,04259E+13;8088764276;4,48817E+13;72559732265;93198883443;1,24605E+14;1,95498E+11;0;8,77483E+11;8,92344E+15;1,50274E+17;7,1692E+15;1,91157E+14;2,94766E+13;5,18196E+15;7,98165E+15;4,62451E+15;7,24997E+13;1452750566;;2,04949E+18
"SuspFeed""""";9,46938E+13;88510168350;1,34668E+14;2,8411E+13;1,24117E+16;32762231194;1,65839E+13;8,97307E+19;8,21372E+16;5,65807E+15;1,57086E+14;9,14441E+14;2,9205E+14;1,83997E+13;5,8796E+15;9,20197E+12;0;7,40677E+12;4,30074E+17;7,41763E+18;3,43358E+17;9,44977E+15;2,67747E+15;2,44357E+17;3,7705E+17;2,22967E+17;2,72837E+15;3,57406E+12;;9,88888E+19
"CalliaKra""""";5,6015E+14;1213580666;7,7072E+13;3,55832E+13;1,58334E+13;44931780,82;2,3391E+11;1,08409E+18;1,00518E+15;1,19359E+14;2,17679E+11;2,50328E+14;1322139614;56748852952;7,41818E+13;1,13662E+11;0;4,85948E+13;5,2034E+15;8,74592E+16;4,54224E+15;1,12246E+14;1,70863E+14;3,01384E+15;4,65494E+15;2,94328E+15;1,02822E+15;1,0118E+13;;1,19541E+18
"Sol""""";1,41038E+11;0;2,78711E+11;1,28171E+11;2,37527E+11;648625,36;312809462,5;3,14799E+19;2,91785E+16;6,08871E+12;1,39798E+11;7,8856E+12;28374426476;1,53952E+12;2,0956E+15;3,30336E+12;0;2531556432;1,50738E+17;2,5391E+18;1,20923E+17;3,22998E+15;4,06316E+14;8,75604E+16;1,34866E+17;7,80693E+16;9,25133E+14;36376606943;;3,4627E+19
"Herb""""";8,20829E+13;95250029587;1,62776E+14;7,47827E+13;1,67636E+14;491193756,5;6,22239E+11;7,88182E+19;7,3653E+16;1,04598E+16;4,36118E+14;5,8796E+15;8,65454E+13;4,88974E+15;1,04909E+16;8,27735E+12;0;1,44706E+12;3,77345E+17;6,35633E+18;3,02722E+17;8,09808E+15;1,04188E+15;2,1941E+17;3,37967E+17;1,95496E+17;2,34349E+15;2,12175E+13;;8,67253E+19
"Epiph""""";0;0;0;145534,1;19185346,04;0;194455589,6;425555554,4;1,18683E+11;2,33541E+12;97748858846;1,31457E+12;18943635802;1,10112E+12;1,18248E+12;0,19;0;0;60832394,01;9073488,57;162817236,7;890388,61;24113441,94;11095636,92;4376618,68;0;21417184,67;0;;6,16989E+12
"FreeWat""""";2,62417E+15;1,13502E+17;8,69476E+16;1,46871E+16;1,16859E+16;2,74693E+12;4,89633E+15;0;0;0;0;0;0;0;0;0;76024209110;6,48956E+11;0;0;1,89593E+12;6,13301E+12;0;0;0;0;0;0;;2,34354E+17
"AttWat""""";1,11821E+13;1,03433E+15;9,51366E+14;1,62544E+14;4,96775E+14;20850527544;6,06757E+13;0;4,21231E+11;5,77661E+13;1,75497E+12;4,23244E+12;3,23965E+13;3375408577;8,26889E+11;0;2,59582E+12;1340639410;12300033041;1,27477E+14;2,2756E+12;4,0522E+12;1,67594E+13;7,94759E+12;1,36511E+13;3,56603E+11;1478876536;1,29085E+11;;2,98955E+15
"SedBaci""""";2,84107E+11;402949680,9;7,00478E+12;1,02416E+12;8,20232E+14;2117531246;1,89832E+13;1,00403E+17;4,35112E+16;8,58216E+17;3,56938E+16;4,91513E+17;6,93787E+15;4,01969E+17;4,31252E+17;486659152,1;0;24600066081;9,90033E+14;1,707E+16;1,82939E+15;2,86708E+13;8,90826E+14;4,33609E+13;1,0987E+14;2,66111E+14;5,07232E+11;40727574,22;;2,39157E+18
"CarnMac""""";3,30083E+15;4,40566E+12;2,39735E+13;1,51885E+13;2,36831E+15;23023805745;3,30096E+14;3,33129E+16;8,23755E+17;1,63576E+19;6,76232E+17;9,53696E+18;1,31189E+17;7,61731E+18;8,17243E+18;81661397,11;0;2,86824E+14;1,92037E+16;4,57694E+15;6,03384E+16;7,25921E+13;3,13867E+16;1,32981E+14;4,01354E+14;1,41291E+15;5,81399E+15;5,55808E+11;;4,34784E+19
"BenthFeed""""";2,27478E+14;2,79498E+16;2,58061E+16;4,41393E+15;1,71878E+16;5,59294E+11;1,64837E+15;5,76362E+17;6,55817E+16;1,29185E+18;5,3769E+16;7,35766E+17;1,13556E+16;6,04616E+17;6,4869E+17;2442258551;2,84389E+13;8,53351E+12;3,43011E+15;1,00564E+17;3,70727E+15;2,50476E+14;1,88213E+15;4,19029E+14;8,991E+14;1,60237E+15;1,76661E+14;1,18295E+13;;4,1782E+18
"Pisci""""";3,82699E+14;1,92861E+14;1,78642E+14;4,92653E+13;2,90142E+13;29127169303;4,27124E+13;1,00481E+15;1,04731E+15;2,08157E+16;8,60206E+14;1,21497E+16;1,68369E+14;9,68993E+15;1,04118E+16;8013497,5;5,51971E+13;9,11744E+12;3,22547E+13;7,25921E+13;1,50285E+14;1,73873E+11;6,49351E+13;5,32475E+11;2,38878E+12;4,67261E+13;1,84174E+14;8,86182E+11;;5,76424E+16
