TI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"MacrophSal""""";"DuskyKob""""";"Epiph""""";"BenthFeed""""";"FreeWat""""";"AttWat""""";"ZooplEater""""";"SedBaci""""";"CarnMac""""";"Pisci""""";"CatFish""""";"Leer""""";"Grunter""""";"Bird""""";"SkipJack""""";;SUM
"Pisci""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"CatFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Leer""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Grunter""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SkipJack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"MacrophSal""""";"DuskyKob""""";"Epiph""""";"BenthFeed""""";"FreeWat""""";"AttWat""""";"ZooplEater""""";"SedBaci""""";"CarnMac""""";"Pisci""""";"CatFish""""";"Leer""""";"Grunter""""";"Bird""""";"SkipJack""""";;SUM
"Phyto""""";1,36493E+15;7,81143E+16;2,57981E+16;6,22839E+15;5,90852E+16;1,52124E+11;0;0;2,17404E+16;1,0965E+14;5,00086E+14;9,00693E+14;1,24767E+15;1,0158E+13;75705487,41;2,84528E+13;1,36184E+17;1,98742E+14;8,35657E+15;1,05278E+12;1,27911E+15;18181588565;1,41266E+16;2,00672E+15;4,90339E+13;5,08806E+14;435081704,2;1,01856E+15;2,84566E+14;;3,59142E+17
"MicroZoopl""""";6,24915E+16;7,52513E+14;3,97741E+15;5,5113E+16;1,27986E+15;67030746666;0;0;3,14162E+14;1,59242E+12;6,45945E+12;1,10158E+13;1,80584E+13;2,72912E+11;0;7,228E+12;1,97786E+15;4,39057E+15;1,27687E+18;5,70503E+14;1,35025E+15;264059079,4;2,05182E+14;8,82237E+13;1,13114E+13;2,71685E+13;4,57118E+13;1,2019E+15;6,1956E+13;;1,41077E+18
"Copyp""""";3,61173E+16;6,96046E+15;1,39189E+15;4,80538E+15;9,4882E+14;2,49501E+11;1,0518E+15;6,90964E+14;4,81215E+15;8,6257E+11;2,65412E+13;6,51478E+13;9,7717E+12;2,80739E+15;17456014890;9,99402E+12;1,07108E+15;4,03098E+16;4,86539E+16;2,77235E+15;5,26888E+15;6,03391E+16;8,03433E+15;6,12892E+13;6,59215E+13;1,97793E+13;2,31083E+14;4,90493E+15;3,48577E+13;;2,31466E+17
"Mysid""""";8,71974E+15;9,64478E+16;4,80538E+15;1,77306E+15;4,67575E+15;1,15424E+11;3,87221E+14;2,53001E+14;2,17164E+15;2,33511E+12;2,42096E+13;5,39734E+13;2,64765E+13;1,02983E+15;11250726960;8,41758E+12;2,90049E+15;1,19587E+16;6,93511E+15;6,18737E+14;1,97995E+15;2,20813E+16;3,20067E+15;9,9637E+13;1,7907E+13;2,90928E+13;5,28127E+13;1,31024E+15;5,44429E+13;;1,71618E+17
"UpoAfri""""";9,45364E+16;2,55973E+15;1,08437E+15;5,34372E+15;7,65048E+11;3,14166E+11;1,09296E+16;7,09741E+15;4,72366E+16;9731156479;3,67154E+12;1,0399E+13;22010778704;2,87488E+16;2262786,37;6,44081E+13;1,10903E+13;2,76224E+17;4,55936E+16;1,06934E+16;6,57549E+15;6,22995E+17;8,18264E+16;1,26842E+14;3,47849E+14;6,08959E+13;9,50009E+14;1,96253E+16;3,91983E+13;;1,26268E+18
"FishLarv""""";1,21699E+11;67030746666;1,42572E+11;65956567314;1,57083E+11;1311904,51;5687151768;3736085514;53135815369;143304036,7;582575619,2;994978140,7;1625051472;15150308701;0;497661956,6;1,77989E+11;1,63614E+11;5,14807E+11;7611629141;18279784222;3,26258E+11;61298255389;6388658167;294291036;1943062491;656565462,8;30170977164;4035281714;;1,94924E+12
"BenthMicroAl""""";0;0;1,0518E+15;3,87221E+14;9,56342E+15;9952515594;3,20958E+16;6,86931E+17;2,36699E+18;7,84987E+17;3,66117E+17;9,98671E+15;1,1649E+16;1,63944E+18;49768993923;6,6222E+13;3,54838E+16;5,78149E+16;0;0;1,87896E+14;5,28452E+16;3,09892E+17;5,42322E+14;8,9636E+13;2,72393E+14;56434086,55;1719232468;1,01118E+13;;6,36641E+18
"MeioFau""""";0;0;3,94836E+14;1,44572E+14;3,5487E+15;3736085514;3,92532E+17;3,9448E+16;2,06949E+17;1,99119E+16;9,45892E+15;8,32289E+14;4,05528E+14;4,47256E+16;6386459829;1,22931E+14;5,60995E+16;6,3119E+16;0;0;4,67456E+12;1,70584E+18;2,68726E+17;1,49485E+15;3,17891E+14;2,26094E+15;1,07111E+14;5,08841E+15;3,79586E+12;;2,82154E+18
"Det""""";3,91328E+16;7,06863E+14;6,18705E+15;2,79211E+15;5,31412E+16;1,19556E+11;3,04327E+18;4,65636E+17;5,37747E+18;2,06316E+14;3,66433E+15;1,22819E+16;1,79522E+15;4,01527E+16;76331730461;3,44124E+15;2,0462E+17;5,91697E+18;0;5,18798E+15;1,36881E+15;1,586E+20;2,25383E+19;1,34322E+16;2,61953E+16;4,18546E+15;9,19408E+15;4,53633E+17;6,56341E+13;;1,96823E+20
"Graz""""";8,77202E+13;1,59242E+12;4,92897E+11;1,33435E+12;4865578240;143304036,7;4,48564E+17;1,99119E+16;9,16958E+13;94669015477;49051880873;14806591117;1512664420;3,47783E+15;37416,3;1,14019E+14;5,41369E+16;4,42575E+15;0;1,16234E+13;3,03024E+12;1,16947E+17;2,13243E+16;1,52583E+15;6,60848E+13;2,72504E+15;2,38724E+13;7,18296E+14;1183769206;;6,74158E+17
"SuspFeed""""";7,0012E+14;1,1304E+13;2,65412E+13;2,42096E+13;3,2126E+12;1019507334;3,66117E+17;1,65531E+16;2,85003E+15;85840791529;1,08899E+11;1,66558E+11;1,03887E+11;3,08937E+15;46477,04;9,63094E+13;4,38836E+16;1,09707E+16;0;9,38352E+13;2,14849E+13;2,38209E+17;3,72636E+16;1,25003E+15;7,91113E+13;2,21231E+15;3,46395E+13;1,13952E+15;3,36883E+12;;7,24633E+17
"CalliaKra""""";1,44111E+15;2,20316E+13;7,44546E+13;6,16839E+13;1,0399E+13;1989956281;1,14134E+16;1,66458E+15;1,09172E+16;29613182234;1,90352E+11;4,05091E+11;3,32741E+11;6,33509E+14;69044,15;1,51218E+13;1,06701E+14;2,65497E+16;0;1,94088E+14;4,18409E+13;5,97038E+17;8,32706E+16;5,304E+13;1,02681E+14;1,78793E+13;5,00404E+13;2,04139E+15;9,86464E+12;;7,3573E+17
"Sol""""";1,24767E+15;2,2573E+13;6,97979E+12;1,89118E+13;13756736690;2031314340;8,32074E+15;5,0691E+14;9,97346E+14;1890830525;74204943595;2,07963E+11;480022636,8;6,3702E+14;45264,59;3,30306E+12;9,71677E+14;5,34301E+15;0;1,6538E+14;4,29544E+13;1,75336E+16;2,43461E+15;2,92678E+13;7,74015E+12;4,99055E+13;1,61581E+13;3,29651E+14;16571262412;;3,86857E+16
"Herb""""";1,82844E+13;6,14052E+11;3,6095E+15;1,32406E+15;3,23424E+16;34088194578;2,10785E+18;1,00633E+17;4,01527E+16;7,82513E+15;3,97205E+15;7,12697E+14;1,14664E+15;3,21138E+16;517101,04;5,38615E+14;3,6811E+17;1,93835E+16;0;2,41771E+12;9,37542E+12;5,43422E+17;1,13215E+17;8,64492E+15;3,52005E+14;1,31804E+16;1,06686E+14;3,26089E+15;3,61864E+13;;3,40197E+18
"MacrophSal""""";15141097,48;0;2493716413;1607246709;282848,3;0;7109856275;1596614957;8481303385;9354,07;6639,58;8630,52;9052,92;57455,67;1147,26;56553712;878422953,1;1380954660;0;3716574,18;30575,76;8528874653;35222891,23;406708685,2;14739707,56;178868167,3;561870,22;1584332165;368982771,9;;34742223350
