TI3;"Zoopl""""";"Serg""""";"Penae""""";"Lcrus""""";"Jscian""""";"JMedPred""""";"JLP""""";"DemFeed""""";"Leio""""";"Engra""""";"Pela""""";"Phyto""""";"MeioBenth""""";"MacroBenth""""";"LZBFeed""""";"Ascian""""";"AMedPred""""";"Lpred""""";;SUM
"Ascian""""";193552695,3;60769538,62;31820729,31;15358847,27;13534867,27;3890060,97;927839,72;13214736,32;14695487,84;7955004,27;9508691,04;258020888,3;33675622,5;26889380,18;26612231,76;347115,34;354107,99;40652,11;;711168496,1
"AMedPred""""";74280963,28;40202010,35;40600717,74;20778889,26;20979041,74;5813176,2;1364234,33;19700980,71;20631279,2;12235006,84;10338702,58;357085105;49023735,6;17627696,21;39079364,55;486898,49;199447,98;20421,52;;730447671,6
"Lpred""""";5822618,88;3378723,36;1914282,88;984117,8;1304970,5;401674,21;99424,69;1032814,84;1208581,85;924829,51;811406,14;29992835,27;2413665,2;1180974,28;1781781,64;45733,63;16708,52;881;;53316024,2
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
WO3;"Zoopl""""";"Serg""""";"Penae""""";"Lcrus""""";"Jscian""""";"JMedPred""""";"JLP""""";"DemFeed""""";"Leio""""";"Engra""""";"Pela""""";"Phyto""""";"MeioBenth""""";"MacroBenth""""";"LZBFeed""""";"Ascian""""";"AMedPred""""";"Lpred""""";;SUM
"AMedPred""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Ascian""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DemFeed""""";0,06;0,06;0,06;0,06;0,06;0,06;0,03;0;0,06;0,06;0,06;0,06;0,03;0,06;0;0;0;0;;0,67
"Engra""""";0,11;0,11;0,11;0,11;0,11;0,06;0,03;0,06;0,11;0;0,11;0,11;0,06;0,08;0;0;0;0;;1,17
"JLP""""";0,03;0,03;0,03;0,03;0,03;0,03;0;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0;0;0;0;;0,36
"JMedPred""""";0,06;0,06;0,06;0,06;0,06;0;0,03;0,06;0,06;0,06;0,06;0,06;0,03;0,06;0;0;0;0;;0,67
"Jscian""""";0,11;0,11;0,11;0,11;0;0,06;0,03;0,06;0,11;0,11;0,11;0,11;0,06;0,08;0;0;0;0;;1,17
"Lcrus""""";0,11;0,11;0,11;0;0,11;0,06;0,03;0,06;0,11;0,11;0,11;0,11;0,06;0,08;0;0;0;0;;1,17
"Leio""""";0,11;0,11;0,11;0,11;0,11;0,06;0,03;0,06;0;0,11;0,11;0,11;0,06;0,08;0;0;0;0;;1,17
"Lpred""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"LZBFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MacroBenth""""";0,33;0,33;0,08;0,08;0,08;0,06;0,03;0,06;0,08;0,08;0,08;0,22;0,03;0;0;0;0;0;;1,56
"MeioBenth""""";0,06;0,06;0,06;0,06;0,06;0,03;0,03;0,03;0,06;0,06;0,06;0,06;0;0,03;0;0;0;0;;0,61
"Pela""""";0,11;0,11;0,11;0,11;0,11;0,06;0,03;0,06;0,11;0,11;0;0,11;0,06;0,08;0;0;0;0;;1,17
"Penae""""";0,11;0,11;0;0,11;0,11;0,06;0,03;0,06;0,11;0,11;0,11;0,11;0,06;0,08;0;0;0;0;;1,17
"Phyto""""";0,25;0,25;0,11;0,11;0,11;0,06;0,03;0,06;0,11;0,11;0,11;0;0,06;0,22;0;0;0;0;;1,58
"Serg""""";0,39;0;0,11;0,11;0,11;0,06;0,03;0,06;0,11;0,11;0,11;0,25;0,06;0,33;0;0;0;0;;1,83
"Zoopl""""";0;0,39;0,11;0,11;0,11;0,06;0,03;0,06;0,11;0,11;0,11;0,25;0,06;0,33;0;0;0;0;;1,83
