TI3;"Tibur""""";"Zalo""""";"AvesMar""""";"Odon""""";"Merlu""""";"Sciae""""";"Rhino""""";"Serran""""";"Ray""""";"OtroPec""""";"Haemu""""";"Pela""""";"Cepha""""";"PecPla""""";"Mycto""""";"Mojar""""";"JTotoa""""";"ATotoa""""";"CDeRo""""";"Jaib""""";"CAA""""";"Polique""""";"CCA""""";"Vaqu""""";"Esto""""";"InvBenth""""";"CCPL""""";"Zoopl""""";"Myst""""";"CAPL""""";"AvesCos""""";"Macroph""""";"Phyto""""";;SUM;;
"Sciae""""";0,06;0,07;0,07;0,06;0,03;0,04;0,06;0,03;0,05;0,05;0,05;0,06;0,06;0,05;0,05;0,05;0,06;0,08;0,05;0,05;0,05;0,05;0,05;0,06;0,05;0,04;0,05;0,03;0,03;0,05;0,03;0,03;0,03;;1,65;;
"Serran""""";0,04;0,01;0,02;0,02;0,02;0,02;0,05;0,03;0,04;0,03;0,02;0,01;0,01;0,02;0,01;0,04;0,02;0,02;0,04;0,04;0,03;0,04;0,04;0,05;0,04;0,04;0,01;0,02;0,01;0,01;0,02;0,05;0,02;;0,87;;
"Tibur""""";0,03;0,06;0,06;0,05;0,05;0,03;0,05;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;;0,98;;
"Vaqu""""";0,02;0,02;0,02;0,02;0,01;0,03;0,02;0,04;0,03;0,03;0,03;0,03;0,03;0,01;0,04;0,03;0,01;0,02;0,01;0,01;0,03;0,01;0,03;0,02;0,01;0,01;0,02;0,01;0,02;0,02;0,01;0,01;0,01;;0,68;;
"Zalo""""";0,04;0,03;0,02;0,02;0,01;0,03;0,01;0,01;0,01;0,03;0,03;0,04;0,04;0,03;0,04;0,03;0,04;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,01;0,02;0;0,01;0,01;;0,64;;
"Zoopl""""";0,02;0,02;0,02;0,02;0,06;0,02;0,02;0,02;0,02;0,03;0,04;0,05;0,05;0,04;0,05;0,02;0,02;0,03;0,04;0,04;0,04;0,04;0,05;0,02;0,04;0,04;0,05;0,03;0,07;0,05;0,08;0,03;0,05;;1,24;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Tibur""""";"Zalo""""";"AvesMar""""";"Odon""""";"Merlu""""";"Sciae""""";"Rhino""""";"Serran""""";"Ray""""";"OtroPec""""";"Haemu""""";"Pela""""";"Cepha""""";"PecPla""""";"Mycto""""";"Mojar""""";"JTotoa""""";"ATotoa""""";"CDeRo""""";"Jaib""""";"CAA""""";"Polique""""";"CCA""""";"Vaqu""""";"Esto""""";"InvBenth""""";"CCPL""""";"Zoopl""""";"Myst""""";"CAPL""""";"AvesCos""""";"Macroph""""";"Phyto""""";;SUM;;
"ATotoa""""";3328,93;1132,21;54,3;4417,89;1282,98;1906,78;435,4;62,78;1114,83;56860,2;5376,53;362090,7;383863,77;924,66;154952,51;758,35;153,6;45,35;594,88;7340,7;6909,03;199182,57;3631,13;41,16;401,19;1216200,48;27514,32;11596680,51;3277,26;78700,22;52,5;29801,67;33295849,05;;47444938,41;thresold;77963871,14
"AvesCos""""";945,52;374,81;40,55;3313,39;414,41;4256,89;1142,07;193,31;7835,37;136994,69;15965,78;491869,02;1100521,88;4294,08;413029,99;4293,28;448,94;52,5;1625,97;32522,26;27295,39;923729,14;12410,91;25,75;2724,88;5396320,15;38970,6;132804063,2;1283,16;111527,26;37,23;289994,68;5314034,73;;147142551,76;;77963871,14
"AvesMar""""";2866,44;987,96;59,45;4436;1074,72;4002,86;938,94;164,89;5448,44;52202,45;4899,76;274632,9;298376,41;2292,52;120277,31;2532,51;386,24;69,81;777,9;10946,08;7799,92;358863,13;3628,4;42,15;588,91;1019547,76;21055,97;10386404,18;2969,5;60181,89;52,13;209494,73;25117718,73;;37975720,99;;
"CAA""""";426246,77;171124,17;19933,12;1693812,73;1386368,79;1671592,54;488883,1;76458,26;3206327,61;106956967,3;10132973,97;607550900,2;759377724,6;2288223,6;300343500,7;2059673,89;187440,01;22701,09;1237058,56;17667608,25;15402329,8;479288802;7789360,4;12255,77;1099052,13;2811459028;47805266,93;41105412788;5115316,95;136915330;89684,85;110564220,2;50450454555;;96988373509,73;;
"CAPL""""";2561941,28;1034573,35;93616,28;10601958,63;3735823,99;5951470,06;1380439,06;225471,69;9692717,28;490163288,1;53493128,12;2394711356;3938377322;4289925,37;1514650541;3334248,3;690743,05;157400,43;5094595,55;88979620,83;83339766,06;2492143973;39772769,44;75143,29;6883915,92;16582592532;188216366,8;3,55084E+11;13555827,33;538930113;223054,51;392554876,6;1,29208E+11;;513158940454,45;;
"CCA""""";162046,04;65300,25;6853,65;648099,97;469640,05;669982,4;179342,93;29300,37;1219240;38494634,77;3757312,82;214407218,7;278539712,3;718271,27;109685748,9;648145,04;70607,11;8818,46;446158,77;6557891,45;5757353,34;183366521,9;2861439,44;4668,49;419120,2;1047789982;16863433,63;16668986649;1745938,63;48295505,75;30140,78;45094741,97;17038432123;;35716431943,97;;
"CCPL""""";897737,55;362276,72;32753,73;3706601,1;1305709,43;2080303,92;482629,86;78814,21;3386779,71;171169213,8;18678200,72;836340624,7;1375152268;1500179,16;528877956;1166461,96;241452,24;55028,64;1779196,94;31069698,35;29098858,13;870186774,6;13887533,58;26282,25;2403400,11;5789604714;65732867,24;1,23949E+11;4736484,68;188216366,8;77941,19;137129231,5;45146275694;;179175122315,60;;
"CDeRo""""";26367,51;10459,73;1382,94;93328,05;51919,28;127893,8;39166,83;6235;255746,82;5328849,64;529513,03;25734092,33;38205035,54;187189,52;14832510,65;180617,57;14321,66;1359,74;64649,83;1049203,01;860562,48;28229619,33;419914,13;719,34;74693,74;162107861,5;2033367,93;2980761172;184707,29;5822394,92;3716,51;8557344,62;1696272376;;4972068292,64;;
"Cepha""""";14565853,1;5922641,86;530446,95;63541813,45;41579879,68;39812324,95;9233107,42;1518369,55;65274180,18;3527827861;352930508,1;20015180164;26535955120;29607933,36;10427274672;22158483,79;4339283,08;877402,89;38205035,54;565889690;528262764,9;15920465233;262155023,4;439312,82;36882054,66;98840004908;1571602592;1,66283E+12;155588639,3;4501002654;2515478,58;2653685594;1,54959E+12;;3398655154030,41;;
"Esto""""";21355,89;8527,29;1112,39;77119,71;98584,54;156675,82;44513,62;7371,64;300444,36;6094640,62;531184,06;37061025,49;39187183,07;189945,85;15823873,64;182324,25;15613,6;974,32;79362,1;1018824,05;812342,88;28711000,58;419120,2;587,02;51807,6;129587059;2918414,42;1054273047;370479,96;8359040,77;6617,56;10730161,77;3609259372;;4946399706,31;;
"Haemu""""";243563,26;97874;10343,93;1006287,13;696058,23;681842,53;186192,32;29256,16;1241208,29;57105070,08;5560898,3;322444688,1;419104978,4;816120,94;165049747;700570,88;81262,59;14593,43;628796,72;9213371,22;8370717,62;251616984;4199349,62;7184,85;593676,3;1567273762;25348986,69;25078327968;2573585,45;72597816,74;43335,69;44678606,56;25578083054;;53618627750,82;;
"InvBenth""""";67130458,61;27387084,98;2378944,78;284993570,3;260624408,6;301609879,4;71081936,16;12016807,19;507298018,4;18199722215;1732249948;1,10646E+11;1,29728E+11;216590066,4;51703526708;174825753,9;28753228,14;3648601,43;212766568,3;2852116382;2566984330;83024681234;1294328801;1971577,9;160078131,7;4,42031E+11;8684407071;5,73405E+12;990082612,5;24873888799;16188960,44;20706567315;9,82473E+12;;16460158787456,50;;
"Jaib""""";437903,3;173718,92;23108,38;1501445,44;1271791,94;2451333,12;745514,72;116620,79;4860998,5;98618556,44;9213371,22;534786172,1;671994006,9;3521081,34;265566079,4;3276026,77;262970,75;19924,75;1245928,58;18043172,08;14594980,73;490655290,2;7329408,09;11497,94;1138685,7;2580486250;42166019,19;37015631102;4640191,42;120758056,8;88274,71;164781897,5;44213813439;;86274224818,89;;
"JTotoa""""";12817,47;4510,49;472,08;18913,55;8631,94;38391,35;13076,86;2039,48;77471,1;601347,92;47046,76;2380399,94;2983257,12;68954,59;1178322,75;69596,52;4251,58;241,37;9846,14;152246,22;89645,22;3659447,96;45686,96;195,47;10102,92;15061214,74;189712,47;168997632;24270,08;542726,68;705,48;2275766,65;193761214;;392330155,87;;
"Macroph""""";2320729,46;829288,11;325880,69;2992996,4;5447193,35;19570988,33;9579079,69;1357899,1;54989377,18;488550415,8;32921078,52;1671425796;2321974895;68218387,24;906398023,4;68132083,75;2896430,28;59603,34;7487676,55;121418240,3;67299960,11;2223603457;37136846,33;47552;8836603,81;13804378210;137129231,5;1,62226E+11;15038468,68;392554876,6;579989,37;1222516406;1,21929E+11;;307851636238,45;;
"Merlu""""";38064,69;14464,72;1313,54;123067,46;11718,5;69968,56;17370,69;2891,68;113690,85;3438159,9;402981,08;13031132,52;28586167,28;58148,68;10755145,09;56972,25;8631,94;2016,11;35694,5;736300,6;663045,95;20578253,25;303884,74;939,52;63790;136517547,4;1025914,55;3399600494;30643,89;2935290,27;651,22;4279937,63;173134350,4;;3796638643,37;;
"Mojar""""";109444,74;41723,85;5346,41;159679,14;98406,62;1327676,68;365065,37;61067,01;2491432,55;7441358,76;700570,88;19435297,85;26313199,5;1361549,7;10272610,87;1336975,84;120212,18;2058,38;214483,37;3276026,77;1701469,73;107833358,8;724397,39;1869,55;203774,17;158175682,1;1583055,51;1862705020;360236,07;4525051,27;11653,19;92464970,8;1565164116;;3870588840,93;;
