TI3;"Lpred""""";"IntMedPred""""";"Carang""""";"FlatFishSole""""";"Sciae""""";"Spela""""";"EngraClup""""";"Squid""""";"DemZooBenthFeed""""";"Leio""""";"Mullid""""";"Nemi""""";"Bali""""";"Lact""""";"ReefFish""""";"OctoSep""""";"Tuna""""";"CrabLobs""""";"Shri""""";"Scrus""""";"LzooBenthFeed""""";"MacroBenth""""";"MeioBenth""""";"Lutja""""";"Serra""""";"Zoopl""""";"Phyto""""";"MacroBenthFlo""""";;SUM
"Lutja""""";0,03;0,03;0,03;0,03;0,02;0,04;0,02;0,02;0,04;0,05;0,05;0,05;0,05;0,05;0,06;0,06;0,02;0,05;0,04;0,04;0,03;0,04;0,05;0,03;0,03;0,03;0,03;0,03;;1,03
"Serra""""";0,02;0,02;0,03;0,02;0,02;0,04;0,04;0,02;0,04;0,04;0,04;0,04;0,05;0,04;0,06;0,02;0,02;0,04;0,04;0,02;0,02;0,04;0,02;0,03;0,03;0,02;0,02;0,03;;0,89
"Zoopl""""";0,03;0,03;0,03;0,03;0,06;0,05;0,06;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,07;0,07;0,03;0,05;0,03;0,05;0,03;0,05;0,05;0,03;0,03;0,04;0,06;0,04;;1,27
"Phyto""""";0,02;0,02;0,02;0,03;0,02;0,04;0,05;0,05;0,02;0,05;0,05;0,02;0,02;0,05;0,06;0,06;0,02;0,02;0,04;0,04;0,03;0,04;0,04;0,03;0,02;0,05;0,03;0,03;;0,97
"MacroBenthFlo""""";0;0,01;0,01;0;0,01;0;0;0;0;0;0;0;0,01;0;0,05;0,01;0;0,03;0,01;0;0,01;0,02;0;0,01;0,01;0,01;0,01;0,03;;0,24
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Lpred""""";"IntMedPred""""";"Carang""""";"FlatFishSole""""";"Sciae""""";"Spela""""";"EngraClup""""";"Squid""""";"DemZooBenthFeed""""";"Leio""""";"Mullid""""";"Nemi""""";"Bali""""";"Lact""""";"ReefFish""""";"OctoSep""""";"Tuna""""";"CrabLobs""""";"Shri""""";"Scrus""""";"LzooBenthFeed""""";"MacroBenth""""";"MeioBenth""""";"Lutja""""";"Serra""""";"Zoopl""""";"Phyto""""";"MacroBenthFlo""""";;SUM
"Bali""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Carang""""";0,11;0,18;0;0;0;0,09;0,04;0,04;0,13;0;0;0,02;0;0;0;0;0;0,04;0,09;0,14;0;0,13;0,09;0,04;0,02;0,13;0,02;0;;1,27
"CrabLobs""""";0,04;0,07;0,04;0;0;0,05;0,04;0,02;0,09;0;0;0;0;0;0,02;0,02;0;0;0,11;0,13;0,02;0,14;0,09;0,04;0;0,05;0,02;0;;0,96
"DemZooBenthFeed""""";0,09;0,18;0,13;0;0;0,14;0,04;0,04;0;0,02;0,02;0,02;0;0,02;0;0;0;0,09;0,13;0,2;0;0,23;0,14;0,02;0;0,11;0;0;;1,59
"EngraClup""""";0,04;0,05;0,04;0;0;0,02;0;0,02;0,04;0;0;0,02;0;0;0;0;0;0,04;0,05;0,05;0;0,04;0,02;0;0;0,04;0;0;;0,45
"FlatFishSole""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"IntMedPred""""";0,13;0;0,18;0;0;0,13;0,05;0,04;0,18;0;0;0,02;0;0;0;0;0;0,07;0,14;0,23;0;0,23;0,13;0,04;0,02;0,14;0,02;0;;1,73
"Lact""""";0,02;0;0;0;0;0;0;0,02;0,02;0,02;0,02;0,02;0;0;0;0;0;0;0;0,02;0;0,02;0,02;0;0;0;0;0;;0,16
"Leio""""";0,02;0;0;0;0;0;0;0,02;0,02;0;0,02;0,02;0;0,02;0;0;0;0;0;0,02;0;0,02;0,02;0;0;0;0;0;;0,16
"Lpred""""";0;0,13;0,11;0;0;0,05;0,04;0,04;0,09;0,02;0,02;0,04;0;0,02;0;0;0;0,04;0,05;0,14;0,02;0,14;0,11;0,04;0,02;0,14;0,04;0;;1,27
"Lutja""""";0,04;0,04;0,04;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0,04;0,02;0,04;0,02;0,04;0,04;0;0,02;0,05;0,04;0;;0,41
"LzooBenthFeed""""";0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0,02;0;0,02;0,02;0,02;0;0,02;0,02;0;;0,14
"MacroBenth""""";0,14;0,23;0,13;0;0;0,16;0,04;0,04;0,23;0,02;0,02;0,04;0;0,02;0,02;0,02;0;0,14;0,2;0,34;0,02;0;0,23;0,04;0;0,18;0,02;0;;2,25
"MacroBenthFlo""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MeioBenth""""";0,11;0,13;0,09;0;0;0,11;0,02;0,02;0,14;0,02;0,02;0,02;0;0,02;0;0,02;0;0,09;0,13;0,23;0,02;0,23;0;0,04;0;0,13;0,02;0;;1,57
