TI3;"PrimProd""""";"MicroZoopl""""";"MesoZoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scalo""""";"Lobs""""";"Ogado""""";"Cepha""""";"SMDem""""";"Sgado""""";"Lemsole""""";"Awhit""""";"Herr""""";"Sprat""""";"Pil""""";"Mack""""";"Scad""""";"MacroZoopl""""";"Acod""""";"Ray""""";"Sande""""";"BaskSha""""";"Bird""""";"DepoFeed""""";"Whelk""""";"RedMull""""";"Jsole""""";"Asole""""";"Jplai""""";"Aplai""""";"Dab""""";"LFlatFish""""";"Gurna""""";"Jwhit""""";"Jcod""""";"DogFish""""";"Bream""""";"Bass""""";"SMCrab""""";"Lcrab""""";"Lbott""""";"JohnDo""""";"AngFish""""";"Seal""""";"Hake""""";"ToothCet""""";"Sha""""";;SUM
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"PrimProd""""";"MicroZoopl""""";"MesoZoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scalo""""";"Lobs""""";"Ogado""""";"Cepha""""";"SMDem""""";"Sgado""""";"Lemsole""""";"Awhit""""";"Herr""""";"Sprat""""";"Pil""""";"Mack""""";"Scad""""";"MacroZoopl""""";"Acod""""";"Ray""""";"Sande""""";"BaskSha""""";"Bird""""";"DepoFeed""""";"Whelk""""";"RedMull""""";"Jsole""""";"Asole""""";"Jplai""""";"Aplai""""";"Dab""""";"LFlatFish""""";"Gurna""""";"Jwhit""""";"Jcod""""";"DogFish""""";"Bream""""";"Bass""""";"SMCrab""""";"Lcrab""""";"Lbott""""";"JohnDo""""";"AngFish""""";"Seal""""";"Hake""""";"ToothCet""""";"Sha""""";;SUM
"Acod""""";0;0,04;0,07;0,04;0,09;0,02;0,05;0;0;0,07;0,09;0,04;0,09;0,03;0,06;0,02;0,06;0,01;0,06;0,09;0;0;0,02;0,08;0;0,03;0,1;0;0;0;0;0;0;0;0;0,02;0,01;0,01;0,08;0;0;0,09;0;0,03;0;0,04;0,02;0,01;0,01;0;;1,48
"AngFish""""";0;0,03;0,03;0,02;0,04;0,01;0,03;0;0;0,02;0,05;0,02;0,02;0,01;0,02;0,01;0,02;0,01;0,03;0,05;0;0,04;0,01;0,04;0;0,01;0,06;0;0;0;0;0;0,01;0;0,02;0,02;0;0;0,03;0;0;0,04;0;0,03;0;0;0,03;0;0;0;;0,76
"Aplai""""";0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0;0,01;0;0;0;0;0,01;0,01;0;0;0;0,01;0;0;0,01;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0,01;0;0,01;0,01;0;0;0;;0,12
"Asole""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Awhit""""";0,02;0,04;0,09;0,04;0,06;0,02;0,03;0;0,01;0,08;0,06;0,05;0,08;0,05;0;0,01;0,06;0,02;0,07;0,08;0;0,06;0,01;0,05;0;0,02;0,06;0;0;0,01;0;0;0;0,02;0,01;0,01;0,01;0,02;0,07;0;0;0,05;0;0,04;0;0,02;0,01;0,01;0,01;0;;1,36
"BaskSha""""";0;0;0,02;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0,02;0,02;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0,02;0;;0,15
"Bass""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bird""""";0;0,02;0,03;0;0,01;0;0,01;0;0;0,02;0,01;0,01;0,02;0,03;0,02;0;0,02;0,01;0,02;0,04;0;0,03;0,01;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0,01;0;0,01;0,03;0;0;0,01;0;0,03;0,01;0,01;0,01;0,02;0,02;0;;0,51
