0.367	0.061	0	0	0.906	0.006	0	0.085	0.027	0	0.102	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.01	0.05	0	0.003	0.046	0.004	0	0	0	0	0.012	0.002	0.001	0	0.082	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0
0	0	0.002	0.002	0	0	0.018	0	0	0.001	0.012	0.043	0.001	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.002	0	0	0.018	0.018	0.017	0.002	0.2	0.076	0.004	0.48	1.451	0	0.042	0	0	0	0	0.788	0	0.583	0.492	0	0.062	0.198	21.887	0.151	0	0	0
0	0	0	0	0	0	0.001	0	0	0.001	0.006	0.011	0.003	0.002	0.015	0	0	0	0	0	0	0	0	0.021	0.052	0	0	0	0	0	0	0	0
0	0	0.003	0	0.005	0.004	0.027	0.003	0.001	0.001	0.502	0.005	0.002	0.022	0.015	0.019	0	0	0	0	0	0.013	0.001	0.004	0.052	0	0.003	0	0	0	0	0	0
0	0	0	0	0	0	0.027	0.008	0.054	0.001	0.785	0.094	0.018	0.922	1.419	0.176	0.06	0	0	0	0	0.263	0	0.292	1.042	28.934	0.05	0.631	0	0.15	0	0	0
0	0	0	0	0.005	0.002	0	0	0.001	0.001	0.126	0	0.001	0.011	0	0.019	0	0	0	0	0	0	0.001	0.004	0.005	0	0.003	0	0	0	0	0	0
0	0	0	0	0	0	0	0.026	0.091	0.001	0	0	0	0	3.425	0.191	0.021	13.376	0.979	2.805	13.127	0.003	5.066	0	0.249	7.271	0.006	0.299	44.943	0.125	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.843	0.155	0.009	3.809	0.28	0.802	9.644	0	3.377	0	0.249	7.271	0.021	0.299	60.939	0.102	1433.006	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.007	0.07	2.593	0	0.004	0	0.07	0.2	0	0.027	0	0.396	0.463	6.817	0.004	0.087	32.247	0.021	0	0	0
