TI3;"UlvRig""""";"MacroBenthHerbDet""""";"MacroBenthOmnMixFeed""""";"ADicLab""""";"Grass""""";"MacroAlga""""";"AMugi""""";"Epiph""""";"MicroMeioBenth""""";"Phyto""""";"Zoopl""""";"MacroBenthOmnFiltFeed""""";"JTPhil""""";"TPhilCom""""";"Bacipl""""";"JMugi""""";"AtherBoy""""";"NektCarnBenth""""";"JSparAur""""";"JDicLab""""";"MacroBenthDet""""";"MacroBenthOmn""""";"ZosOph""""";"ASparAur""""";"Bird""""";;SUM;;;
"Epiph""""";4,09997E+12;13408989419;6,08507E+12;2,23455E+11;503,25;4,43282E+12;1,07722E+12;4,06144E+12;1,52363E+13;2,42023E+12;6,62284E+11;8,42763E+11;2,67102E+11;2,93324E+11;2,04975E+12;22546088620;7,87744E+11;2,92864E+11;2483465683;8990252,94;4,11243E+12;1,75535E+12;5,60711E+11;37031678113;682705505,4;;49336993448393,50;0,00;;
"Grass""""";154,92;18494,9;3804709,76;22966,4;90,75;113,67;254414,42;167,75;1845660,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;5946772,60;0,00;;
"JDicLab""""";6049603,37;0;2804657,44;332735,19;0;6436346,48;42,46;2996750,98;4754715,94;97695202,03;621625138,7;231588059,5;242582531,3;924483014,2;45458853,63;6,53;205381,67;427279,79;714,1;0,03;1818138,27;3243351,84;580976,89;183002,92;10078,6;;2193276581,87;0,00;;
"JMugi""""";8653212281;0;15627644808;469505090,5;0;9287056457;3607495997;22546088620;7148180334;68875117429;4,38824E+11;1,63977E+11;1,71381E+11;6,52118E+11;32048491809;5726,02;936872565,4;1201827958;8679055,45;19,58;28748367071;6325231080;695794319,3;136315876;10067988,76;;1632625749410,16;0,00;;
"JSparAur""""";4432897020;4026894,67;3575106333;231643096,2;0;4777237480;706925266,5;4139109471;11300691787;15560645369;96140033450;36284469743;37541365401;1,42564E+11;7755915078;14465092,41;595725769,6;294355797,4;1958640,18;3570,48;4079485844;1849167849;483847379,9;52939114,52;2155985,82;;372387919718,13;0,00;;
"JTPhil""""";4,19857E+11;119703,64;9,95031E+12;2,33252E+11;0;4,46751E+11;81549616413;5,34203E+11;6,82809E+11;5,50147E+14;4,33758E+13;4,28367E+13;1,76359E+13;4,70117E+13;6,1478E+14;3,42763E+11;5,23427E+12;5,97165E+11;45049638482;1455495188;5,84303E+11;1,35587E+13;4,14391E+11;5,70528E+11;468614135,6;;1349484345687500,00;0,06;;
"MacroAlga""""";3628547559;16973533640;8,30489E+12;30771107209;341;185965658,6;1,40472E+12;4,43282E+12;3,38201E+12;5,19812E+12;4,11219E+11;4,76501E+11;2,23375E+11;2,82988E+11;4,40241E+12;9287056457;3,50881E+11;2,51874E+11;2866342488;19309039,44;6,39532E+12;1,13354E+12;1,57285E+11;10518267346;593770272,2;;36882796869972,40;0,00;;
"MacroBenthDet""""";1,97167E+13;39857318107;1,77719E+13;1,0315E+12;0;2,13177E+13;3,28361E+12;1,37081E+13;6,83739E+13;6,4226E+12;2,71033E+12;3,43192E+12;9,73838E+11;1,02282E+12;5,913E+12;95827890237;3,31452E+12;1,07331E+12;8158971688;18181382,7;1,13607E+13;7,0346E+12;2,47962E+12;1,6737E+11;2532583500;;191254355331207,00;0,01;;
"MacroBenthHerbDet""""";21180931523;2241,47;5447961012;1072009104;73979,58;22631378187;1458972536;17878652558;16298383790;0;2368895363;3059044291;79802,43;0;0;0;960665540,4;616149697,8;3221515,73;0;15942927243;3377412268;603084224,9;34588270,51;0;;112934433147,92;0,00;;
"MacroBenthOmn""""";2,79642E+12;6754824536;4,9433E+12;1,53991E+11;0;3,02277E+12;9,99645E+11;4,68095E+12;8,67987E+12;4,30122E+12;4,3383E+13;2,08486E+13;1,80782E+13;6,76029E+13;5,5669E+12;16867282881;6,03587E+11;2,73684E+11;2958668558;25946814,75;5,62768E+12;1,42614E+12;3,32756E+11;20508016423;721610653,3;;193369527044602,00;0,01;;
"MacroBenthOmnFiltFeed""""";1,19558E+12;6118088583;1,87754E+13;3,46041E+11;0;1,27067E+12;5,20726E+11;2,24737E+12;2,24461E+12;8,32777E+14;1,57673E+14;8,7564E+13;5,71156E+13;1,91847E+14;8,47306E+14;4,37271E+11;6,75578E+12;1,28541E+12;58055151588;1852704476;2,74554E+12;2,08486E+13;1,07316E+12;9,46696E+11;2148865563;;2235044277929070,00;0,10;;
"MacroBenthOmnMixFeed""""";3,34742E+13;17705873289;1,49343E+13;1,71206E+12;49461226,83;3,59879E+13;3,3354E+12;2,63686E+13;5,99978E+13;1,28342E+13;5,44256E+13;3,051E+13;2,1559E+13;7,96235E+13;1,20264E+13;67719794169;3,18273E+12;1,32067E+12;9295276466;36460546,67;2,31035E+13;8,03286E+12;2,21564E+12;1,5148E+11;3124175062;;424893688659041,00;0,02;;
"MicroMeioBenth""""";9,43121E+12;36671363528;4,1537E+13;5,63135E+11;16610940,5;1,0146E+13;9,28017E+12;4,57089E+13;1,57209E+13;1,37867E+13;2,21689E+12;2,52518E+12;1,02421E+12;1,15134E+12;1,21023E+13;21444541001;2,20916E+12;2,12545E+12;20341245217;42792443,46;6,15365E+13;9,76485E+12;9,02016E+11;45350959301;5790218184;;241861584959820,00;0,01;;
"NektCarnBenth""""";6,99659E+11;1386336820;9,14308E+11;37570449278;0;7,55623E+11;1,84623E+11;8,78593E+11;2,12545E+12;8,80904E+11;2,03536E+12;1,44609E+12;8,95748E+11;3,25117E+12;9,86428E+11;3605483873;1,28367E+11;53645351998;529840435,3;3845518,08;9,65977E+11;3,07895E+11;81011269043;5529684294;156556227,4;;16639628936970,50;0,00;;
"Phyto""""";6,51369E+12;0;3,94898E+12;4,0091E+11;0;6,93083E+12;26450118,55;3,22698E+12;6,12744E+12;1,12997E+14;8,93921E+14;4,16389E+14;3,66764E+14;1,38721E+15;1,09049E+14;91833489905;1,7254E+12;3,91513E+11;12448516295;390780808,1;2,56904E+12;2,15061E+12;4,14458E+11;1,10799E+11;5828462317;;3320956153325470,00;0,15;;
"TPhilCom""""";4,43266E+11;0;3,06244E+13;6,92634E+11;0;4,71646E+11;67319458714;4,88873E+11;6,39635E+11;1,73402E+15;9,40792E+13;1,19905E+14;3,91764E+13;8,51539E+13;1,94393E+15;1,08686E+12;1,65238E+13;1,8062E+12;1,42564E+11;4622415071;5,11409E+11;4,22518E+13;1,21069E+12;1,78279E+12;548440506,7;;4115011018700690,00;0,18;;
"UlvRig""""";6654012932;15885698642;7,72481E+12;29087879988;464,75;3628547559;1,30028E+12;4,09997E+12;3,14374E+12;4,88527E+12;3,86809E+11;4,48342E+11;2,09929E+11;2,65959E+11;4,13786E+12;8653212281;3,25696E+11;2,3322E+11;2659738212;18148810,1;5,915E+12;1,04866E+12;1,45744E+11;9785215794;558875935,6;;34348212855407,00;0,00;;
"Zoopl""""";1,54724E+12;7106686088;5,0239E+13;1,16772E+12;0;1,64488E+12;5,99832E+11;2,64914E+12;2,95585E+12;2,68176E+15;1,90352E+14;2,36509E+14;8,67516E+13;2,2579E+14;3,06253E+15;1,7553E+12;2,68031E+13;2,71381E+12;2,30736E+11;7459501665;3,25239E+12;6,50746E+13;1,69295E+12;2,68536E+12;250574282,7;;6648726758956290,00;0,29;;
"ZosOph""""";3,8865E+11;1206168450;1,36347E+12;22900951823;0;4,19426E+11;3,01691E+11;1,49523E+12;8,01792E+11;8,28916E+11;1,12863E+12;1,07316E+12;5,52522E+11;1,93711E+12;1,00484E+12;1855451518;96194115290;72010016927;774155807,8;4647815,12;1,9837E+12;3,32756E+11;39397098853;1961616446;213531256,7;;13848412313932,20;0,00;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;22622550060003500,00;1;;
