TI3;"MarMamm""""";"Cepha""""";"LBenthCarn""""";"SBenthCarn""""";"Clup""""";"Anch""""";"Shri""""";"BenthOmn""""";"Lzoopl""""";"Sha""""";"Lpela""""";"LBenthPela""""";"MBenthCarn""""";"MeioBenth""""";"RaySkate""""";"SBenthPela""""";"CrabLobs""""";"HetBenth""""";"MicroNekt""""";"Mack""""";"Tuna""""";"MicroZoopl""""";"Phyto""""";;SUM
"CrabLobs""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"HetBenth""""";0;0,04;0,04;0,15;0,17;0,22;0,13;0,11;0,26;0;0;0;0,07;0,15;0;0,07;0;0;0,24;0,2;0;0,26;0,26;;2,37
"LBenthCarn""""";0;0,04;0;0,04;0,04;0,04;0,04;0,04;0,04;0;0;0;0,04;0,04;0;0,04;0;0,04;0,04;0,04;0;0,04;0,04;;0,65
"LBenthPela""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Lpela""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Lzoopl""""";0;0,04;0,04;0,15;0,17;0,22;0,13;0,11;0;0;0;0;0,07;0,15;0;0,07;0;0,26;0,24;0,2;0;0,3;0,3;;2,46
"Mack""""";0;0,04;0,04;0,13;0,15;0,2;0,11;0,11;0,2;0;0;0;0,07;0,13;0;0,07;0;0,2;0,2;0;0;0,2;0,2;;2,02
"MarMamm""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MBenthCarn""""";0;0,04;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0;0;0;0;0,07;0;0,07;0;0,07;0,07;0,07;0;0,07;0,07;;0,93
"MeioBenth""""";0;0,04;0,04;0,15;0,15;0,15;0,13;0,11;0,15;0;0;0;0,07;0;0;0,07;0;0,15;0,15;0,13;0;0,15;0,15;;1,8
"MicroNekt""""";0;0,04;0,04;0,15;0,17;0,22;0,13;0,11;0,24;0;0;0;0,07;0,15;0;0,07;0;0,24;0;0,2;0;0,24;0,24;;2,3
"MicroZoopl""""";0;0,04;0,04;0,15;0,17;0,22;0,13;0,11;0,3;0;0;0;0,07;0,15;0;0,07;0;0,26;0,24;0,2;0;0;0,35;;2,5
"Phyto""""";0;0,04;0,04;0,15;0,17;0,22;0,13;0,11;0,3;0;0;0;0,07;0,15;0;0,07;0;0,26;0,24;0,2;0;0,35;0;;2,5
"RaySkate""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SBenthCarn""""";0;0,04;0,04;0;0,15;0,15;0,13;0,11;0,15;0;0;0;0,07;0,15;0;0,07;0;0,15;0,15;0,13;0;0,15;0,15;;1,8
"SBenthPela""""";0;0,04;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0;0;0;0,07;0,07;0;0;0;0,07;0,07;0,07;0;0,07;0,07;;0,93
"Sha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Shri""""";0;0,04;0,04;0,13;0,13;0,13;0;0,11;0,13;0;0;0;0,07;0,13;0;0,07;0;0,13;0,13;0,11;0;0,13;0,13;;1,61
"Tuna""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
