TI3;"MarMamm""""";"SerLal""""";"Bran""""";"TriLepTwo""""";"Tham""""";"PriMac""""";"Spar""""";"Ljelly""""";"Cepha""""";"Argentin""""";"Shri""""";"SDemFish""""";"Strom""""";"SetTat""""";"ShaRay""""";"Saur""""";"LophLit""""";"PenArg""""";"Crab""""";"EngJap""""";"SPelaFish""""";"Zoopl""""";"Sphyr""""";"ScomberJap""""";"DecaMar""""";"Sard""""";"TriLepOne""""";"ChampCap""""";"MacroBenth""""";"MicroBenth""""";"ScoNiph""""";"NibAlb""""";"LarPoly""""";"TraJap""""";"AciSin""""";"LarCroOne""""";"Bird""""";"HarNeh""""";"Phyto""""";"Pleuron""""";"HetBaci""""";"Coilia""""";;SUM;
"Sard""""";0,01;0,04;0;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0;0,01;0,04;0,02;0,01;0,01;0,01;0;0,03;0;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0;0;0,01;;0,44;
"TriLepOne""""";0,01;0,04;0,01;0,02;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,03;0,04;0,02;0,03;0,05;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,05;0,03;0;0,01;0,01;;0,68;
"ChampCap""""";0,01;0,01;0,01;0,03;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,04;0,01;0,05;0,01;0,02;0,03;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,06;0,03;0,03;0,03;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,06;0,01;0,02;0,01;0,01;;0,83;
"MacroBenth""""";0,03;0,02;0,07;0,04;0,06;0,06;0,06;0,02;0,05;0,07;0,05;0,05;0,02;0,03;0,03;0,06;0,03;0,06;0,06;0,03;0,02;0,04;0,03;0,03;0,03;0,02;0,03;0,06;0,04;0,06;0,05;0,1;0,06;0,06;0,06;0,03;0,02;0,07;0,04;0,1;0,09;0,03;;1,96;
"MicroBenth""""";0,02;0,02;0,06;0,02;0,06;0,05;0,06;0,01;0,04;0,06;0,04;0,04;0,01;0,02;0,02;0,02;0,02;0,05;0,05;0,02;0,02;0,02;0,03;0,04;0,01;0,01;0,02;0,05;0,05;0,04;0,01;0,09;0,05;0,02;0,02;0,02;0,01;0,06;0,02;0,09;0,09;0,02;;1,5;
"ScoNiph""""";0,02;0,02;0,01;0,03;0,01;0,02;0,01;0,05;0,03;0,02;0,02;0,03;0,02;0,05;0,01;0,02;0,01;0,02;0,02;0,04;0,02;0,03;0,02;0,04;0,05;0,08;0,02;0,02;0,03;0,01;0,04;0,02;0,04;0,05;0,06;0,09;0,03;0,02;0,03;0,01;0,01;0,02;;1,2;
"NibAlb""""";0,01;0;0,01;0,02;0,01;0,01;0,01;0;0,01;0,01;0,02;0,02;0,01;0,01;0;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0;0;0;0,01;0,02;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0,01;0,01;;0,35;
"LarPoly""""";0,02;0,01;0,02;0,03;0,01;0,05;0,02;0,01;0,03;0,02;0,03;0,03;0,01;0,05;0,01;0,02;0,01;0,02;0,03;0,04;0,01;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,04;0,04;0,02;0,03;0,02;0,02;0,02;0,02;0,06;0,03;0,02;0,02;0,02;;1,03;
"TraJap""""";0,02;0,01;0,01;0,03;0,01;0,01;0,02;0,05;0,01;0,06;0,03;0,03;0,02;0,02;0,01;0,01;0,02;0,02;0,03;0,04;0,02;0,03;0,01;0,02;0,02;0,02;0,01;0,01;0,03;0,01;0,04;0,02;0,02;0,03;0,06;0,02;0,07;0,01;0,03;0,02;0,02;0,02;;1;
"AciSin""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0;0,01;0,01;0,01;0,03;0,03;0,01;0,02;0;0,01;0,04;0,02;0,01;0,01;0,02;0,01;0,04;0,01;0,01;0,04;0,03;0,01;0,06;0,01;0,01;0,01;0,01;0,02;;0,69;
"LarCroOne""""";0,01;0;0,01;0,01;0;0,01;0;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0;0;0,01;0,01;0;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,03;0,01;0,01;0,01;0,01;0,02;0;0,01;0,02;0,01;0;0,01;;0,36;
