TI3;"Phyto""""";"MicroZoopl""""";"MesoZoopl""""";"MacroZoopl""""";"Jelly""""";"SupBenth""""";"OSPelaFish""""";"Shri""""";"BenthPelaCepha""""";"Mull""""";"FlatFish""""";"Gadi""""";"DemFishOne""""";"DemFishTwo""""";"DemFishFour""""";"BepeFish""""";"PicaBog""""";"Janch""""";"Aanch""""";"Jsard""""";"Asard""""";"HorMack""""";"Mack""""";"Crab""""";"NorLobs""""";"BenthCepha""""";"Hake""""";"DemFishThree""""";"Sha""""";"RaySkate""""";"MPelaFish""""";"LogTurtle""""";"Polych""""";"BenthInv""""";"AngFish""""";"LPelaFish""""";"Dolph""""";"Bird""""";;SUM
"DemFishThree""""";0,01;0,01;0,02;0,03;0,01;0,03;0,02;0,03;0,02;0,02;0,04;0,03;0,05;0,03;0,04;0,04;0,04;0,04;0,02;0,04;0,02;0,03;0,02;0,04;0,02;0,04;0,03;0,03;0,02;0,03;0,02;0,02;0,04;0,04;0,04;0,02;0,04;0,01;;1,09
"Sha""""";0,01;0,02;0,02;0,03;0,05;0,02;0,01;0,03;0,03;0,04;0,03;0,03;0,02;0,02;0,02;0,03;0,02;0,04;0,04;0,04;0,04;0,02;0,02;0,03;0,02;0,03;0,02;0,02;0,02;0,03;0,02;0,03;0,03;0,03;0,03;0,02;0,02;0,02;;0,99
"RaySkate""""";0,02;0,01;0,03;0,04;0,02;0,04;0,05;0,04;0,04;0,05;0,04;0,04;0,05;0,04;0,05;0,04;0,05;0,05;0,05;0,05;0,05;0,04;0,04;0,04;0,03;0,04;0,04;0,04;0,05;0,03;0,03;0,02;0,04;0,04;0,04;0,03;0,03;0,03;;1,44
"MPelaFish""""";0,02;0,02;0,02;0,03;0,05;0,03;0,04;0,03;0,03;0,04;0,01;0,03;0,01;0,02;0,01;0,01;0,04;0,04;0,04;0,04;0,04;0,03;0,03;0,01;0,01;0,03;0,02;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,02;0,02;0,02;0,03;;0,92
"LogTurtle""""";0,01;0,01;0;0;0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0,02;0;0,02;0;0;0;0;;0,2
"Polych""""";0,01;0,01;0,02;0,02;0,01;0,03;0,01;0,04;0,03;0,04;0,04;0,03;0,05;0,03;0,04;0,04;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,04;0,06;0,04;0,03;0,04;0,04;0,03;0,02;0,02;0,03;0,04;0,04;0,01;0,02;0,01;;1,04
"BenthInv""""";0,02;0,01;0,02;0,02;0,02;0,04;0,04;0,04;0,03;0,04;0,04;0,03;0,05;0,03;0,04;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,05;0,06;0,04;0,03;0,04;0,04;0,03;0,02;0,14;0,04;0,03;0,04;0,02;0,02;0,01;;1,26
"AngFish""""";0,01;0,01;0,02;0,02;0,02;0,04;0,02;0,04;0,02;0,04;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0,05;0,04;0,04;0,04;0,04;0,04;0,06;0,04;0,04;0,04;0,04;0,04;0,02;0,02;0,04;0,04;0,03;0,02;0,03;0,02;;1,28
"LPelaFish""""";0,01;0;0,01;0,01;0,01;0,01;0,04;0,02;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,03;0,04;0,03;0,03;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,02;0,02;0,03;;0,56
"Dolph""""";0,01;0,01;0,02;0,01;0,01;0,01;0,04;0,01;0,03;0,01;0,01;0,03;0,01;0,03;0,01;0,03;0,04;0,04;0,04;0,04;0,04;0,03;0,03;0,01;0,01;0,03;0,03;0,03;0,01;0,02;0,02;0,01;0,01;0,01;0,02;0,02;0,02;0,03;;0,81
"Bird""""";0,01;0;0,01;0;0;0;0,03;0;0,01;0;0;0;0;0;0;0;0;0;0,03;0,03;0,03;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0,01;0,01;0,02;;0,26
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Phyto""""";"MicroZoopl""""";"MesoZoopl""""";"MacroZoopl""""";"Jelly""""";"SupBenth""""";"OSPelaFish""""";"Shri""""";"BenthPelaCepha""""";"Mull""""";"FlatFish""""";"Gadi""""";"DemFishOne""""";"DemFishTwo""""";"DemFishFour""""";"BepeFish""""";"PicaBog""""";"Janch""""";"Aanch""""";"Jsard""""";"Asard""""";"HorMack""""";"Mack""""";"Crab""""";"NorLobs""""";"BenthCepha""""";"Hake""""";"DemFishThree""""";"Sha""""";"RaySkate""""";"MPelaFish""""";"LogTurtle""""";"Polych""""";"BenthInv""""";"AngFish""""";"LPelaFish""""";"Dolph""""";"Bird""""";;SUM
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MicroZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MesoZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MacroZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jelly""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SupBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"OSPelaFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Shri""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthPelaCepha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Mull""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"FlatFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Gadi""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DemFishOne""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DemFishTwo""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DemFishFour""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BepeFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PicaBog""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Janch""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Aanch""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jsard""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
