TI3;"Cet""""";"Sha""""";"Cod""""";"Jcod""""";"NseaMack""""";"Wmack""""";"Hadd""""";"Jhadd""""";"Herr""""";"Sprat""""";"Sande""""";"Sole""""";"OpredFish""""";"OpreyFish""""";"Cepha""""";"Zoopl""""";"Eupha""""";"Ocrus""""";"Seal""""";"Whit""""";"Jwhit""""";"Saithe""""";"NorPout""""";"Plai""""";"Brill""""";"SalTrout""""";"OMacroBenth""""";"Bird""""";"Jsaithe""""";"Gurna""""";"Jsha""""";"Polych""""";"HalTur""""";"RaySkate""""";"JraySkate""""";"BlueTuna""""";"HorMack""""";"Stur""""";"Echino""""";"EdiCrabLobs""""";"Phyto""""";"PlankMicroFlo""""";"MeioFau""""";"BenthMicroFlo""""";;SUM
"RaySkate""""";0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,02;0,01;0,02;0,03;0,01;0,01;0,02;0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,54
"JraySkate""""";0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,02;0,03;0,01;0,01;0,02;0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,49
"BlueTuna""""";0,01;0,01;0,01;0,01;0,03;0,03;0,02;0,01;0,02;0,03;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,02;0;0,01;0,04;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0;0;0;0,01;0;0;0;;0,56
"HorMack""""";0,02;0,02;0,01;0,03;0,04;0,03;0,02;0,03;0,03;0,03;0,03;0,01;0,02;0,01;0,03;0,04;0,03;0,02;0,02;0,03;0,03;0,03;0,03;0,01;0,02;0,02;0,01;0,02;0,04;0,01;0,02;0,03;0,01;0,02;0,01;0,05;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;;0,96
"Stur""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0,01;0;0,02;0;0;0;0;0;0;0;0;0;0;0,01;0,02;0,01;0;0,01;0,01;0,01;;0,17
"Echino""""";0,01;0,01;0,03;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,05;0,03;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,02;0,04;0,05;0,01;0,04;0,01;0,01;0,03;0,01;0,04;0,04;0,01;0,02;0,01;0,01;0,13;0,03;0,07;0,01;0,02;0,07;0,07;;1,16
"EdiCrabLobs""""";0;0,01;0,02;0,01;0;0;0,01;0,01;0;0;0;0,01;0,01;0,02;0,01;0;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,03;0;0;0,01;0,01;0,03;0,03;0,01;0,01;0;0;0,02;0,03;0,03;0,01;0,02;0,06;0,06;;0,56
"Phyto""""";0,01;0;0;0;0,01;0,01;0;0;0,02;0,01;0;0;0;0;0;0,03;0,02;0,02;0;0;0;0;0;0;0;0,01;0,01;0;0,01;0;0;0;0;0;0;0;0,01;0,01;0;0,01;0,03;0,07;0,02;0,06;;0,41
"PlankMicroFlo""""";0,01;0;0;0;0;0;0;0;0,01;0;0;0,01;0;0;0;0,03;0,03;0,02;0;0;0;0;0;0;0;0,01;0,02;0;0;0;0;0,01;0;0;0;0;0;0,01;0,01;0,02;0,08;0,04;0,06;0,07;;0,51
"MeioFau""""";0;0;0,01;0;0;0;0;0;0;0;0;0,01;0;0,01;0;0,01;0,02;0,02;0;0;0;0;0;0,01;0,01;0;0,03;0;0;0,01;0,01;0,02;0,01;0;0;0;0;0,02;0,03;0,06;0,03;0,07;0,03;0,07;;0,55
"BenthMicroFlo""""";0;0;0,01;0;0;0;0;0;0,01;0;0;0,01;0;0,01;0;0,01;0,03;0,02;0;0;0;0;0;0,01;0,01;0;0,02;0;0;0;0;0,01;0,01;0;0;0;0;0,02;0,03;0,05;0,08;0,08;0,07;0,04;;0,6
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Cet""""";"Sha""""";"Cod""""";"Jcod""""";"NseaMack""""";"Wmack""""";"Hadd""""";"Jhadd""""";"Herr""""";"Sprat""""";"Sande""""";"Sole""""";"OpredFish""""";"OpreyFish""""";"Cepha""""";"Zoopl""""";"Eupha""""";"Ocrus""""";"Seal""""";"Whit""""";"Jwhit""""";"Saithe""""";"NorPout""""";"Plai""""";"Brill""""";"SalTrout""""";"OMacroBenth""""";"Bird""""";"Jsaithe""""";"Gurna""""";"Jsha""""";"Polych""""";"HalTur""""";"RaySkate""""";"JraySkate""""";"BlueTuna""""";"HorMack""""";"Stur""""";"Echino""""";"EdiCrabLobs""""";"Phyto""""";"PlankMicroFlo""""";"MeioFau""""";"BenthMicroFlo""""";;SUM
"BenthMicroFlo""""";0;0;0,02;0;0;0;0,01;0,01;0,01;0;0;0;0,01;0,02;0;0,02;0,05;0,07;0;0;0,01;0;0,01;0,01;0;0;0,06;0;0;0,01;0;0,03;0,02;0;0;0;0;0;0,05;0,03;0,03;0,05;0,06;0;;0,6
"Bird""""";0;0,02;0,06;0,05;0;0;0,03;0,05;0,05;0,05;0,05;0;0,05;0,06;0,02;0,01;0,02;0,06;0,03;0,01;0,05;0,01;0,05;0,02;0;0;0,03;0;0,02;0;0,01;0,02;0,01;0,01;0,01;0;0,03;0;0,02;0;0;0;0;0;;0,91
"BlueTuna""""";0;0;0;0;0,01;0,01;0;0;0,01;0,01;0,01;0;0;0;0;0,01;0,01;0,01;0,01;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,11
"Brill""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Cepha""""";0,05;0,1;0,17;0,19;0,09;0,11;0,15;0,14;0,17;0,11;0,18;0;0,24;0,16;0;0,06;0,13;0,27;0,03;0,13;0,19;0,06;0,17;0,02;0;0,02;0,15;0,02;0,05;0,05;0,03;0,11;0;0,01;0,01;0;0,07;0;0,06;0,01;0,01;0,01;0;0;;3,53
"Cet""""";0;0,03;0,03;0,05;0,03;0,03;0,01;0,03;0,06;0,05;0,05;0;0,03;0,05;0,05;0,03;0,07;0,07;0,02;0,02;0,06;0;0,05;0;0;0,01;0,02;0;0,02;0,01;0,05;0,05;0;0;0;0;0,05;0;0,01;0;0,01;0,01;0;0;;1,06
"Cod""""";0,03;0,13;0;0,24;0,02;0,05;0,19;0,2;0,18;0,14;0,2;0;0,25;0,25;0,17;0,05;0,1;0,28;0,06;0,1;0,24;0,06;0,2;0,06;0;0;0,17;0,06;0,03;0,08;0,06;0,15;0,03;0,01;0,01;0;0,08;0;0,08;0,02;0;0;0,02;0,02;;4,03
"Echino""""";0,01;0,02;0,08;0,07;0;0;0,06;0,03;0,01;0,01;0,02;0;0,09;0,09;0,06;0;0,03;0,14;0,02;0,02;0,05;0,03;0,03;0,01;0;0;0,14;0,02;0,01;0,03;0,02;0,09;0,02;0,01;0,01;0;0;0;0;0,05;0,01;0,02;0,05;0,05;;1,43
"EdiCrabLobs""""";0;0;0,02;0,01;0;0;0,02;0,01;0;0;0,01;0;0,02;0,02;0,01;0;0,02;0,05;0;0,01;0,01;0,01;0,02;0,01;0;0;0,05;0;0;0,01;0,01;0,02;0,01;0;0;0;0;0;0,05;0;0,01;0,02;0,03;0,03;;0,52
"Eupha""""";0,07;0,08;0,1;0,13;0,09;0,1;0,05;0,11;0,19;0,15;0,16;0;0,14;0,1;0,13;0,11;0;0,24;0,05;0,06;0,17;0,01;0,11;0,02;0;0,01;0,07;0,02;0,03;0,02;0,05;0,09;0,01;0;0;0,01;0,09;0;0,03;0,02;0,05;0,06;0,03;0,05;;3,01
"Gurna""""";0,01;0,05;0,08;0,09;0,02;0,02;0,07;0,07;0,07;0,03;0,08;0;0,11;0,08;0,05;0;0,02;0,1;0,01;0,06;0,11;0,02;0,09;0,05;0;0;0,1;0;0,01;0;0,01;0,07;0,01;0;0;0;0,01;0;0,03;0,01;0;0;0,01;0,01;;1,58
