TI3;"Cet""""";"Jcod""""";"JSilvHake""""";"RedFish""""";"TranMack""""";"DemPisc""""";"JDemPisc""""";"LDemFish""""";"JLDemFish""""";"Sandl""""";"SPela""""";"Squid""""";"LZP""""";"SZP""""";"GreySeal""""";"Acod""""";"ASilvHake""""";"Hadd""""";"Plai""""";"Flou""""";"Skate""""";"Poll""""";"SDemFish""""";"Cape""""";"SCrab""""";"Polych""""";"BivalvMollu""""";"OBI""""";"Bird""""";"SMesoPel""""";"Shri""""";"Echino""""";"AHal""""";"DogFish""""";"LCrab""""";"TranPel""""";"JHal""""";"Phyto""""";;SUM;;;
"ASilvHake""""";2015970,27;118734,6;3683516,19;849363,88;2164395,35;23934,19;60400,19;17553,44;142292,24;27866221,39;79035165,29;2308283,92;3066464516;17717325101;253395,56;48021,52;487676,48;711368,2;207778,11;589619,82;157437,73;583439,59;957914,7;27273039,76;611794,76;1538038,96;4502534324;1291013,5;294222,93;9157693,45;227064098,4;161084,87;6859,48;36655,96;104483,5;3866,88;103316,36;21795632525;;47471885118,08;0,0000;;
"Bird""""";1037044,4;53392,7;1678051,62;380651,57;1375650,62;14779,32;30279,82;6772,13;42720,33;15157828,31;52144489,73;1471989,32;2248637144;13256668394;174484,84;28692,22;257445,06;295965,18;77324;159991,44;67537,52;293152,17;498701,26;16063898,34;166183,82;889943,1;3385229739;781427,55;140082,63;6028594,35;161216547,3;114790,88;4437,81;22505,29;33580,04;2503,01;56958,05;14892109512;;34043413183,61;0,0000;;
"BivalvMollu""""";23854246761;875951352,1;22846199418;5833080848;27252813184;8601187,08;155251274,7;87728892,61;1271497425;3,52259E+11;9,91566E+11;29280299704;1,11714E+13;2,27676E+12;24087672,76;196544016,6;3376900743;6492714007;1441819240;5161979194;1667798250;6050232482;6193206667;3,06937E+11;6194852631;905041270,7;276825062,9;699330984,6;2901625491;1,15171E+11;1,45291E+12;19550,15;1543614;10591247,33;925576914,2;3,31;478339820,9;2,84726E+14;;301547491870510,00;0,0939;;
"Cape""""";103864758;5982677,76;166318440,4;38430117,61;56768434,25;576679,35;1856970,18;583033;5877302,7;1197356889;1657317133;58948919,91;1,97585E+11;1,50789E+12;5520648,71;1135692,31;25568474,77;21288511,24;8845745,62;28983786,43;8210242,69;29380030,23;51866389,86;639342464,7;30716718,74;52784366,1;3,83672E+11;36433166,3;17211319,65;195638175,8;11447158738;3162330,24;145077,21;933731,25;5114473,21;115759,71;4104361,68;3,58762E+11;;2463812785499,62;0,0008;;
"Cet""""";6750901,03;354735,16;10822193,62;2449312,48;7752826,78;83117,23;177768,67;41421,42;296155,45;93607969,88;286373624;8260683,82;15735683045;1,01213E+11;953194,84;161999,46;1637975,84;1783988,58;508997,68;1211735,58;457093,28;1906477,75;3360737,01;90016123,55;1175193,49;4877303,96;25842100658;4558218,13;962969,8;33166858,61;1055556383;614615,07;24671,29;125828,27;230394,93;14276,02;343094,5;80166550616;;224577768772,85;0,0001;;
"DemPisc""""";89510,86;5449,01;152105,9;36961,7;45266,45;435,06;1794,84;641,55;5914,91;1037422,67;1293986,13;47623,04;14469099,61;50821634,29;3470,65;878,48;20942,41;21171,54;8773,5;28878,42;7607,74;25515,32;36890,61;538234,06;40522,01;38332,6;10034718,26;19813,67;14779,32;152729,26;1880284,46;1817,67;100,51;964,63;6048,35;59,51;3366,92;258589181,8;;339482927,75;0,0000;;
"DogFish""""";116149,17;7608,27;224344,28;55287,72;63057,86;826,83;3011,95;992,22;7992,57;1381030,85;1856850,4;65724,97;19874817,52;56497065,36;4285,79;1527,43;27491,97;27138,93;11815,79;35996,1;10005,72;35097,56;47975,01;746985;56421,9;62403,68;10591247,33;59157,2;19290,25;215858,61;2634486,26;6578,91;176,29;1928,79;8548,1;134,27;4638,88;386346636,7;;481110586,46;0,0000;;
"Echino""""";567336,99;36492,65;960906,59;249205,24;204260,47;1558;10770,61;5278,9;43913,57;6282706,22;4683958,83;209200,45;10242249,42;81304856,79;3206,39;4083,33;120813,65;147689,49;64772,75;217803,32;52782,89;161003,75;235914,47;2529864,19;426085,24;125816,73;19550,15;84825,35;98392,18;537937,44;4378270,42;3004,35;252,74;6578,91;62415,03;80,85;18289,25;467451884,5;;581554012,09;0,0000;;
"Flou""""";1770998,16;93880,64;3288478,92;718950,66;3105775,84;39192,15;72483,76;14081,67;65337,59;28897239,08;122250208,3;3333717,12;5447516517;31900048561;530182,99;70745,1;700173,53;584494,57;145439,35;149679,62;102688,73;524328,06;941484,54;36712796,14;93367,97;4153343,2;8173133724;2133713,02;217131,24;14105394,8;387918808;344855,25;11583,91;56993,83;38291,58;8471,67;151365,16;36021840168;;82155884647,11;0,0000;;
"GreySeal""""";1686421,64;109645,23;3180505,77;751981,68;639952,94;5701,79;34493,09;13360,71;137553,88;19027798,8;14567630,46;656465,31;71471353,33;421511704,8;11017,48;14020,95;364256,12;431821,19;181758,09;641800,46;151143,58;486911,28;698907,78;8464994,68;696634,91;522922,06;46168039,45;359584,76;286653,66;1756617,69;16025447,86;6145,58;1023,85;8214,43;113287,93;409,03;58348,2;1808250797;;2419495327,58;0,0000;;
"Hadd""""";3156287,49;184020,03;5593302,39;1269307,71;2807950,65;34781,81;83617,18;21344,91;167561,43;40904636,91;97891953,33;2967505,49;7036454202;48800535107;431821,19;63272,03;1022591,79;759445,69;279918,54;707546,06;232661,9;920007,23;1614724,18;32642383,91;720051,05;4323211,22;12444368513;2089808,45;486228,52;11384492,8;444531115,4;283071,52;9440,26;52016,28;134817,65;8015,45;183285,82;25999410145;;94938730164,04;0,0000;;
"Jcod""""";682183;34844,22;1035640,16;234608,64;849488,6;9730,37;18821,21;4386,53;29517,59;9660073;31940902,92;911446,27;1254918692;7157270000;119179,6;17632,26;185522,81;200021,77;53987,05;123527,16;45823,08;193129,47;323850,65;9971129,6;140717,61;649880,23;1824898650;476066,51;95344,11;3708167,7;92765496,5;76026,35;2871,84;15850,56;24875,96;1776,51;38135,88;9054644364;;19446372361,79;0,0000;;
"JDemPisc""""";300839,28;16562,66;442823,98;104008,68;230481,44;2820,47;6402,18;1936,79;16792,95;3695054,18;7801025,74;247076,46;217493500,9;1140875733;32993,39;4568,52;83050,26;79981,65;27599,1;83928,56;23474,28;85540,72;132508,05;2723556,26;111220,82;225304,09;284627337;115638,9;47582,57;919838,06;18199929,47;19746,11;755,53;5521,9;16608,65;536,46;14048,37;1987276549;;3666092877,12;0,0000;;
"JHal""""";343094,5;19830,66;576046,07;133328,81;287519,61;3126,43;8301,31;2562,19;22808,05;4392140,65;9911215,56;306160,75;354521595;2054578580;32979,42;6014,66;83944,54;103596,33;33613,09;103565,64;27300,52;97876,47;155375,54;3557113,45;111663,27;216849,97;518201472,7;153313,86;52889,62;1158652,2;26961230,2;19813,35;862,62;5025,46;18248,05;507,33;15669,64;2588561426;;5564785313,93;0,0000;;
"JLDemFish""""";410061,39;21252,66;662469,93;146542,61;595875,8;7604,88;13739,69;2957,14;16883,89;6133914,84;22981565,03;641690,4;1195150706;7452212145;107650,86;13019,33;160078,77;131135,03;35666,28;61898,77;26271,19;118538,99;221643,15;7052763,24;70975,34;846693,04;1907246138;366661,48;54926,14;2666473,89;81680814,86;65870,35;2229,37;11988,85;13546,1;1698,54;31580,38;6648685564;;17328671234,78;0,0000;;
"JSilvHake""""";19146957,93;952788,95;26435997,6;5989214,98;21707597,15;249888,27;462952,34;113344,96;846489,36;260581688,3;804687990,3;23366725,61;30409626823;1,72061E+11;3180505,77;431019,21;5295054,53;5593302,39;1545177,1;3980790,27;1323811,22;5352768,86;8967402,59;255021608,6;4699951,32;16735386,21;43788548884;10644899,66;2756799,09;93924815,06;2280375730;1841737,63;73337,98;429993,2;752530,68;46422,79;1019158,43;2,25171E+11;;475298855811,27;0,0001;;
"LCrab""""";159504,18;8955,34;294468,53;65203,19;259316,83;3888,23;6794,45;1454,19;6773,05;2489384,78;10092932,12;277530,59;458265160,8;2711063189;44330,06;6415,64;58771,97;52754,73;13652,36;18138,12;9924,77;50328,67;86504,54;3068683,93;18749,68;319689,03;694182685,6;251015,31;21587,17;1166365,24;32473833,78;46811,27;1102,19;6411,07;4884,53;830,6;12633,26;2955069524;;6869980183,17;0,0000;;
"LDemFish""""";54166,47;2982,84;83776,71;19215,47;55790,93;779,02;1496,61;395,66;2792,85;717672,19;2029484,03;59866,94;82843601,72;488823408,8;9875,31;1234,56;18650,53;15776,67;5061,53;12599,39;3974,29;15864,65;26228,14;660770,73;17212,49;78764,64;124282597,9;39438,63;8223,3;237137,76;6070530,18;7478,44;214,8;1405,64;2746,81;173,26;3350,56;557406260,4;;1263621000,77;0,0000;;
"LZP""""";33892240405;1405508935;37020415263;9202875638;32859752640;28938199,22;276809910,2;136448285,2;1859123320;4,71108E+11;1,15518E+12;35130328800;2,49878E+13;1,05135E+14;87008604,05;263218599,5;5366312904;8566118159;2233235658;8027919078;2463256082;8799350397;10503155059;3,68825E+11;9343682628;2470782957;2,60666E+13;2387624422;4497274287;1,34479E+11;2,29328E+12;23898581,97;5245164,85;46374574,21;1425713834;3498826,31;763584973,9;3,21414E+14;;482245955248221,00;0,1501;;
"OBI""""";7713907,61;418938,53;10182077,93;2649670,8;4630842,07;31135,76;115638,9;51038,22;448141,8;91126929,39;144983276,2;4928236,07;1875990617;5941425432;343950,64;63370,01;1775143,56;1998947,21;729113,73;2470615,07;651730,46;2113507,64;3037522,53;53435310,57;4562341,84;2688005,65;1282106805;933352,47;1227957,59;16925764,42;225042406,9;155513,14;7493,11;108454,87;613592,97;5973,68;259454,23;32437508153;;42123460363,03;0,0000;;
"Phyto""""";30833288698;1810928873;48950141609;11417706652;11058557867;92353279,22;451653761,2;163943017,8;1846857101;3,3309E+11;2,36347E+11;11148528817;5,73954E+13;4,66556E+14;393097999,4;204211027,4;6811135164;5652045684;2635172952;9479431623;2537587836;8686863250;15466054984;1,19587E+11;10104711693;6721652346;1,18636E+14;7372160944;5318610540;28683560707;3,09418E+12;194771618,5;18310652,54;160977765,3;1641705291;16737431,2;995600548,6;2,51359E+13;;671736977883606,00;0,2091;;
"Plai""""";704766,02;38870,67;1209269,04;271752,8;888102,24;11280,21;22581,08;5359,27;35666,28;10101138,56;33420860,47;951586,77;1435651494;8475234617;142245,46;19847,63;233750,37;219066,68;63529,51;137784,65;48692,99;206283,71;349850,25;10614894,75;144712,97;1080996,62;2162728860;596547,6;99416,57;3878569,85;103347156,7;97159,12;3227,5;17723,68;27304,72;2336,25;46541,21;9486622626;;21729276468,95;0,0000;;
"Poll""""";2493086,28;131328,04;3956394,37;905803,03;2855975,02;30982,88;66099,65;15864,65;111953,49;34528186,91;105664135,7;3049144,35;5342462741;33589601811;359890,94;59375,63;619904,57;680005,34;194823,51;469135,63;171406,46;705086,68;1221849,21;33297367,6;533096,55;1892222,41;8571162683;1633164,99;355970,49;12241146,92;366253064,7;228088,65;9143,52;49721,54;95065,26;5387,63;127992,3;29535335049;;77613574147,88;0,0000;;
"Polych""""";6378012,87;441918,55;12369633,29;2933425,79;3530331,79;46546,73;174098,61;78764,64;799654,54;75917455,64;105731369;3751611,79;1500118224;5809009795;386507,61;90473,38;1634166,4;3195416,99;1020941,25;3716149,18;663189,19;1892222,41;2984178,4;59822281,58;4142668,76;4221796,24;1282141800;2077095,28;1080645,19;12581562,61;174833996,8;178240,37;10990,78;88405,21;603857,05;7918,71;283573,04;22853617976;;31932556893,48;0,0000;;
