TI3;"MarMamm""""";"Tuna""""";"PelaSha""""";"PelaPred""""";"Spela""""";"Squid""""";"Zoopl""""";"Bird""""";"BenthFish""""";"FlatFish""""";"PhytoEater""""";"Mull""""";"Crab""""";"Scrus""""";"Turtle""""";"Cepha""""";"GastroBivalv""""";"Anne""""";"Echino""""";"BenthAlga""""";"BillFish""""";"BenthPred""""";"DemSha""""";"GroupSnap""""";"Ray""""";"Spar""""";"BenthFeed""""";"Shri""""";"MeioBenth""""";"Phyto""""";;SUM
"Echino""""";0,03;0,05;0;0,03;0,1;0,07;0,1;0;0,03;0;0,1;0,03;0,1;0,1;0;0,05;0,1;0,1;0;0,1;0;0;0;0;0;0,03;0,05;0,08;0,1;0,1;;1,47
"FlatFish""""";0,02;0,02;0;0,02;0,02;0,02;0,02;0;0,02;0;0,02;0,02;0,02;0,02;0;0,02;0,02;0,02;0;0,02;0;0;0;0;0;0,02;0,02;0,02;0,02;0,02;;0,33
"GastroBivalv""""";0,07;0,12;0;0,07;0,28;0,17;0,28;0;0,07;0,02;0,28;0,08;0,15;0,25;0;0,1;0;0,18;0,1;0,22;0;0;0;0;0;0,07;0,1;0,15;0,15;0,28;;3,18
"GroupSnap""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MarMamm""""";0;0,07;0;0,07;0,07;0,07;0,07;0;0,07;0,02;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,03;0,07;0;0;0;0;0;0,07;0,07;0,07;0,07;0,07;;1,32
"MeioBenth""""";0,07;0,1;0;0,07;0,17;0,12;0,15;0;0,07;0,02;0,15;0,07;0,15;0,17;0;0,1;0,15;0,17;0,1;0,17;0;0;0;0;0;0,07;0,1;0,13;0;0,17;;2,43
"Mull""""";0,07;0,08;0;0,07;0,08;0,08;0,08;0;0,07;0,02;0,08;0;0,07;0,08;0;0,07;0,08;0,08;0,03;0,08;0;0;0;0;0;0,07;0,07;0,08;0,07;0,08;;1,5
"PelaPred""""";0,07;0,07;0;0;0,07;0,07;0,07;0;0,07;0,02;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,03;0,07;0;0;0;0;0;0,07;0,07;0,07;0,07;0,07;;1,32
"PelaSha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0,07;0,12;0;0,07;0,32;0,18;0,3;0;0,07;0,02;0,3;0,08;0,15;0,27;0;0,1;0,28;0,2;0,1;0,25;0;0;0;0;0;0,07;0,1;0,15;0,17;0;;3,35
"PhytoEater""""";0,07;0,12;0;0,07;0,3;0,18;0,33;0;0,07;0,02;0;0,08;0,15;0,25;0;0,1;0,28;0,18;0,1;0,23;0;0;0;0;0;0,07;0,1;0,15;0,15;0,3;;3,3
"Ray""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Scrus""""";0,07;0,12;0;0,07;0,27;0,17;0,25;0;0,07;0,02;0,25;0,08;0,15;0;0;0,1;0,25;0,2;0,1;0,23;0;0;0;0;0;0,07;0,1;0,15;0,17;0,27;;3,13
"Shri""""";0,07;0,12;0;0,07;0,15;0,13;0,15;0;0,07;0,02;0,15;0,08;0,13;0,15;0;0,1;0,15;0,15;0,08;0,15;0;0;0;0;0;0,07;0,1;0;0,13;0,15;;2,37
"Spar""""";0,07;0,07;0;0,07;0,07;0,07;0,07;0;0,07;0,02;0,07;0,07;0,07;0,07;0;0,07;0,07;0,07;0,03;0,07;0;0;0;0;0;0;0,07;0,07;0,07;0,07;;1,32
"Spela""""";0,07;0,12;0;0,07;0;0,18;0,3;0;0,07;0,02;0,3;0,08;0,15;0,27;0;0,1;0,28;0,2;0,1;0,25;0;0;0;0;0;0,07;0,1;0,15;0,17;0,32;;3,35
"Squid""""";0,07;0,12;0;0,07;0,18;0;0,18;0;0,07;0,02;0,18;0,08;0,12;0,17;0;0,1;0,17;0,13;0,07;0,18;0;0;0;0;0;0,07;0,1;0,13;0,12;0,18;;2,5
"Tuna""""";0,07;0;0;0,07;0,12;0,12;0,12;0;0,07;0,02;0,12;0,08;0,1;0,12;0;0,08;0,12;0,12;0,05;0,12;0;0;0;0;0;0,07;0,08;0,12;0,1;0,12;;1,95
"Turtle""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0,07;0,12;0;0,07;0,3;0,18;0;0;0,07;0,02;0,33;0,08;0,15;0,25;0;0,1;0,28;0,18;0,1;0,23;0;0;0;0;0;0,07;0,1;0,15;0,15;0,3;;3,3
