TI3;"TranOrc""""";"SealLion""""";"Dolph""""";"LingCod""""";"Ahake""""";"ARCoho""""";"ARChin""""";"DemFish""""";"Spela""""";"Eula""""";"Aherr""""";"PredInv""""";"GrazInv""""";"Jhake""""";"JRCoho""""";"JRChin""""";"ShellFish""""";"Hal""""";"CarnZoopl""""";"DogFish""""";"Jherr""""";"HerbZoopl""""";"Bird""""";"Jelly""""";"Phyto""""";"Grass""""";;SUM
"GrazInv""""";0;0,1;0,02;0,08;0,06;0,08;0,08;0,12;0,08;0,08;0,1;0,08;0;0;0,02;0,02;0,12;0;0,06;0,08;0,1;0,1;0,06;0,02;0,04;0;;1,44
"Hal""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"HerbZoopl""""";0;0,17;0;0,19;0,08;0,08;0,06;0,25;0,19;0,21;0,25;0,04;0,1;0,04;0,04;0;0,06;0;0,27;0,13;0,29;0;0,04;0,02;0,06;0;;2,56
"Jelly""""";0;0;0;0;0;0;0;0;0;0,02;0;0;0,02;0;0;0;0,02;0;0,02;0;0,02;0,02;0,02;0;0;0;;0,13
"Jhake""""";0;0,04;0;0,04;0,02;0,02;0;0,06;0,04;0,06;0,06;0;0;0;0,04;0,02;0;0;0,06;0,02;0,04;0,04;0;0;0;0;;0,54
"Jherr""""";0;0,17;0;0,17;0,08;0,08;0,06;0,25;0,17;0,19;0,23;0,04;0,1;0,04;0,04;0;0,06;0;0,25;0,13;0;0,29;0,04;0,02;0,06;0;;2,46
"JRChin""""";0;0;0,02;0,04;0,02;0,02;0;0,04;0;0,02;0,02;0;0,02;0,02;0,04;0;0,02;0;0,02;0,02;0;0;0;0;0;0;;0,31
"JRCoho""""";0;0,04;0,02;0,06;0,02;0,02;0;0,08;0,04;0,06;0,06;0;0,02;0,04;0;0,04;0,02;0;0,06;0,04;0,04;0,04;0;0;0;0;;0,67
"LingCod""""";0;0,12;0,02;0;0,12;0,1;0,08;0,25;0,19;0,19;0,25;0,02;0,08;0,04;0,06;0,04;0,02;0;0,21;0,1;0,17;0,19;0;0;0;0;;2,23
"Phyto""""";0;0,02;0;0;0;0;0;0,06;0,02;0,04;0,02;0,02;0,04;0;0;0;0,04;0;0,02;0,02;0,06;0,06;0,02;0;0;0;;0,42
"PredInv""""";0;0,06;0;0,02;0,04;0,04;0,04;0,06;0,04;0,02;0,04;0;0,08;0;0;0;0,04;0;0,02;0,04;0,04;0,04;0,04;0;0,02;0;;0,65
"SealLion""""";0;0;0;0,12;0,1;0,08;0,08;0,17;0,13;0,1;0,17;0,06;0,1;0,04;0,04;0;0,04;0;0,15;0,13;0,17;0,17;0,04;0;0,02;0;;1,9
"ShellFish""""";0;0,04;0,02;0,02;0,02;0;0;0,08;0,04;0,04;0,02;0,04;0,12;0;0,02;0,02;0;0;0,02;0,04;0,06;0,06;0,06;0,02;0,04;0;;0,75
"Spela""""";0;0,13;0;0,19;0,1;0,06;0,06;0,27;0;0,23;0,25;0,04;0,08;0,04;0,04;0;0,04;0;0,19;0,08;0,17;0,19;0,02;0;0,02;0;;2,19
"TranOrc""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
