"TI3";""Rast"";""Scomber"";""Caran"";""Lpisc"";""Cepha"";""Tuna"";""Mamm"";""Zoopl"";""Jpela"";""Phyto"";""Spela"";""Sha"";""Shri"";""TraFish"";""Sdem"";""Lutja"";""PonyFish"";""Benth"";""Pomf"";""Nemi"";""FalTrev"";""SergShri"";""Jcaranx"";""Scian"";""Saur"";""Plecto"";""Silla"";""DemPisc"";""DemBenth"";""Jsaur"";""Jnemi"";""Ari"";""Pria"";""ShellFish"";""Ray"";""Cucu"";""CrabLobs"";""Jelly"";;SUM
""Scomber"";"157945,94";"5,58";"378,16";"13,58";"1871,57";"12,10";"6271,35";"654581794,69";"4448,22";"10511471,76";"379173,06";"21,84";"2140,26";"800317,81";"4599,30";"27,86";"1950,32";"43353225,91";"68,29";"1438,27";"38,84";"3906,18";"1894,71";"253,77";"460,96";"175,59";"1366,74";"107,64";"3895,26";"1637,73";"1973,30";"1128,80";"2054,37";"2462165,52";"1033,23";"0,04";"324303,03";"865980,85";;"713479552,43"
""Caran"";"15106224,58";"588,24";"37116,92";"1484,80";"189740,21";"1431,42";"632189,60";"62484160972,14";"469406,08";"1091726297,21";"36260797,41";"2034,90";"205653,34";"76404052,47";"441630,43";"2694,34";"189756,23";"4140729558,42";"6745,60";"138448,76";"3821,81";"375853,05";"199770,65";"23692,34";"44645,38";"16531,63";"128669,20";"10483,53";"368280,27";"172713,36";"208111,89";"106163,24";"201306,21";"235058569,12";"97316,02";"8,25";"30557002,33";"91351035,43";;"68205630796,83"
""Lpisc"";"44894,69";"25,64";"1802,97";"28,55";"15019,57";"15,82";"9281,45";"13198687,24";"36067,29";"75109707,92";"116086,37";"26,31";"4157,29";"47044,96";"13707,81";"50,54";"5516,30";"1509848,59";"187,05";"3064,12";"210,22";"7564,39";"15509,74";"244,84";"575,23";"119,04";"938,21";"192,66";"2759,34";"13453,76";"16219,87";"796,58";"5797,06";"67428,11";"697,01";"0,00";"215509,17";"7138339,41";;"97601575,12"
""Cepha"";"200029529,72";"3535,19";"230398,83";"15019,57";"156435,57";"14001,49";"7028323,78";"855546663938,98";"299380,12";"2306285916,98";"478953418,44";"25852,69";"2240111,95";"1041566363,80";"4054298,68";"31586,36";"1766070,50";"56565344079,84";"63498,60";"1460993,14";"18126,32";"4109307,57";"107519,00";"307223,60";"556277,00";"218651,55";"1700783,14";"124968,11";"4838894,83";"83499,39";"98745,26";"1402115,67";"1875563,04";"3215328710,05";"1287096,42";"1,81";"404268742,64";"39344190,02";;"919831903169,63"
""Tuna"";"45966,78";"25,55";"1942,64";"17,68";"15648,72";"12,26";"13692,70";"8072760,81";"38172,12";"81039900,47";"119334,78";"40,90";"6111,48";"49431,00";"17519,53";"49,57";"7172,26";"1193227,86";"235,20";"4390,99";"208,49";"11052,70";"16386,80";"441,56";"785,04";"301,00";"2347,93";"193,43";"6691,00";"14227,64";"17155,83";"1939,11";"7348,66";"48387,83";"1771,12";"0,00";"554676,88";"7556625,48";;"98866193,82"
""Mamm"";"52017388,54";"5574,53";"361251,20";"4367,74";"3307446,49";"5765,35";"2659038,94";"183398530241,39";"8405079,00";"17637063043,37";"126059146,95";"5962,42";"1110877,11";"228780497,45";"3264159,28";"9712,37";"1389279,16";"12316390777,92";"46790,70";"809649,02";"45633,08";"2012217,06";"3606325,55";"67364,21";"142999,59";"42835,06";"333464,30";"39305,30";"998740,14";"3131453,45";"3776011,77";"276122,17";"1459920,33";"693649619,88";"252189,39";"162,32";"78997777,26";"1663376310,37";;"216232434500,15"
""Zoopl"";"3231393125491,19";"1672820141,97";"102652550168,52";"17857047,44";"1157504310035,09";"9772289,40";"527270774443,99";"7147797550738,25";"3028708656014,16";"6262828851886460,00";"8195205708421,13";"358583648,66";"273006522219,84";"2100765426395,85";"924367114563,58";"367654883,32";"402052600331,15";"54113375204691,80";"12826793187,14";"210453572208,17";"15026529856,71";"491111135371,80";"1300563974231,22";"4209002999,77";"7014785712,77";"3153527658,30";"24491057521,09";"1493550340,88";"69771073738,22";"1130108990845,70";"1362888912766,54";"20213975815,13";"405550844250,55";"1545326784235,79";"18533779587,71";"22331,33";"5824543205737,87";"600722379150568,00";;"6957205038786950,00"
""Jpela"";"184625362,15";"2965,48";"201174,03";"12729,63";"105663,57";"12054,35";"6303809,25";"790097910264,56";"175052,61";"1915870895,69";"442051501,93";"23432,60";"2035042,15";"961722673,31";"3673346,08";"28060,71";"1598375,54";"52236605161,92";"57121,58";"1327752,32";"15721,53";"3723017,71";"55163,97";"279677,23";"497705,91";"199584,16";"1552349,01";"111067,03";"4416097,81";"40411,37";"47266,71";"1279772,96";"1694350,42";"2969320072,29";"1174836,26";"0,00";"369004481,29";"17691196,36";;"849225445211,52"
""Phyto"";"383424610578,29";"7007647,84";"467882698,80";"26509308,68";"813983264,82";"25591547,52";"13227797282,52";"1633781439622560,00";"1915870895,69";"7148014301067,14";"918274847985,83";"48426819,27";"4315533469,53";"1989618047511,76";"8007609483,45";"58558678,62";"3484828029,17";"108055260724090,00";"124118006,95";"2831439113,60";"39911343,57";"7891601913,23";"781547528,07";"577284350,69";"1033472948,37";"410951232,68";"3196370268,55";"232496303,93";"9105963977,45";"663702807,67";"797400020,29";"2635197146,25";"3695190477,91";"6140860916722,47";"2419072144,88";"44637,68";"759755800631,64";"345025064820,94";;"1759590509299310,00"
""Spela"";"1455616512,73";"379173,06";"23310512,62";"61457,49";"253563574,47";"56527,00";"141816540,32";"3206819625034,36";"663077252,90";"1377412271978,74";"3585398787,87";"174518,71";"68014811,05";"4361104919,12";"217136064,13";"197725,33";"94452228,09";"223744803390,24";"3041339,78";"51445021,18";"3354393,58";"122623251,25";"284643310,45";"2065854,38";"3594630,69";"1504648,70";"11695017,19";"789021,03";"33290387,14";"247304772,02";"298238277,78";"9646220,81";"95648790,19";"12383798273,75";"8850642,80";"0,00";"2780630451,33";"131441305190,71";;"4966624530502,98"
