TI3;"Tuna""""";"BlueWhit""""";"HorMack""""";"Mack""""";"Anch""""";"Sard""""";"Squid""""";"Shri""""";"MacroZoopl""""";"Lhake""""";"Shake""""";"LdemFish""""";"BenthFish""""";"SdemFish""""";"BenthCeph""""";"BenthInv""""";"SupBenthZoopl""""";"AngFish""""";"Magr""""";"DogFish""""";"Polyhae""""";"Oinv""""";"Ray""""";"MesoZoopl""""";"MicroZoopl""""";"Phyto""""";;SUM;;
"Tuna""""";0,03;0,04;0,04;0,06;0,05;0,05;0,04;0,03;0,06;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,02;0,01;0,01;0,01;0,03;0,03;0,03;;0,65;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Tuna""""";"BlueWhit""""";"HorMack""""";"Mack""""";"Anch""""";"Sard""""";"Squid""""";"Shri""""";"MacroZoopl""""";"Lhake""""";"Shake""""";"LdemFish""""";"BenthFish""""";"SdemFish""""";"BenthCeph""""";"BenthInv""""";"SupBenthZoopl""""";"AngFish""""";"Magr""""";"DogFish""""";"Polyhae""""";"Oinv""""";"Ray""""";"MesoZoopl""""";"MicroZoopl""""";"Phyto""""";;SUM;;
"Anch""""";367792678,1;33136386957;29296445768;48705818707;85817593748;2,42637E+11;487849966,4;2035761772;2,812E+11;113966554,6;64971379,12;127750042,6;239439310,5;27878552066;409615122,1;632824318,9;2,15549E+11;61728526,94;23658909,26;97259797,25;3838029769;826239059,3;13551899,62;4,63737E+12;4,82336E+12;6,40173E+12;;16836018790033,40;thresold;8345618542,20
"AngFish""""";2681428,52;192961766,4;102747430;141071661,7;44893474,14;81028850,75;4725209,56;39699267,93;553169353,1;1194159,59;1083606,79;1491444,93;6273702,74;158326558,6;10282325,64;16821665,46;308799015,2;954263,45;712460,83;1361622,15;97825807,42;21391369,53;875597,95;737879778;451282029,1;5071037416;;8050571265,11;;8345618542
"BenthCeph""""";26047491,79;893658189;614561314,3;995509688,4;446852860,5;927255724,4;34279269,8;602568386,7;3745553511;24082522,74;7176335,26;23425260,7;70492775,13;833015609,4;74063845,79;330848733,3;3751348297;15423488,46;6116594,63;16869303,2;503263871,2;135880628,6;9168517,01;3465758928;4045977034;57719633811;;79318831990,56;;
"BenthFish""""";17428689,52;747582298,9;481506636;722572924,7;304740940,6;625295344,1;29153751,04;472655852,8;2715033095;16112763,37;6716654,33;22479575,26;70304841;708905266,1;82241570,98;279516008,3;2621789507;10978979,79;7064797,49;16357974,3;669141993,1;175234841,1;12725794,93;2787890926;2808530864;38930109294;;55342071183,93;;
"BenthInv""""";47099352,71;3011298944;1665859062;2291478763;805412769,5;1564598904;99562210,87;1000940093;8539677268;41720698,68;27630563,34;90618271,68;279516008,3;2912109738;385990188,9;550502785,7;6639303736;29437914,56;34543940,13;72045327,27;3904820050;1057506526;73604859,13;10776973300;7742204856;96947366231;;150591822362,49;;
"BlueWhit""""";1033324961;27240269235;18742674631;35013429669;48198381029;1,44733E+11;964819362,5;7729803501;1,31945E+11;645245182;169320977,1;446163704,4;854379770,1;22443887266;1191544252;3441484507;1,24805E+11;385923532,7;97030147,34;328099187,4;7968795702;1971005442;68546039,67;3,48614E+12;3,59939E+12;2,33512E+12;;10001064961711,20;;
