"TI3";""Cepha"";""Pisc"";""Mcarni"";""InvFeedOne"";""InvFeedThree"";""SuspFeed"";""Deca"";""Gastro"";""Bird"";""InvFeedTwo"";""Dpunt"";""HerbFish"";""PlFish"";""Mugil"";""Blen"";""Polych"";""Crus"";""Amph"";""MacroAlga"";""Echino"";""InvFeedFour"";""Zoopl"";""Macropl"";""Phyto"";""PelBaci"";""Proto"";;SUM
""Mcarni"";"620551492,49";"24738006,78";"42880444,38";"1306967205,67";"675259584,34";"3008834101,83";"7686609941,62";"8708441222,50";"2028345,73";"164202437,55";"86838156,92";"1441622874,18";"515242949,01";"7124254,58";"235283077,23";"10658163898,77";"7986618248,09";"6410854600,87";"29193324634,11";"4101008803,43";"15360944,15";"2263126468,19";"605711559,05";"14862146695,25";"3022629991,64";"7123469136,19";;"110769039074,57"
""InvFeedOne"";"23747907501,25";"892863153,26";"1524795073,28";"27531432533,79";"18188474950,67";"157568065619,60";"101109643968,46";"357861146128,10";"47000124,06";"6039370551,54";"3488059051,39";"60731011692,96";"6765610628,25";"486137787,74";"5480216982,84";"368765240170,39";"344414308211,17";"265847871087,99";"455277798611,81";"172454494218,35";"187346658,93";"247177584628,66";"12934290337,63";"294294735417,40";"100047752379,13";"401861810441,10";;"3434724967909,73"
""InvFeedThree"";"13906081428,58";"242923988,32";"731531216,37";"16889298168,48";"7810571620,45";"55367029252,56";"36688917597,36";"252173768327,43";"19877277,67";"3608070151,03";"2326061690,66";"43225651595,69";"1089992921,70";"148780331,27";"3062758707,99";"170449536045,23";"239121003186,47";"185656724871,33";"145210163946,06";"119456978384,40";"47863275,07";"74329475282,99";"4496435052,78";"120165640431,21";"76201199603,45";"85107376839,93";;"1657533711194,47"
""SuspFeed"";"240922422535,84";"2687394993,51";"4262514977,59";"191332651109,51";"72403038253,35";"1092084315361,67";"470097069758,67";"2234024665141,89";"186677127,06";"53454048661,24";"30279890656,26";"326561081071,24";"176174074268,67";"4236274378,50";"28440704167,17";"2358341713679,64";"1970915225150,70";"1520561430576,10";"1256377223513,55";"933971673718,03";"728251195,65";"2391434847304,36";"247346891795,15";"6976689008713,36";"2808743357280,41";"4352956428312,61";;"29745212873701,70"
""Deca"";"53058502068,48";"3199850368,55";"12811016569,37";"144442348526,37";"56444488611,33";"553055376186,68";"287966704486,43";"2015767343667,53";"113415593,80";"17421164705,68";"13298229841,07";"363682219061,91";"9650382278,61";"1692207718,76";"25905584225,67";"1338064467619,01";"2096807524400,41";"1682684536140,03";"1253569584820,77";"1002322337441,70";"485549621,72";"1036434518993,94";"47216141856,14";"931948423983,97";"762691143663,12";"680636045014,65";;"14391369107465,70"
""Gastro"";"116402780171,25";"3932394495,86";"10885551528,12";"383422656565,82";"290969732685,50";"1971198233948,72";"1511825507750,65";"919621032632,65";"336648440,00";"36194864988,47";"7556954385,33";"87090538551,37";"30165690237,66";"1688977680,02";"55948068662,48";"2145872083477,87";"805860796171,75";"750503606900,75";"10140065657173,60";"443445900981,85";"3811368625,94";"1524263917819,55";"36713528356,12";"2181092258307,08";"1398081992918,92";"1437746089337,85";;"26294696832795,20"
""Bird"";"14783593,00";"364662,08";"1352230,49";"26857213,75";"12232170,87";"87848059,79";"45366237,52";"179545834,67";"15473,69";"3235902,18";"1777521,04";"25312916,25";"6364089,84";"103605,91";"2740642,79";"126999959,08";"163487874,06";"144564150,08";"255759777,66";"77883281,39";"67580,06";"46929124,52";"11313635,23";"277665643,74";"114874502,12";"89062483,26";;"1716508165,07"
""InvFeedTwo"";"1141819130,34";"64626112,70";"136835364,62";"4313836108,24";"2775438577,72";"31443558036,02";"8710582352,84";"24129909992,32";"4044877,73";"289244298,91";"151116217,00";"3607821132,26";"340984367,18";"61494322,07";"493330357,97";"31996652691,50";"25351626596,04";"20260587566,77";"65769913209,64";"12093965916,15";"15468894,64";"46634376927,85";"622923216,66";"34266072132,68";"29301241581,05";"42392898728,47";;"386370368709,36"
""Dpunt"";"502807007,82";"24816536,23";"57892104,61";"1993176600,79";"1431422578,87";"14249360308,83";"5319291936,43";"4030375672,18";"1777521,04";"120892973,60";"23882896,89";"252831923,82";"152748162,87";"21955818,82";"213338478,71";"11679752669,87";"4175272191,80";"3778382428,81";"41257362020,76";"1931612671,56";"12244386,22";"18539348264,73";"213692736,51";"14875088180,28";"12376565005,36";"16381881213,04";;"153617772290,47"
""HerbFish"";"8728064929,90";"268875101,36";"1081217155,64";"39041364659,76";"29925451104,71";"172885278214,19";"163656998577,86";"52254323130,82";"28477030,78";"3247039019,03";"284435914,30";"1739920337,67";"1909289084,81";"26546308,14";"5811604424,90";"171147065139,32";"40126003563,92";"47620357533,60";"1118118498892,74";"25857413441,80";"432557633,57";"68890132210,70";"1662223935,98";"168963281672,51";"115732844553,46";"30330814634,97";;"2269770078206,44"
""PlFish"";"1496978976,49";"94787994,95";"343495299,34";"3866063216,14";"670764874,89";"82905446714,67";"3860152911,44";"16088368126,75";"6364089,84";"272787493,75";"152748162,87";"1697145853,16";"351535564,04";"362468447,82";"285430434,67";"70280153820,24";"28712835617,50";"15512340501,77";"22053069956,85";"5771464269,85";"7337348,72";"295142184272,55";"1316152154,90";"105771354534,30";"138408448199,92";"157671470819,82";;"953101349657,26"
""Mugil"";"152209774,94";"795215,70";"2968439,41";"173620638,48";"57223204,33";"1245963052,50";"423051929,69";"562992560,01";"64753,69";"30747161,04";"13722386,76";"14747948,96";"226542779,89";"4782084,80";"15849771,28";"1392540520,87";"445796792,58";"388081329,37";"1703714846,82";"111852400,73";"972807,09";"3128127025,95";"290029786,59";"8536367529,42";"3548241754,07";"4118090505,17";;"26589097000,14"
