TI3;"BalWhale""""";"SPelaInvFeed""""";"ScadMack""""";"Sard""""";"SMBathyInvFeed""""";"MBathyPelaInvFeed""""";"SBathyPelaPred""""";"MesoPela""""";"Cepha""""";"CarnZoopl""""";"ToothWhaleDolph""""";"LDeepShaRay""""";"LCoastShaRay""""";"BonShad""""";"MullOHerb""""";"MDemInvFeed""""";"SDemPred""""";"SDemInvFeed""""";"Benth""""";"Turtle""""";"LDemPred""""";"ProdPrim""""";"Bird""""";"LPelaPred""""";"CatFish""""";"Crus""""";"SPelaPred""""";"MDeepShaRay""""";"MCoastShaRay""""";"LTuna""""";"GAfriThre""""";"MDemPred""""";"LessAfriThre""""";"LBathyPred""""";"LBathyPelaPred""""";"Jack""""";"SpaFish""""";"HerbZoopl""""";"STuna""""";"Croak""""";"RoyThre""""";"Group""""";"LDemInvFeed""""";;SUM;
"CarnZoopl""""";0,06;0,24;0,23;0,23;0,1;0,09;0,06;0,35;0,12;0;0,06;0,02;0,01;0,24;0,13;0,12;0,08;0,14;0,38;0,13;0,06;0,42;0,06;0,06;0,03;0,31;0,15;0,01;0,06;0,02;0,01;0,07;0,02;0,02;0,08;0,02;0,07;0,42;0,02;0,01;0,06;0;0,02;;4,83;0,0471
"CatFish""""";0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,01;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0;0,03;0,03;0,01;0,03;0,02;0,01;0,03;0,02;0,02;0,03;0,02;0,03;0,03;0,02;0,01;0,03;0;0,02;;1,26;0,0123
"Cepha""""";0,06;0,12;0,12;0,12;0,1;0,09;0,06;0,12;0;0,12;0,06;0,02;0,01;0,12;0,12;0,12;0,08;0,12;0,12;0,12;0,06;0,12;0,06;0,06;0,03;0,12;0,12;0,01;0,06;0,02;0,01;0,07;0,02;0,02;0,08;0,02;0,07;0,12;0,02;0,01;0,06;0;0,02;;2,95;0,0288
"Croak""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0;0,01;;0,48;0,0047
"Crus""""";0,06;0,23;0,23;0,23;0,1;0,09;0,06;0,3;0,12;0,31;0,06;0,02;0,01;0,23;0,13;0,12;0,08;0,14;0,3;0,13;0,06;0,31;0,06;0,06;0,03;0;0,15;0,01;0,06;0,02;0,01;0,07;0,02;0,02;0,08;0,02;0,07;0,31;0,02;0,01;0,06;0;0,02;;4,47;0,0436
"GAfriThre""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;;0,48;0,0047
"Group""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0000
"HerbZoopl""""";0,06;0,24;0,23;0,23;0,1;0,09;0,06;0,35;0,12;0,42;0,06;0,02;0,01;0,24;0,13;0,12;0,08;0,14;0,38;0,13;0,06;0,48;0,06;0,06;0,03;0,31;0,15;0,01;0,06;0,02;0,01;0,07;0,02;0,02;0,08;0,02;0,07;0;0,02;0,01;0,06;0;0,02;;4,88;0,0476
"Jack""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0;0,02;0,02;0,02;0,01;0,02;0;0,02;;0,91;0,0089
"LBathyPelaPred""""";0,06;0,08;0,08;0,08;0,08;0,08;0,06;0,08;0,08;0,08;0,06;0,02;0,01;0,08;0,08;0,08;0,07;0,08;0,08;0,08;0,06;0,08;0,06;0,06;0,03;0,08;0,08;0,01;0,06;0,02;0,01;0,06;0,02;0,02;0;0,02;0,07;0,08;0,02;0,01;0,05;0;0,02;;2,36;0,0230
"LBathyPred""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,01;0,02;0,02;0;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0;0,02;;0,91;0,0089
"LCoastShaRay""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;;0,48;0,0047
"LDeepShaRay""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0;0,02;;0,91;0,0089
"LDemInvFeed""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0;0;;0,91;0,0089
"LDemPred""""";0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,02;0,01;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0;0,06;0,06;0,05;0,03;0,06;0,06;0,01;0,06;0,02;0,01;0,06;0,02;0,02;0,06;0,02;0,06;0,06;0,02;0,01;0,05;0;0,02;;1,91;0,0186
"LessAfriThre""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,01;0,02;0;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0;0,02;;0,91;0,0089
"LPelaPred""""";0,05;0,06;0,06;0,06;0,06;0,06;0,05;0,06;0,06;0,06;0,05;0,02;0,01;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,05;0,06;0,05;0;0,03;0,06;0,06;0,01;0,05;0,02;0,01;0,05;0,02;0,02;0,06;0,02;0,06;0,06;0,02;0,01;0,03;0;0,02;;1,83;0,0179
"LTuna""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0;0,02;;0,91;0,0089
"MBathyPelaInvFeed""""";0,06;0,09;0,09;0,09;0,09;0;0,06;0,09;0,09;0,09;0,06;0,02;0,01;0,09;0,09;0,09;0,07;0,09;0,09;0,09;0,06;0,09;0,06;0,06;0,03;0,09;0,09;0,01;0,06;0,02;0,01;0,06;0,02;0,02;0,08;0,02;0,07;0,09;0,02;0,01;0,05;0;0,02;;2,56;0,0250
"MCoastShaRay""""";0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,02;0,01;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,05;0,03;0,06;0,06;0,01;0;0,02;0,01;0,06;0,02;0,02;0,06;0,02;0,06;0,06;0,02;0,01;0,05;0;0,02;;1,91;0,0186
"MDeepShaRay""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;;0,48;0,0047
"MDemInvFeed""""";0,06;0,12;0,12;0,12;0,1;0,09;0,06;0,12;0,12;0,12;0,06;0,02;0,01;0,12;0,12;0;0,08;0,12;0,12;0,12;0,06;0,12;0,06;0,06;0,03;0,12;0,12;0,01;0,06;0,02;0,01;0,07;0,02;0,02;0,08;0,02;0,07;0,12;0,02;0,01;0,06;0;0,02;;2,95;0,0288
"MDemPred""""";0,06;0,07;0,07;0,07;0,07;0,06;0,06;0,07;0,07;0,07;0,06;0,02;0,01;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,06;0,07;0,06;0,05;0,03;0,07;0,07;0,01;0,06;0,02;0,01;0;0,02;0,02;0,06;0,02;0,06;0,07;0,02;0,01;0,06;0;0,02;;2,13;0,0208
"MesoPela""""";0,06;0,23;0,23;0,23;0,1;0,09;0,06;0;0,12;0,35;0,06;0,02;0,01;0,23;0,13;0,12;0,08;0,14;0,35;0,13;0,06;0,35;0,06;0,06;0,03;0,3;0,15;0,01;0,06;0,02;0,01;0,07;0,02;0,02;0,08;0,02;0,07;0,35;0,02;0,01;0,06;0;0,02;;4,62;0,0451
"MullOHerb""""";0,06;0,13;0,13;0,13;0,1;0,09;0,06;0,13;0,12;0,13;0,06;0,02;0,01;0,13;0;0,12;0,08;0,13;0,13;0,13;0,06;0,13;0,06;0,06;0,03;0,13;0,12;0,01;0,06;0,02;0,01;0,07;0,02;0,02;0,08;0,02;0,07;0,13;0,02;0,01;0,06;0;0,02;;3,09;0,0302
"ProdPrim""""";0,06;0,24;0,23;0,23;0,1;0,09;0,06;0,35;0,12;0,42;0,06;0,02;0,01;0,24;0,13;0,12;0,08;0,14;0,38;0,13;0,06;0;0,06;0,06;0,03;0,31;0,15;0,01;0,06;0,02;0,01;0,07;0,02;0,02;0,08;0,02;0,07;0,48;0,02;0,01;0,06;0;0,02;;4,88;0,0476
"RoyThre""""";0,05;0,06;0,06;0,06;0,06;0,05;0,05;0,06;0,06;0,06;0,05;0,02;0,01;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,05;0,06;0,05;0,03;0,03;0,06;0,06;0,01;0,05;0,02;0,01;0,06;0,02;0,02;0,05;0,02;0,05;0,06;0,02;0,01;0;0;0,02;;1,8;0,0176
"Sard""""";0,06;0,23;0,23;0;0,1;0,09;0,06;0,23;0,12;0,23;0,06;0,02;0,01;0,23;0,13;0,12;0,08;0,14;0,23;0,13;0,06;0,23;0,06;0,06;0,03;0,23;0,15;0,01;0,06;0,02;0,01;0,07;0,02;0,02;0,08;0,02;0,07;0,23;0,02;0,01;0,06;0;0,02;;4,08;0,0398
"SBathyPelaPred""""";0,06;0,06;0,06;0,06;0,06;0,06;0;0,06;0,06;0,06;0,06;0,02;0,01;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,05;0,03;0,06;0,06;0,01;0,06;0,02;0,01;0,06;0,02;0,02;0,06;0,02;0,06;0,06;0,02;0,01;0,05;0;0,02;;1,91;0,0186
"ScadMack""""";0,06;0,23;0;0,23;0,1;0,09;0,06;0,23;0,12;0,23;0,06;0,02;0,01;0,23;0,13;0,12;0,08;0,14;0,23;0,13;0,06;0,23;0,06;0,06;0,03;0,23;0,15;0,01;0,06;0,02;0,01;0,07;0,02;0,02;0,08;0,02;0,07;0,23;0,02;0,01;0,06;0;0,02;;4,08;0,0398
"SDemInvFeed""""";0,06;0,14;0,14;0,14;0,1;0,09;0,06;0,14;0,12;0,14;0,06;0,02;0,01;0,14;0,13;0,12;0,08;0;0,14;0,13;0,06;0,14;0,06;0,06;0,03;0,14;0,13;0,01;0,06;0,02;0,01;0,07;0,02;0,02;0,08;0,02;0,07;0,14;0,02;0,01;0,06;0;0,02;;3,22;0,0314
"SDemPred""""";0,06;0,08;0,08;0,08;0,08;0,07;0,06;0,08;0,08;0,08;0,06;0,02;0,01;0,08;0,08;0,08;0;0,08;0,08;0,08;0,06;0,08;0,06;0,06;0,03;0,08;0,08;0,01;0,06;0,02;0,01;0,07;0,02;0,02;0,07;0,02;0,07;0,08;0,02;0,01;0,06;0;0,02;;2,37;0,0231
"SMBathyInvFeed""""";0,06;0,1;0,1;0,1;0;0,09;0,06;0,1;0,1;0,1;0,06;0,02;0,01;0,1;0,1;0,1;0,08;0,1;0,1;0,1;0,06;0,1;0,06;0,06;0,03;0,1;0,1;0,01;0,06;0,02;0,01;0,07;0,02;0,02;0,08;0,02;0,07;0,1;0,02;0,01;0,06;0;0,02;;2,78;0,0271
"SpaFish""""";0,06;0,07;0,07;0,07;0,07;0,07;0,06;0,07;0,07;0,07;0,06;0,02;0,01;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,06;0,07;0,06;0,06;0,03;0,07;0,07;0,01;0,06;0,02;0,01;0,06;0,02;0,02;0,07;0,02;0;0,07;0,02;0,01;0,05;0;0,02;;2,15;0,0210
"SPelaInvFeed""""";0,06;0;0,23;0,23;0,1;0,09;0,06;0,23;0,12;0,24;0,06;0,02;0,01;0,24;0,13;0,12;0,08;0,14;0,24;0,13;0,06;0,24;0,06;0,06;0,03;0,23;0,15;0,01;0,06;0,02;0,01;0,07;0,02;0,02;0,08;0,02;0,07;0,24;0,02;0,01;0,06;0;0,02;;4,14;0,0404
"SPelaPred""""";0,06;0,15;0,15;0,15;0,1;0,09;0,06;0,15;0,12;0,15;0,06;0,02;0,01;0,15;0,12;0,12;0,08;0,13;0,15;0,12;0,06;0,15;0,06;0,06;0,03;0,15;0;0,01;0,06;0,02;0,01;0,07;0,02;0,02;0,08;0,02;0,07;0,15;0,02;0,01;0,06;0;0,02;;3,31;0,0323
"STuna""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0;0,01;0,02;0;0,02;;0,91;0,0089
"ToothWhaleDolph""""";0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0;0,02;0,01;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,05;0,03;0,06;0,06;0,01;0,06;0,02;0,01;0,06;0,02;0,02;0,06;0,02;0,06;0,06;0,02;0,01;0,05;0;0,02;;1,91;0,0186
"Turtle""""";0,06;0,13;0,13;0,13;0,1;0,09;0,06;0,13;0,12;0,13;0,06;0,02;0,01;0,13;0,13;0,12;0,08;0,13;0,13;0;0,06;0,13;0,06;0,06;0,03;0,13;0,12;0,01;0,06;0,02;0,01;0,07;0,02;0,02;0,08;0,02;0,07;0,13;0,02;0,01;0,06;0;0,02;;3,09;0,0302
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102,46;1,0000
