TI3;"BalWhale""""";"SPelaInvFeed""""";"ScadMack""""";"Sard""""";"SMBathyInvFeed""""";"MBathyPelaInvFeed""""";"SBathyPelaPred""""";"MesoPela""""";"Cepha""""";"CarnZoopl""""";"ToothWhaleDolph""""";"LDeepShaRay""""";"LCoastShaRay""""";"BonShad""""";"MullOHerb""""";"MDemInvFeed""""";"SDemPred""""";"SDemInvFeed""""";"Benth""""";"Turtle""""";"LDemPred""""";"ProdPrim""""";"Bird""""";"LPelaPred""""";"CatFish""""";"Crus""""";"SPelaPred""""";"MDeepShaRay""""";"MCoastShaRay""""";"LTuna""""";"GAfriThre""""";"MDemPred""""";"LessAfriThre""""";"LBathyPred""""";"LBathyPelaPred""""";"Jack""""";"SpaFish""""";"HerbZoopl""""";"STuna""""";"Croak""""";"RoyThre""""";"Group""""";"LDemInvFeed""""";;SUM;
"CatFish""""";0;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,03;0,04;0,03;0,02;0,01;0,01;0,01;0,04;0,01;0,03;0,02;0,01;0;0,03;0,01;0,02;0,02;0,05;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,05;0,02;0,01;;0,69;
"Crus""""";0,03;0,05;0,03;0,05;0,07;0,03;0,07;0,06;0,05;0,05;0,03;0,06;0,05;0,04;0,03;0,05;0,06;0,05;0,05;0,03;0,05;0,03;0,06;0,05;0,07;0,05;0,06;0,06;0,06;0,03;0,07;0,06;0,08;0,06;0,07;0,06;0,08;0,05;0,05;0,08;0,08;0,37;0,15;;2,71;
"SPelaPred""""";0,01;0,03;0,04;0,03;0,02;0,01;0,01;0,01;0,03;0,01;0,02;0,04;0,01;0,04;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,02;0,04;0,01;0,02;0,03;0,04;0,01;0,01;0,05;0,01;0,01;0,01;0,01;0,02;0,01;0,03;0,04;0,01;0,02;0,02;0,01;;0,86;
"MDeepShaRay""""";0,03;0,03;0,03;0,03;0,05;0,08;0,06;0,04;0,03;0,03;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,04;0,03;0,02;0,02;0,01;0,01;0,01;0,05;0,06;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;;0,98;
"MCoastShaRay""""";0,01;0,03;0,01;0,03;0,01;0,02;0,02;0,04;0,03;0,03;0,02;0,02;0,03;0,01;0,01;0,03;0,04;0,03;0,03;0,01;0,01;0,02;0,02;0,02;0,05;0,03;0,01;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,05;0,05;0,06;0,02;0,02;0,02;0,02;0,02;0,02;;1,01;
"LTuna""""";0,02;0,03;0,03;0,01;0,01;0,01;0,05;0,04;0,03;0,03;0,02;0,02;0,04;0,01;0,01;0,03;0,01;0,03;0,02;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,04;0,01;0,02;0,02;0,02;0,01;0,03;0,01;0,01;0,01;0,01;0,01;;0,83;
"GAfriThre""""";0;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0,03;0,04;0,04;0,01;0,04;0,03;0,01;0,01;0,03;0,02;0,01;0,01;0,02;0,02;0,04;0,01;0,01;0,01;0,03;0,01;0,02;0,01;0,01;0,01;0,06;0,01;0,01;0,02;0,05;0,02;0,01;;0,73;
"MDemPred""""";0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0,04;0,01;0,01;0,03;0,04;0,03;0,02;0,02;0,03;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,02;0,04;0,02;0,03;0,06;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,05;0,02;0,01;;0,86;
"LessAfriThre""""";0;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0,03;0,04;0,01;0,01;0,02;0,03;0,02;0,01;0,03;0,01;0,01;0,01;0,05;0,02;0,01;0,01;0,01;0,01;0,01;0,04;0,03;0,01;0;0,01;0,01;0,01;0,01;0,05;0,02;0,02;0,01;;0,63;
"LBathyPred""""";0,02;0,02;0,01;0,03;0,05;0,02;0,05;0,04;0,02;0,03;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,04;0,01;0,02;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,02;;0,79;
