TI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"Epiph""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"BenthFeed""""";"Pisci""""";"CatFish""""";"Leer""""";"DuskyKob""""";"Bird""""";"Grunter""""";"SkipJack""""";;SUM;;
"FreeWat""""";2,62E+15;1,14E+17;8,69E+16;1,47E+16;1,17E+16;2,75E+12;4,90E+15;0;0;0;0;0;0;0;0;0;76024209110;6,49E+11;0;0;1,90E+12;6,13E+12;0;0;0;0;0;0;;2,34354E+17;;
"Graz""""";1,01E+13;14373195269;16551484327;39392306739;2,02E+11;57332824,28;1,83E+11;1,86E+18;1,73E+15;2,04E+13;8088764276;4,49E+13;72559732265;93198883443;1,25E+14;1,95E+11;0;8,77E+11;8,92E+15;1,50E+17;7,17E+15;1,91E+14;2,95E+13;5,18E+15;7,98E+15;4,62E+15;7,25E+13;1452750566;;2,04949E+18;;
"Grunter""""";65747164542;1,51E+16;1,38E+16;2,35E+15;7,50E+15;2,88E+11;8,80E+14;1,13E+14;1,07E+14;2,84E+15;1,09E+14;1,17E+15;5,14E+14;9,25E+14;1,00E+15;64251554;0;1109157402;1,90E+11;1,94E+15;3,53E+13;6,14E+13;2,54E+14;1,23E+14;2,08E+14;52262709564;21247665423;17204989935;;4,90347E+16;;
"Herb""""";8,21E+13;95250029587;1,63E+14;7,48E+13;1,68E+14;491193756,5;6,22E+11;7,88E+19;7,37E+16;1,05E+16;4,36E+14;5,88E+15;8,65E+13;4,89E+15;1,05E+16;8,28E+12;0;1,45E+12;3,77E+17;6,36E+18;3,03E+17;8,10E+15;1,04E+15;2,19E+17;3,38E+17;1,95E+17;2,34E+15;2,12E+13;;8,67253E+19;;
"Leer""""";2,31E+14;4,01E+13;3,59E+13;1,16E+13;1,30E+13;12433250907;4,79E+13;1,16E+15;1,89E+16;3,72E+17;1,55E+16;2,09E+17;3,01E+15;1,75E+17;1,88E+17;66573821,53;0;1,19E+13;3,25E+13;8,87E+13;1,68E+14;3,55E+11;6,31E+13;3,75E+12;5,27E+12;5,78E+13;2,45E+14;2,33E+11;;9,8388E+17;;
"MeioFau""""";6,08E+12;8624711151;3,66E+11;82073486987;4,21E+13;142102266,3;8,75E+12;5,67E+18;1,05E+16;1,03E+17;4,32E+15;5,87E+16;8,38E+14;4,86E+16;5,26E+16;5,93E+11;0;5,27E+11;2,72E+16;4,58E+17;2,19E+16;5,82E+14;1,22E+14;1,57E+16;2,42E+16;1,41E+16;1,78E+14;871730591,1;;6,50696E+18;;
"MicroZoopl""""";9,70E+17;2,93E+16;2,65E+16;7,91E+16;1,82E+15;5,36E+13;6,65E+16;0;6899768921;8,49E+11;28746390537;50577239057;809053777;0;54428588336;0;4,54E+17;1,03E+15;201474840,5;1,96E+12;7,45E+15;8,57E+13;2,69E+15;2,68E+13;6,03E+14;6,19E+15;2,01E+16;6,39E+14;;1,66638E+18;;
"Mysid""""";2,93E+17;1,58E+17;1,32E+17;4,40E+16;1,72E+16;2,15E+13;2,88E+16;3,80E+13;1,31E+11;6,15E+13;1,58E+11;3,25E+13;4,74E+13;3,42E+11;8,55E+13;1164272,78;1,17E+17;3,25E+14;1,02E+12;1,35E+13;2,35E+15;4,38E+13;8,44E+14;1,54E+13;2,95E+14;2,30E+15;6,27E+15;3,33E+14;;8,03673E+17;;
"Phyto""""";6,24E+16;1,46E+18;1,25E+18;2,20E+17;1,73E+17;3,65E+13;6,89E+16;0;7,30E+12;1,03E+15;3,04E+13;8,12E+13;5,60E+14;2,82E+11;7,04E+13;0;1,57E+16;1,68E+13;2,13E+11;2,20E+15;9,10E+13;2,55E+14;2,92E+14;2,31E+14;2,05E+15;6,33E+15;1,31E+11;2,29E+15;;3,26558E+18;;
"Pisci""""";3,83E+14;1,93E+14;1,79E+14;4,93E+13;2,90E+13;29127169303;4,27E+13;1,00E+15;1,05E+15;2,08E+16;8,60E+14;1,21E+16;1,68E+14;9,69E+15;1,04E+16;8013497,5;5,52E+13;9,12E+12;3,23E+13;7,26E+13;1,50E+14;1,74E+11;6,49E+13;5,32E+11;2,39E+12;4,67E+13;1,84E+14;8,86E+11;;5,76424E+16;;
"SedBaci""""";2,84E+11;402949680,9;7,00E+12;1,02E+12;8,20E+14;2117531246;1,90E+13;1,00E+17;4,35E+16;8,58E+17;3,57E+16;4,92E+17;6,94E+15;4,02E+17;4,31E+17;486659152,1;0;24600066081;9,90E+14;1,71E+16;1,83E+15;2,87E+13;8,91E+14;4,34E+13;1,10E+14;2,66E+14;5,07E+11;40727574,22;;2,39157E+18;;
"SkipJack""""";3,82E+14;1,60E+14;1,36E+14;4,16E+13;2,21E+13;47672812911;6,15E+13;0;174346118,2;1,75E+12;726375283,1;5,11E+11;1,69E+12;12125535648;3,03E+12;0;0;32271290062;5090946,78;61756440319;7,89E+11;98464635397;86955914456;38874352827;6856794859;89418421,17;5734996645;32396020,83;;8,11696E+14;;
"Sol""""";1,41E+11;0;2,79E+11;1,28E+11;2,38E+11;648625,36;312809462,5;3,15E+19;2,92E+16;6,09E+12;1,40E+11;7,89E+12;28374426476;1,54E+12;2,10E+15;3,30E+12;0;2531556432;1,51E+17;2,54E+18;1,21E+17;3,23E+15;4,06E+14;8,76E+16;1,35E+17;7,81E+16;9,25E+14;36376606943;;3,4627E+19;;
"SuspFeed""""";9,47E+13;88510168350;1,35E+14;2,84E+13;1,24E+16;32762231194;1,66E+13;8,97E+19;8,21E+16;5,66E+15;1,57E+14;9,14E+14;2,92E+14;1,84E+13;5,88E+15;9,20E+12;0;7,41E+12;4,30E+17;7,42E+18;3,43E+17;9,45E+15;2,68E+15;2,44E+17;3,77E+17;2,23E+17;2,73E+15;3,57E+12;;9,88888E+19;;
"UpoAfri""""";2,31E+17;3,64E+15;3,28E+15;1,72E+16;1,20E+14;1,32E+13;1,63E+16;3,04E+16;6,74E+13;6,43E+15;8,07E+11;1,42E+16;2,11E+13;6,33E+11;1,92E+14;153482768,3;9,35E+16;9,94E+14;8,20E+14;2,11E+15;9,17E+15;2,58E+13;3,69E+15;1,74E+13;2,58E+14;5,06E+15;2,00E+16;1,77E+14;;4,58179E+17;;
"ZooplEater""""";1,15E+17;1,66E+17;1,56E+17;3,60E+16;2,04E+16;1,02E+13;1,57E+16;6,90E+15;1,75E+13;3,71E+13;9,16E+11;2,37E+13;3,90E+11;1042698208;8,89E+11;1944555896;4,90E+16;1,52E+14;2,37E+13;3,67E+14;1,10E+15;4,75E+13;4,09E+14;7,98E+13;5,86E+14;2,36E+15;2,93E+15;6,15E+14;;5,73715E+17;;
