0,0,5,0,7,3,3,9,13,0,0,7,10,6,11,1,16,41,19,6,8,47,44,3,6,13,27,35,23,100,76,56,53,28,65,15,30,67,3,1,0,0
2,1,10,4,11,4,4,13,17,1,2,9,12,10,14,2,23,45,18,5,10,53,42,2,6,10,26,37,11,76,100,68,59,28,57,21,38,72,4,1,1,0
1,0,5,2,6,2,3,10,12,0,1,5,11,6,8,1,15,31,11,3,14,39,28,1,3,7,23,61,8,56,68,100,85,48,38,32,58,84,5,2,1,1
1,0,5,1,6,2,2,8,10,0,1,5,11,4,7,1,10,27,10,3,14,36,26,1,3,7,21,69,8,53,59,85,100,54,37,30,62,81,3,2,0,0
0,0,0,0,1,0,0,3,4,0,0,1,5,1,2,0,3,11,4,1,24,17,11,0,1,3,10,67,5,28,28,48,54,100,16,32,85,42,8,5,3,1
1,0,4,0,5,2,2,9,18,1,0,6,7,9,11,1,14,52,29,12,5,32,55,6,12,11,21,22,11,65,57,38,37,16,100,8,19,48,1,0,0,0
0,0,1,0,3,0,1,4,3,0,0,1,10,2,3,0,9,9,3,1,21,18,8,0,1,8,20,31,7,15,21,32,30,32,8,100,38,23,44,5,4,3
0,0,1,0,2,0,0,3,3,0,0,1,6,1,3,0,7,15,4,1,25,22,14,1,1,3,15,71,4,30,38,58,62,85,19,38,100,49,8,3,1,0
0,0,4,0,5,2,1,6,8,0,0,4,11,4,7,0,12,32,13,4,11,45,32,2,4,8,25,55,9,67,72,84,81,42,48,23,49,100,3,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,2,0,0,20,3,1,0,0,1,4,4,2,3,4,5,3,8,1,44,8,3,100,8,18,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,3,0,1,1,2,2,5,0,5,3,1,8,100,8,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,1,1,1,0,1,1,0,3,0,4,1,0,18,8,100,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,5,8,7,100
