0,0,1,0,15,3,84,12,0,5,3,23,4,5,23,32,100,63,75,67,58,20,7,3,37,13,19,64,3,3,6,18,10,4,4,37,10,0,2,13,5,2,1,35,1,35,56,24
0,0,0,0,8,2,60,7,0,3,1,18,9,3,13,19,63,100,81,67,56,26,10,4,37,28,25,82,7,1,4,13,6,2,4,24,16,1,3,9,7,3,1,36,1,36,70,23
0,0,1,0,11,2,75,9,0,4,2,21,10,4,18,25,75,81,100,80,62,29,15,5,37,21,23,77,10,2,5,17,9,3,6,30,15,1,7,10,7,3,1,32,1,40,60,24
0,0,1,1,12,3,77,12,0,5,3,30,11,5,21,27,67,67,80,100,60,33,14,6,39,29,22,72,8,3,6,20,10,5,8,35,14,1,7,13,6,3,1,26,2,33,50,33
0,0,3,0,18,3,61,14,0,4,6,52,8,7,20,38,58,56,62,60,100,29,11,2,42,21,28,55,6,6,12,41,26,11,1,45,17,0,6,16,5,2,1,28,0,45,61,49
0,0,0,0,3,1,31,3,0,2,2,33,24,2,9,11,20,26,29,33,29,100,36,15,49,59,56,24,20,2,6,17,6,5,11,18,36,4,14,17,25,15,5,33,2,27,35,39
0,0,0,0,1,0,14,1,0,1,1,21,34,1,2,4,7,10,15,14,11,36,100,25,16,21,20,13,47,1,1,10,4,1,13,6,31,14,44,3,29,25,22,28,1,11,12,14
0,0,0,0,0,0,4,0,0,0,0,4,20,0,1,1,3,4,5,6,2,15,25,100,12,16,16,9,24,0,0,1,0,1,11,3,10,21,0,3,35,54,22,5,3,2,4,4
0,0,0,0,7,1,41,7,0,1,2,24,15,4,26,17,37,37,37,39,42,49,16,12,100,40,55,41,10,3,14,8,4,6,0,30,23,3,5,37,15,14,4,28,0,34,47,37
0,0,0,0,1,0,19,3,0,1,1,15,19,1,6,5,13,28,21,29,21,59,21,16,40,100,54,23,9,1,3,6,2,2,9,15,33,4,3,12,14,15,3,25,1,17,32,25
0,0,0,0,2,0,24,3,0,1,1,20,14,1,8,6,19,25,23,22,28,56,20,16,55,54,100,24,9,1,4,7,2,4,2,18,23,4,4,20,16,19,8,31,0,24,40,35
0,0,1,0,9,2,64,8,0,3,2,17,12,3,15,21,64,82,77,72,55,24,13,9,41,23,24,100,5,2,4,14,7,2,10,27,14,3,3,10,8,14,2,31,6,33,58,21
0,0,0,0,1,0,7,1,0,0,0,10,23,0,1,2,3,7,10,8,6,20,47,24,10,9,9,5,100,0,1,6,2,1,3,3,12,5,71,1,29,18,9,15,0,7,6,8
0,2,51,7,33,37,3,23,1,1,55,3,0,25,16,13,3,1,2,3,6,2,1,0,3,1,1,2,0,100,56,10,15,58,1,12,0,0,0,9,0,0,0,1,0,4,2,5
0,1,39,4,42,29,7,26,1,1,33,5,1,19,34,19,6,4,5,6,12,6,1,0,14,3,4,4,1,56,100,17,24,77,1,22,2,0,1,34,1,0,0,1,1,6,4,13
0,0,7,1,22,5,20,15,0,6,9,28,3,7,10,28,18,13,17,20,41,17,10,1,8,6,7,14,6,10,17,100,55,19,8,37,3,0,6,5,1,0,0,9,1,14,11,18
0,0,11,1,45,10,12,32,1,44,14,14,1,10,9,25,10,6,9,10,26,6,4,0,4,2,2,7,2,15,24,55,100,31,3,31,0,0,3,11,0,0,0,2,1,6,5,9
0,0,44,0,44,28,5,27,0,1,29,6,1,12,6,15,4,2,3,5,11,5,1,1,6,2,4,2,1,58,77,19,31,100,0,19,1,0,1,6,1,1,0,1,0,2,3,6
0,0,0,1,1,0,4,1,0,3,1,3,0,1,2,3,4,4,6,8,1,11,13,11,0,9,2,10,3,1,1,8,3,0,100,2,0,0,0,2,0,0,0,0,54,3,2,8
0,0,6,0,27,11,39,40,0,3,11,18,4,17,44,71,37,24,30,35,45,18,6,3,30,15,18,27,3,12,22,37,31,19,2,100,8,1,3,31,3,3,0,8,1,17,23,30
0,0,0,0,1,0,22,1,0,0,0,22,54,1,3,5,10,16,15,14,17,36,31,10,23,33,23,14,12,0,2,3,0,1,0,8,100,4,4,6,51,13,9,33,0,13,19,13
0,0,0,0,0,0,1,0,0,0,0,1,9,0,0,0,0,1,1,1,0,4,14,21,3,4,4,3,5,0,0,0,0,0,0,1,4,100,0,1,12,30,26,2,0,0,0,1
0,0,0,0,1,0,7,1,0,0,0,11,14,0,1,2,2,3,7,7,6,14,44,0,5,3,4,3,71,0,1,6,3,1,0,3,4,0,100,0,5,0,0,14,0,5,3,6
0,0,1,2,12,5,14,18,0,10,10,8,3,9,57,27,13,9,10,13,16,17,3,3,37,12,20,10,1,9,34,5,11,6,2,31,6,1,0,100,3,3,1,4,1,14,11,30
0,0,0,0,0,0,8,0,0,0,0,11,47,0,1,1,5,7,7,6,5,25,29,35,15,14,16,8,29,0,1,1,0,1,0,3,51,12,5,3,100,39,18,19,0,6,8,7
