25,15,9,42,41,33,29,37,23,28,22,17,1,1,1,1,1,28,14,25,22,100,14,43,41,7,25,11,11,11,9,33,12,43,37,6,0,2,0,0,0,0,0
17,32,7,37,25,20,18,33,32,25,37,29,9,12,4,5,15,20,52,28,64,14,100,38,43,15,60,47,74,57,37,21,48,25,31,46,5,21,3,0,0,0,0
31,27,8,56,47,41,31,51,41,38,54,39,2,3,1,1,4,53,57,69,56,43,38,100,69,7,61,25,31,47,22,39,26,37,39,21,1,6,1,0,0,0,0
40,28,21,56,32,21,21,36,41,28,49,30,3,5,2,3,7,25,45,43,56,41,43,69,100,15,54,37,40,43,32,29,38,47,58,26,2,7,1,0,0,0,0
12,6,17,9,6,4,3,7,7,5,7,4,6,23,12,21,39,3,6,3,14,7,15,7,15,100,9,21,27,7,36,4,29,10,12,24,4,9,5,5,2,0,0
18,31,8,42,32,27,23,40,32,26,45,34,5,5,2,2,9,29,76,46,58,25,60,61,54,9,100,37,55,82,23,27,35,26,30,39,2,12,1,0,0,0,0
16,26,14,24,18,12,12,17,28,16,32,19,10,20,9,16,14,11,35,16,48,11,47,25,37,21,37,100,56,35,80,14,63,22,25,50,9,27,7,1,0,0,0
23,28,7,31,22,16,15,22,29,18,32,23,10,14,4,7,19,14,44,21,60,11,74,31,40,27,55,56,100,52,42,16,71,22,27,57,7,18,4,0,0,0,0
12,23,5,31,28,21,23,38,40,38,54,49,5,5,2,2,9,28,79,43,61,11,57,47,43,7,82,35,52,100,21,23,33,22,22,46,2,13,1,0,0,0,0
13,15,19,20,11,11,9,14,18,12,23,14,11,24,12,21,18,10,20,16,36,9,37,22,32,36,23,80,42,21,100,12,55,18,22,40,10,27,9,2,1,0,0
33,26,15,50,59,61,78,61,38,54,39,40,1,2,1,1,2,60,32,48,37,33,21,39,29,4,27,14,16,23,12,100,11,63,24,11,1,4,1,0,0,0,0
20,18,5,26,12,8,8,15,20,11,26,15,10,15,6,10,16,8,32,16,50,12,48,26,38,29,35,63,71,33,55,11,100,20,29,55,7,20,6,1,0,0,0
44,25,14,46,56,50,62,52,39,54,43,42,1,3,1,1,4,45,28,41,36,43,25,37,47,10,26,22,22,22,18,63,20,100,38,14,1,5,1,0,0,0,0
32,31,11,53,27,18,19,31,39,23,30,25,2,3,2,2,4,13,21,18,42,37,31,39,58,12,30,25,27,22,22,24,29,38,100,18,1,7,1,0,0,0,0
15,19,3,18,12,7,10,18,28,16,30,23,13,15,6,8,18,9,38,16,41,6,46,21,26,24,39,50,57,46,40,11,55,14,18,100,7,45,6,1,0,0,0
1,2,0,1,1,1,1,1,2,1,2,1,60,35,71,32,27,0,2,1,3,0,5,1,2,4,2,9,7,2,10,1,7,1,1,7,100,13,46,43,21,1,0
2,10,1,5,3,3,3,5,11,7,12,11,18,30,11,13,14,3,11,5,13,2,21,6,7,9,12,27,18,13,27,4,20,5,7,45,13,100,14,3,1,0,0
1,1,0,1,0,0,0,0,1,1,1,1,43,36,25,28,28,0,1,0,2,0,3,1,1,5,1,7,4,1,9,1,6,1,1,6,46,14,100,23,13,2,1
0,0,1,0,0,0,0,0,0,0,0,0,21,17,53,30,18,0,0,0,0,0,0,0,0,5,0,1,0,0,2,0,1,0,0,1,43,3,23,100,43,5,2
0,0,0,0,0,0,0,0,0,0,0,0,10,8,25,14,8,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,21,1,13,43,100,7,2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,7,100,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,100
