0,3,35,22,7,24,8,27,32,9,19,44,1,33,28,31,47,48,100,19,7,19,22,4,42,11,60,8,30,38,2,3,2,30,1,0,1,4,1,1,5,0,0,0,0
0,0,11,7,2,7,2,7,26,11,11,16,0,12,13,43,22,7,19,100,17,31,29,15,20,24,8,56,25,19,6,5,4,6,1,0,2,5,4,2,5,0,0,0,1
0,0,3,2,1,2,1,3,10,4,3,5,0,4,4,26,9,5,7,17,100,34,5,37,17,54,6,25,3,20,25,46,35,5,9,3,20,43,18,11,11,2,1,0,12
0,0,6,5,1,2,2,5,23,18,7,11,0,8,10,55,25,13,19,31,34,100,13,21,50,41,17,25,9,51,11,12,8,12,2,1,4,12,6,4,16,0,0,0,1
0,1,17,15,6,18,3,15,29,2,17,23,0,25,28,22,27,18,22,29,5,13,100,3,17,11,8,15,39,14,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0
0,0,1,1,0,1,0,1,9,2,1,2,0,2,2,21,4,2,4,15,37,21,3,100,11,37,3,22,2,15,24,29,32,2,10,6,2,23,28,17,8,1,0,0,2
0,0,11,7,2,4,3,8,18,11,10,17,0,16,14,39,42,24,42,20,17,50,17,11,100,26,45,16,17,69,6,7,4,26,2,0,3,11,3,2,12,0,0,0,1
0,0,3,2,0,1,1,2,11,3,3,4,0,4,3,33,10,5,11,24,54,41,11,37,26,100,8,26,9,39,32,41,27,5,8,2,1,49,11,10,14,1,0,0,0
0,0,17,9,2,6,7,16,9,6,12,29,0,16,20,18,42,43,60,8,6,17,8,3,45,8,100,5,13,32,2,2,1,41,0,0,1,4,1,1,6,0,0,0,0
0,0,2,1,0,1,1,1,10,4,2,4,0,3,4,25,7,3,8,56,25,25,15,22,16,26,5,100,13,17,9,9,7,3,3,1,4,9,9,3,4,0,0,0,2
0,1,12,7,4,7,2,9,12,1,15,18,0,20,18,12,28,19,30,25,3,9,39,2,17,9,13,13,100,16,1,1,1,7,0,0,0,1,0,0,1,0,0,0,0
0,0,9,5,1,3,2,6,15,7,8,15,0,11,12,39,33,18,38,19,20,51,14,15,69,39,32,17,16,100,9,12,7,19,3,1,2,19,4,3,17,0,0,0,0
0,0,1,0,0,0,0,0,3,1,1,1,0,1,1,11,2,1,2,6,25,11,1,24,6,32,2,9,1,9,100,69,52,1,32,12,1,44,16,21,4,3,0,0,1
0,0,1,0,0,0,0,0,3,0,0,1,0,1,1,10,2,1,3,5,46,12,1,29,7,41,2,9,1,12,69,100,63,3,31,9,0,58,20,24,8,3,0,0,0
0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,7,1,1,2,4,35,8,1,32,4,27,1,7,1,7,52,63,100,1,38,8,6,52,22,17,3,10,8,2,14
0,0,6,2,0,1,3,5,4,2,4,10,0,5,8,10,19,17,30,6,5,12,2,2,26,5,41,3,7,19,1,3,1,100,1,1,3,3,3,3,30,0,0,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,1,1,9,2,0,10,2,8,0,3,0,3,32,31,38,1,100,24,5,23,17,16,3,48,8,7,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,6,0,2,0,1,0,1,12,9,8,1,24,100,1,5,23,33,3,20,0,0,1
0,0,0,1,0,0,1,1,0,2,1,2,0,0,2,3,2,0,1,2,20,4,0,2,3,1,1,4,0,2,1,0,6,3,5,1,100,20,6,0,6,2,1,0,28
0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,10,2,1,4,5,43,12,1,23,11,49,4,9,1,19,44,58,52,3,23,5,20,100,22,15,8,4,2,1,24
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6,1,0,1,4,18,6,0,28,3,11,1,9,0,4,16,20,22,3,17,23,6,22,100,59,14,6,1,0,9
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,1,0,1,2,11,4,0,17,2,10,1,3,0,3,21,24,17,3,16,33,0,15,59,100,15,5,0,0,0
0,0,1,0,0,0,0,1,1,1,0,1,0,1,2,10,4,2,5,5,11,16,0,8,12,14,6,4,1,17,4,8,3,30,3,3,6,8,14,15,100,1,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,3,3,10,0,48,20,2,4,6,5,1,100,11,14,6
