"TI3";""Phyto"";""Zoopl"";""RedCrab"";""Infau"";""Sard"";""PrimBenthProd"";""Shri"";""ParFish"";""TrigFish"";""Ofish"";""Mojar"";""Robin"";""CatFish"";""Haem"";""Crab"";""BlueWhale"";""BryWhale"";""Polych"";""Snap"";""Group"";""Lion"";;SUM
""CatFish"";"29494404,06";"327709073,26";"1199201,76";"53058940,74";"31533318,61";"2043413,27";"80474,04";"778770,92";"48773,67";"429802,81";"12679,40";"547,65";"2339,58";"5946,80";"13346,97";"1269439,13";"267110,04";"749302,38";"71008,88";"37551,91";"8047,13";;"448813492,99"
""Haem"";"92758886,70";"739160923,07";"2721037,54";"121578812,22";"71940911,80";"3034647,81";"203113,95";"2347395,54";"92444,98";"708179,87";"16529,48";"1492,87";"5946,80";"8913,70";"33724,78";"5279482,95";"1110886,58";"693041,49";"123235,72";"83510,81";"18022,91";;"1041921141,57"
""Crab"";"164363165,57";"1193154907,82";"4370786,90";"195489910,63";"115330859,01";"11548795,94";"476735,59";"4621711,54";"281690,56";"2498643,71";"71844,62";"3141,90";"13346,97";"33724,78";"75871,74";"7107889,70";"1495612,24";"4250247,72";"398720,43";"146000,94";"46771,13";;"1705780379,42"
""BlueWhale"";"2325536682,00";"184698938752,61";"673351313,98";"29405329833,31";"17595498847,38";"363535787,28";"13550574,77";"143224615,43";"9203342,47";"85494422,03";"2414732,44";"67906,15";"253887,83";"1055896,59";"1421577,94";"539920,10";"113607,71";"161345742,12";"11518804,99";"19730769,70";"1063124,01";;"235513190140,82"
""BryWhale"";"489329642,03";"38863573420,86";"141683749,81";"6187345756,61";"3702370820,05";"76493670,49";"2851254,92";"30136720,84";"1936528,59";"17989376,50";"508097,84";"14288,53";"53422,01";"222177,32";"299122,45";"113607,71";"23904,86";"33949692,06";"2423738,47";"4151665,53";"223698,08";;"49555694355,54"
""Polych"";"23030628354,29";"64627399034,27";"243093169,33";"11376748785,93";"6583191983,70";"419273384,30";"43314676,83";"531797440,79";"16022746,02";"105436899,47";"1789929,83";"342174,59";"1348744,28";"1247474,68";"7650445,89";"1452111679,12";"305547228,58";"6283162,99";"20800549,89";"7983754,53";"3785067,99";;"108785796687,30"
""Snap"";"837178279,98";"1922528130,95";"7191287,25";"344058107,08";"195468722,50";"33497434,34";"2106229,68";"23469340,88";"993335,59";"8132266,63";"191905,32";"14657,42";"56807,11";"98588,58";"318976,35";"46075219,96";"9694953,88";"9244688,84";"1249851,94";"279046,95";"186227,74";;"3442034058,95"
""Group"";"1291397756,05";"1798971892,36";"6821854,35";"308677407,79";"195444273,05";"26955312,84";"349450,20";"3350178,93";"229327,28";"2687438,79";"132858,90";"18156,66";"30041,53";"66808,65";"116800,75";"78923078,81";"16606662,11";"3548335,35";"279046,95";"33153,60";"91068,19";;"3734730903,14"
""Lion"";"198398970,84";"365849152,42";"1364242,15";"66666868,83";"37115995,92";"11179786,68";"580951,48";"6133413,31";"303618,33";"2655963,02";"67557,75";"4105,64";"14484,83";"32441,23";"84188,03";"9568116,06";"2013282,71";"3785067,99";"419012,41";"204903,42";"59805,37";;"706501928,42"

