TI3;"ProdPrim""""";"Szoopl""""";"Lzoopl""""";"Crab""""";"Shri""""";"DetFeed""""";"Sdem""""";"Mdem""""";"MdemCom""""";"LdemCom""""";"SbathyPela""""";"MpelaCom""""";"Sard""""";"MesoPelaPrey""""";"Mpela""""";"Lpela""""";"Tuna""""";"PelaSha""""";"Cepha""""";"BalWhale""""";"Lobs""""";"SDeepWatBott""""";"Ldem""""";"VIgDemCom""""";"MbathyPela""""";"SDemShaRay""""";"Turtle""""";"Bird""""";"ToothWhaleDolph""""";"Worm""""";"LbathyPela""""";"Obenth""""";"PredEchino""""";"LDeepWatCom""""";"VIgDem""""";"LDemShaRay""""";;SUM;;;
"MesoPelaPrey""""";88180903994;6,21469E+12;1,06176E+12;1161983507;1,15887E+11;5950050669;1243752301;1649603694;310808254,8;75397437,04;3322865803;3623974804;53262016473;975852444,9;987728561,8;117525668,8;12784584,63;996459,5;123742613,8;36158590,28;50137732,24;137614039,3;33137445,8;7431439,02;22486222,22;4472322,73;12449456,98;34141658,57;12295732,01;128132382,3;5485267,84;1152749812;10330079,18;346908,94;38922,96;349906,99;;7554985997566,97;0,0038;;
"Mpela""""";52890504651;1,00514E+12;1,72604E+11;292533992,9;19132160595;962102905,9;266103382,8;275268661;50739891,14;12424187,29;602562784,4;697253874,1;9425909480;460939995,5;202186219,2;53003817,29;3410612,41;335354,44;26428330,46;8836389,32;10811324,29;31448522,04;4707067,89;1812055,65;5203921,95;806531,88;1508311,78;6868326,12;2267946,5;20230771,4;2315613,36;281987831,5;8077163,08;84019,12;11202,06;90500,03;;1263481626231,76;0,0006;;
"MpelaCom""""";5,1525E+11;1,6067E+12;2,80123E+11;1435360225;34172485707;1537623366;1210311249;533045439,1;86763667,98;22341028,31;1927145107;1832788496;26484334730;4348769764;1792938533;172164223,9;5635307,97;1226327,98;153374700,6;82047872,99;65399479,17;60402674,4;15062889,87;2669927,26;10801367,04;2027611,51;15594497,53;18971507,35;6792374,87;43291473,66;4415815,25;320772998,3;36915087,59;137894,93;22535,18;135692,22;;2478473080202,34;0,0012;;
"Obenth""""";1,91642E+11;37317290942;8186490350;727781911,5;2212447496;44619854,45;780379007,5;240895888,1;23267490,79;4626340,38;602040239,4;427697331,1;6399869521;1844399700;966815422,3;70152656,94;1957480,1;436759,97;95108374,86;43849512,15;180928579,5;83806716,16;14437515,25;1156140,82;8214549,62;2434650,04;11622776,84;13407676,21;4378137,55;30973953,19;20127323,53;64048301,76;275471569,4;458944,34;113862,01;241990,93;;252344012066,98;0,0001;;
"PelaSha""""";66454188,26;976922924,3;167270180,7;329990,2;18606007,26;936171,78;358539,48;300223,04;53016,8;12958,95;689808,91;681293,32;10139850,41;664306,33;479077,77;33878,18;2385,25;244,85;48145,22;20182,42;39644,23;36506,12;9206,51;1390,77;5324,76;1258,49;6198,23;9001,65;3316,74;31484,77;3714,09;181983,32;38205,18;122,17;22,15;91,81;;1244370844,43;0,0000;;
"PredEchino""""";227753853,9;191752492,1;88637247,97;7919731,19;12008123,47;182072,32;8560737,12;4715049,27;747778,21;262846,87;2628614,1;10254191;8536619,61;3443359,73;5769402,2;1665311,88;227846,69;19102,59;3023061,06;55105,47;4626232,86;6748937,93;383348,2;167087,23;332012;141307,07;4106,59;1158948,32;148960,11;10531413,63;335970,11;57389910,29;4903655,71;64656,31;10721,49;15964,47;;665125779,10;0,0000;;
"ProdPrim""""";5,50191E+12;6,09397E+14;1,04029E+14;1,05463E+11;1,13313E+13;5,83511E+11;1,16453E+11;1,60964E+11;30358302196;7338610969;3,1952E+11;3,435E+11;5,15451E+12;70544723196;90669436545;8672580875;1089702862;79745025,91;11184312854;3258233260;4415680241;11876349752;3270537533;645518240,9;2009436050;414056133,5;1235698180;3001966912;1148320564;11281894118;415762450,1;95821031550;546609249,4;24470243,35;2364499,02;29599377,5;;737402172656651,00;0,3716;;
"Sard""""";8,59085E+12;2,54551E+13;4,44593E+12;23277339884;5,46083E+11;24344585674;18772146793;8053086361;1329279755;346968760,6;30468731249;29427038589;4,23083E+11;71016021964;26931169942;2672534220;84896665,54;20279700,83;2299063811;1233971550;629410486,9;802970934,2;207072450,1;39585105,91;151645780,6;27177733,62;203714512;265591723,3;94731760,12;654103068,7;25071391,12;5333224601;34146478,43;1514906,83;172703,24;1657141,19;;39709792562077,90;0,0200;;
"SbathyPela""""";4,26027E+11;1,67791E+12;2,91576E+11;1229020036;34796037624;1605131978;1011727691;512613174,4;87218824,98;22384342,61;1721530449;1713017873;24374984999;3544390190;1377286364;148677882,3;5599811,81;1103694,25;122634302,8;62603587,18;38050706,81;55389144,86;12336293,11;2740232,7;9865022,7;1768964,17;10642120,86;16384571,71;5639896,78;45952371,76;2593409,67;401360159,6;8411565,13;139617,9;18237,81;126947,52;;2468464992052,47;0,0012;;
"SDeepWatBott""""";14845437189;20341021849;3678675673;59943916,94;505802237,4;20004827,12;61097937,69;22793956,53;2850401,04;703602,25;51927323,31;50335562;602228200,6;137614039,3;67389690,08;7472125,67;385964,65;54759,18;8759011,73;2941216,92;13961942,25;10488386,11;1254608,76;247495,94;866177,23;270971,15;671272,18;1734238,78;459405,87;10354423,85;1539978,4;52379197,6;20246813,79;76081,48;15016,31;29633,94;;40582035128,36;0,0000;;
