TI3;"BalWhale""""";"Jwhit""""";"NorPout""""";"Sprat""""";"Mack""""";"Sande""""";"FiltFeedPelaFish""""";"SquidCuttFish""""";"CarnZoopl""""";"GelZoopl""""";"ToothWhale""""";"Jcod""""";"Awhit""""";"Ahadd""""";"Jsaithe""""";"Ashaite""""";"Hake""""";"Lgado""""";"Sgado""""";"Aherr""""";"HorMack""""";"Seal""""";"Acod""""";"MonkFish""""";"Plai""""";"Dab""""";"LRDab""""";"Flou""""";"Sole""""";"LemSole""""";"Witch""""";"TurBrill""""";"Meg""""";"Dragon""""";"SdemFish""""";"Bird""""";"Jherr""""";"HerbOmnZoopl""""";"Spur""""";"Ssha""""";"EpiFauMacroBenth""""";"InFauMacroBenth""""";"Jray""""";"Lcrab""""";"Shri""""";"SMobEpiFai""""";"SInFau""""";"MeioFau""""";"StarRay""""";"ThornRay""""";"SkateRay""""";"Jhadd""""";"Gurna""""";"Hal""""";"Neph""""";"SessEpiBenth""""";"BlueWhit""""";"LdemFish""""";"PlMicroFlo""""";"Phyto""""";"FishLarv""""";"CatFish""""";"BenthMicroFlo""""";;SUM;
"HorMack""""";0,02;0,03;0,03;0,03;0,03;0,02;0,01;0,02;0,03;0,02;0,04;0,02;0,03;0,01;0,04;0,02;0,07;0,01;0,02;0,02;0,03;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,05;0,04;0,02;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,03;0,02;0,03;0,01;0,04;0,01;0,03;0,02;0,07;0,01;0,01;;1,35;
"Seal""""";0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,03;0,01;0,03;0,01;0,03;0,02;0,04;0,02;0,03;0,03;0,05;0,03;0,03;0,03;0,03;0,04;0,06;0,06;0,04;0,04;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;1,2;
"Acod""""";0,01;0,03;0,03;0,03;0,03;0,02;0,01;0,02;0,01;0,01;0,02;0,03;0,03;0,03;0,01;0,02;0,02;0,02;0,02;0,04;0,03;0,03;0,02;0,02;0,04;0,03;0,03;0,04;0,04;0,02;0,02;0,02;0,02;0,03;0,03;0,02;0,04;0,01;0,02;0,02;0,03;0,03;0,01;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,04;0,02;0,04;0,02;0,04;0,01;0,01;0,01;0,01;0,02;0,01;;1,42;
"MonkFish""""";0,01;0,01;0,02;0,01;0,02;0,01;0;0,01;0,01;0;0,01;0,01;0,02;0,02;0;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,01;0,02;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0;0,02;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0;;0,54;
"Plai""""";0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,04;0;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,02;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,05;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,04;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,89;
"Dab""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,03;0,02;0,04;0,02;0,02;0,03;0,03;0,02;0,02;0,02;0,04;0,01;0,02;0,03;0,01;0,01;0,02;0,01;0,02;0,02;0,02;0,04;0,03;0,02;0,02;0,02;0,04;0,04;0,01;0,01;0,01;0,03;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,02;0,02;;1,13;
"LRDab""""";0,01;0,03;0,03;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,02;0,03;0,03;0,01;0,01;0,01;0,03;0,02;0,02;0,01;0,03;0,03;0,05;0,01;0,03;0,02;0,04;0,02;0,02;0,02;0,02;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,03;0,01;0,04;0,01;0,01;0,04;0,03;0,02;0,04;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,02;;1,23;
"Flou""""";0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,02;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0,03;0,02;0,02;0,01;0,06;0,02;0,01;0,01;0,01;0,02;0;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,04;0,01;0,01;0,01;0,02;0,01;0,01;0,01;;0,9;
"Sole""""";0;0,01;0,01;0;0;0,01;0,01;0,01;0;0;0;0,02;0,02;0,01;0;0;0;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0;0,01;0;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,02;0,04;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0;0,01;0,01;;0,61;
"LemSole""""";0;0;0;0;0;0;0;0,01;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,01;0,01;0;0,01;0,02;0;0;0;0;0,01;0,01;0,02;0;0,01;0;0;0,02;0,01;0;0;0;0;0;0;0,01;0,04;0;0;0,01;0,01;0;0,01;0,01;;0,42;
