TI3;"Mamm""""";"Lcod""""";"Scod""""";"LOFish""""";"SOFish""""";"Herr""""";"Cormo""""";"Krill""""";"Shri""""";"OLZoopl""""";"Lcrus""""";"PredBenth""""";"DetPolych""""";"SbenthC""""";"Smollu""""";"DetEchino""""";"OBenthI""""";"Szoopl""""";"Chaet""""";"MicroZoopl""""";"Schyp""""";"Phyto""""";"HeteroN""""";"Baci""""";"Lbivalv""""";"MacroAlga""""";;SUM;;
"Lcod""""";2555,17;9350,61;1688,53;5729,4;14361,87;22213,83;323,06;91127665,16;366962,15;831626,1;1423,32;4951,67;2022863,78;141731,12;25871,18;113327,05;8352,66;133514537,4;6411246,42;227860541,7;77359,42;39279789,92;27471612,47;2891990,87;10484036,93;17751,52;;542709863,24;;
"Lcrus""""";97,21;978,53;173,75;843,36;1905,29;309,98;8,49;1095841,62;4596,54;9239,49;338,02;1284,7;503928,03;4109,64;18546,35;285918,71;28299,82;1557607,06;5141,83;3482627,72;74,94;69928,92;12320723,2;24707,75;655725,12;16642,35;;20089598,41;;
"LOFish""""";1412,44;2864,7;533,2;365,33;2069,78;10993,53;164,27;51340847,31;206317,22;467464,6;613,36;2135,98;1212367,75;81324,05;28650,79;137223,61;8950,28;75205056,64;3558000,15;128390000,6;42486,42;21726038,8;17318809,15;1619034,27;5987086,02;3499,05;;307354309,25;;
"MacroAlga""""";1180,81;3328,41;621,91;1312,14;5867,9;545,65;81,17;40534,55;8388,21;741,5;4538,82;16588,54;2469573,89;59528,86;516428,15;2601892,24;145490,06;27581,93;0;3563447,37;4,01;47750,33;62607402,87;361889,39;2714938,18;15376,35;;75215033,25;;
"Mamm""""";14,88;798,49;136,1;882,77;1833,25;407,3;2,49;439,39;65,7;50,66;44,19;130,99;150,87;26,46;73,83;87,74;12,96;5938,05;8675;22416,21;135,55;104345,3;378,31;2085,8;58,96;1968,01;;151159,28;;
"MicroZoopl""""";26899,45;85447703,12;14599374,68;96292500,41;201187295;92028319,47;3078,86;9346890819;101996295,6;357966077,3;1899615,12;10451895,6;756335249;7328705,09;154552,05;332940470,7;38951373,51;17958574021;15441228087;24375380223;240308217,6;84605613431;37723746269;13121000671;1228616199;7126894,74;;206146094238,52;;
"OBenthI""""";12,96;2610,21;285,03;5593,93;9980,9;80,71;1,66;696912,04;13393,38;14,71;12863,56;58782,56;27909,33;4729,51;2609,43;40681,23;1656,5;11353727,63;923994,22;32459477,93;20,72;14338472,81;3104606,09;162352735;16166,13;242483,43;;225669801,58;;
"OLZoopl""""";81,06;415813,05;71379,56;467464,6;977430,31;440077,54;7,99;191422805,4;969782,1;2658867,77;6719,63;38269,33;3444751,26;260141,11;1708,72;10042;23,53;316822756,2;74139202,75;477288103,1;1033898,22;448030732,2;135374293,6;89830245,74;18870394,35;1977,34;;1762576968,54;;
"Phyto""""";187821,55;22094881,83;3802857,69;24441793,65;51234999,84;33112880,8;21893,23;47618410096;208683932,7;504034573,8;57214,57;194743,91;1427854919;73175236,38;799312,34;219107841;25809251,06;71670034079;4861898448;1,26908E+11;94596275,61;22997240716;22819143280;20685786366;5895828905;143251;;326146115717,73;;
"PredBenth""""";261,98;3094,79;559,26;2669,97;6278,15;953,94;25,71;5713731,85;23212,87;47836,67;1167,91;4384,83;2117955,43;17037,38;60938,52;1146806,53;117565,13;8120701,67;15831,37;17419825,99;231,51;216382,12;51366426,64;87194,34;2862019,47;55295,12;;89408389,16;;
"SbenthC""""";58,2;97440,14;16508,92;111820,58;230266,79;101692,4;8,77;5532433,25;95987,28;357694,03;4109,64;18741,12;183085,3;3127,45;9112,3;108275,31;10404,92;11954581,9;16597557,97;13435959,33;263733,36;89436400,02;25231752,78;8100957,96;215929,28;218272,5;;172335911,53;;
"Schyp""""";108,44;19339,86;3424,48;21243,21;44662,89;23970,19;10,8;63772944,53;235732,28;516949,11;27,25;92,6;1280365,96;95903,04;572,78;167,76;16,57;101007406,9;4929684,41;160205478,4;32225,46;42042789,16;20959349,24;21102983,64;7014974,17;5,34;;423310428,50;;
"Scod""""";353,87;1371,93;249,02;866,45;2139,99;3200,92;45,75;12649456,92;51103,56;115991,78;205,34;727,03;273678,05;19510,55;1985,03;7908,53;741,09;18531125,09;905182,04;31631978,48;11129,58;5493016,66;3637026,8;401592,83;1447334,58;2694,96;;75190616,85;;
"Shri""""";118,26;206416,21;35379,39;232106,87;485201,51;217345,54;15,7;61317180,24;367905,69;1091004,87;3760,8;20891,59;1433918,57;78535,05;4653,82;216366,27;24108,08;103823249,4;36055744,96;152994443,4;530397,63;208683932,7;68252359,35;33226097,85;6059267,25;25164,63;;675385565,65;;
"Smollu""""";103,37;11318,64;1068,86;25069,44;32490,34;2421,6;24,97;20770,72;3619,64;1495,13;11802,22;42656,96;61083,55;5798,74;1436,62;4369,24;3653,2;58186,9;58447,25;180310,72;1002,36;621687,38;8726,13;803439,78;2505,48;1204999,01;;3168488,24;;
"SOFish""""";4399,81;10771,4;1975,38;3104,67;10329,87;35403,53;515,52;160914027,6;646935,35;1466145,46;2078,5;7533,79;3730426,14;251200,14;55697,73;303617,39;23954,17;235710059,3;11185058,85;402374590,1;133988,66;68313333,13;52485858,33;5079582,49;18687972,35;23471,61;;961462031,22;;
"Szoopl""""";10688,5;75101927,27;12829240,45;84605688,72;176782544,5;84025635,42;1261,24;10147134289;103823249,4;356425600,8;1274405,77;7308631,5;477232174,7;9781021,56;74811,72;174917107,2;20436709,73;17817867687;13758882115;26937861032;227266665,6;71670034079;26383285072;9265302116;1085472539;82745,79;;178877819038,85;;
