TI3;"ProdPrim""""";"Szoopl""""";"Lzoopl""""";"Crab""""";"Shri""""";"DetFeed""""";"Sdem""""";"Mdem""""";"MdemCom""""";"LdemCom""""";"SbathyPela""""";"MpelaCom""""";"Sard""""";"MesoPelaPrey""""";"Mpela""""";"Lpela""""";"Tuna""""";"PelaSha""""";"Cepha""""";"BalWhale""""";"Lobs""""";"SDeepWatBott""""";"Ldem""""";"VIgDemCom""""";"MbathyPela""""";"SDemShaRay""""";"Turtle""""";"Bird""""";"ToothWhaleDolph""""";"Worm""""";"LbathyPela""""";"Obenth""""";"PredEchino""""";"LDeepWatCom""""";"VIgDem""""";"LDemShaRay""""";;SUM;
"LDeepWatCom""""";0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,02;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,05;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,02;0,01;;0,54;
"VIgDem""""";0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0;0,01;0,01;0;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0,01;0,02;0,01;0,01;0,02;0,01;;0,32;
"LDemShaRay""""";0,02;0,02;0,02;0,04;0,04;0,02;0,02;0,03;0,03;0,04;0,04;0,03;0,04;0,02;0,02;0,02;0,03;0,02;0,03;0,02;0,02;0,02;0,04;0,04;0,05;0,04;0,01;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,03;;0,97;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"ProdPrim""""";"Szoopl""""";"Lzoopl""""";"Crab""""";"Shri""""";"DetFeed""""";"Sdem""""";"Mdem""""";"MdemCom""""";"LdemCom""""";"SbathyPela""""";"MpelaCom""""";"Sard""""";"MesoPelaPrey""""";"Mpela""""";"Lpela""""";"Tuna""""";"PelaSha""""";"Cepha""""";"BalWhale""""";"Lobs""""";"SDeepWatBott""""";"Ldem""""";"VIgDemCom""""";"MbathyPela""""";"SDemShaRay""""";"Turtle""""";"Bird""""";"ToothWhaleDolph""""";"Worm""""";"LbathyPela""""";"Obenth""""";"PredEchino""""";"LDeepWatCom""""";"VIgDem""""";"LDemShaRay""""";;SUM;
"BalWhale""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0000
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0000
"Cepha""""";0,01;0,07;0,28;0,14;0,19;0;0,18;0,26;0,29;0,03;0,1;0,15;0,19;0,04;0;0,01;0,24;0;0;0;0;0,04;0,06;0,07;0,01;0,17;0;0;0,01;0,13;0;0,31;0;0,01;0;0,04;;3,04;0,0861
"Crab""""";0;0,04;0,14;0;0,15;0;0,14;0,17;0,14;0,06;0,06;0,08;0,13;0,01;0;0,01;0,14;0;0,14;0;0;0,01;0,03;0,04;0;0,08;0;0;0;0,06;0;0,13;0;0;0;0,03;;1,78;0,0504
"DetFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0000
"LbathyPela""""";0;0,01;0;0;0;0;0,01;0,01;0;0;0;0,01;0,01;0;0,01;0;0,01;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;;0,11;0,0031
"LDeepWatCom""""";0;0,01;0;0;0;0;0;0,01;0;0;0;0,01;0,01;0;0;0;0;0;0,01;0;0;0,01;0;0,01;0;0,01;0;0;0;0;0;0,01;0;0;0;0;;0,13;0,0037
"Ldem""""";0;0;0,04;0,03;0,04;0;0,03;0,04;0,07;0,01;0,03;0,04;0,04;0,04;0;0;0,04;0,01;0,06;0;0;0;0;0,03;0,01;0,04;0;0;0;0,01;0;0,06;0;0;0;0,01;;0,69;0,0195
"LdemCom""""";0;0,01;0,03;0,06;0,06;0;0,04;0,07;0,07;0;0,03;0,04;0,04;0;0;0;0,04;0;0,03;0;0;0;0,01;0,01;0;0,03;0;0;0;0,03;0;0,06;0;0;0;0;;0,65;0,0184
"LDemShaRay""""";0;0;0,04;0,03;0,04;0;0,03;0,01;0,03;0;0,03;0,01;0,04;0;0;0;0,03;0;0,04;0;0;0;0,01;0,01;0;0,04;0;0;0,01;0,03;0;0,04;0;0;0;0;;0,49;0,0139
"Lobs""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0000
"Lpela""""";0;0,01;0,01;0,01;0,01;0;0;0;0;0;0,01;0,01;0;0,01;0;0;0,03;0;0,01;0;0;0;0;0;0;0;0;0;0;0,01;0;0,01;0;0;0;0;;0,17;0,0048
"Lzoopl""""";0;0,08;0;0,14;0,19;0;0,14;0,19;0,24;0,03;0,07;0,13;0,18;0,06;0;0,01;0,18;0;0,28;0;0;0,03;0,04;0,04;0,01;0,1;0;0;0,01;0,1;0;0,22;0;0;0;0,04;;2,51;0,0711
"MbathyPela""""";0;0;0,01;0;0,01;0;0;0;0,01;0;0,01;0,01;0,01;0,01;0;0;0;0;0,01;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,13;0,0037
"Mdem""""";0;0,08;0,19;0,17;0,17;0;0,21;0;0,25;0,07;0,06;0,14;0,18;0,01;0,01;0;0,21;0,01;0,26;0;0;0,04;0,04;0,08;0;0,11;0;0;0;0,07;0,01;0,24;0;0,01;0;0,01;;2,65;0,0750
"MdemCom""""";0;0,06;0,24;0,14;0,17;0;0,19;0,25;0;0,07;0,08;0,14;0,17;0,06;0;0;0,17;0,01;0,29;0;0;0,03;0,07;0,06;0,01;0,14;0;0;0;0,1;0;0,26;0;0;0;0,03;;2,72;0,0770
"MesoPelaPrey""""";0;0,01;0,06;0,01;0,03;0;0,03;0,01;0,06;0;0,01;0,01;0,03;0;0;0,01;0,03;0,01;0,04;0;0;0;0,04;0,01;0,01;0,01;0;0;0;0,01;0;0,04;0;0;0;0;;0,5;0,0142
"Mpela""""";0;0,01;0;0;0;0;0,01;0,01;0;0;0;0,01;0,01;0;0;0;0,01;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0,01;0;0;0;0;0;;0,11;0,0031
"MpelaCom""""";0;0,07;0,13;0,08;0,13;0;0,08;0,14;0,14;0,04;0,08;0;0,13;0,01;0,01;0,01;0,13;0;0,15;0;0;0,01;0,04;0,04;0,01;0,08;0;0;0;0,04;0,01;0,11;0;0,01;0;0,01;;1,72;0,0487
"Obenth""""";0,01;0,04;0,22;0,13;0,15;0;0,17;0,24;0,26;0,06;0,07;0,11;0,14;0,04;0;0,01;0,18;0,01;0,31;0;0;0,04;0,06;0,07;0;0,14;0;0;0,01;0,14;0;0;0;0,01;0;0,04;;2,67;0,0756
"PelaSha""""";0;0;0;0;0;0;0,01;0,01;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0,01;0,01;0;0;0;0;0;0;0;0,01;0;0;0;0;;0,1;0,0028
"PredEchino""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0000
"ProdPrim""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0,01;0;0,01;0;0;0;0;;0,04;0,0011
"Sard""""";0;0,07;0,18;0,13;0,17;0;0,14;0,18;0,17;0,04;0,07;0,13;0;0,03;0,01;0;0,14;0;0,19;0;0;0,03;0,04;0,08;0,01;0,1;0;0;0,01;0,07;0,01;0,14;0;0,01;0;0,04;;2,19;0,0620
"SbathyPela""""";0;0,03;0,07;0,06;0,08;0;0,04;0,06;0,08;0,03;0;0,08;0,07;0,01;0;0,01;0,07;0;0,1;0;0;0;0,03;0,03;0,01;0,07;0;0;0,01;0,06;0;0,07;0;0;0;0,03;;1,1;0,0312
"SDeepWatBott""""";0;0,03;0,03;0,01;0,01;0;0,03;0,04;0,03;0;0;0,01;0,03;0;0;0;0;0;0,04;0;0;0;0;0,01;0;0,03;0;0;0;0,01;0;0,04;0;0,01;0;0;;0,38;0,0108
"Sdem""""";0;0,04;0,14;0,14;0,13;0;0;0,21;0,19;0,04;0,04;0,08;0,14;0,03;0,01;0;0,14;0,01;0,18;0;0;0,03;0,03;0,06;0;0,08;0;0;0;0,07;0,01;0,17;0;0;0;0,03;;2;0,0566
"SDemShaRay""""";0;0,04;0,1;0,08;0,11;0;0,08;0,11;0,14;0,03;0,07;0,08;0,1;0,01;0;0;0,13;0;0,17;0;0;0,03;0,04;0,04;0;0;0;0;0,01;0,08;0;0,14;0;0,01;0;0,04;;1,65;0,0467
"Shri""""";0;0,06;0,19;0,15;0;0;0,13;0,17;0,17;0,06;0,08;0,13;0,17;0,03;0;0,01;0,17;0;0,19;0;0;0,01;0,04;0,06;0,01;0,11;0;0;0,01;0,08;0;0,15;0;0;0;0,04;;2,22;0,0629
"Szoopl""""";0;0;0,08;0,04;0,06;0;0,04;0,08;0,06;0,01;0,03;0,07;0,07;0,01;0,01;0,01;0,06;0;0,07;0;0;0,03;0;0,04;0;0,04;0;0;0;0,03;0,01;0,04;0;0,01;0;0;;0,92;0,0261
"ToothWhaleDolph""""";0;0;0,01;0;0,01;0;0;0;0;0;0,01;0;0,01;0;0;0;0,01;0;0,01;0;0;0;0;0;0;0,01;0;0;0;0,01;0;0,01;0;0;0;0,01;;0,14;0,0040
"Tuna""""";0;0,06;0,18;0,14;0,17;0;0,14;0,21;0,17;0,04;0,07;0,13;0,14;0,03;0,01;0,03;0;0;0,24;0;0;0;0,04;0,06;0;0,13;0;0;0,01;0,1;0,01;0,18;0;0;0;0,03;;2,29;0,0649
"Turtle""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0000
"VIgDem""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0000
"VIgDemCom""""";0;0,04;0,04;0,04;0,06;0;0,06;0,08;0,06;0,01;0,03;0,04;0,08;0,01;0,01;0;0,06;0,01;0,07;0;0;0,01;0,03;0;0;0,04;0;0;0;0,03;0,01;0,07;0;0,01;0;0,01;;0,93;0,0263
"Worm""""";0,01;0,03;0,1;0,06;0,08;0;0,07;0,07;0,1;0,03;0,06;0,04;0,07;0,01;0;0,01;0,1;0;0,13;0;0;0,01;0,01;0,03;0;0,08;0;0;0,01;0;0;0,14;0;0;0;0,03;;1,28;0,0363
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35,31;1,0000
