TI3;"UlvRig""""";"MacroBenthHerbDet""""";"MacroBenthOmnMixFeed""""";"ADicLab""""";"Grass""""";"MacroAlga""""";"AMugi""""";"Epiph""""";"MicroMeioBenth""""";"Phyto""""";"Zoopl""""";"MacroBenthOmnFiltFeed""""";"JTPhil""""";"TPhilCom""""";"Bacipl""""";"JMugi""""";"AtherBoy""""";"NektCarnBenth""""";"JSparAur""""";"JDicLab""""";"MacroBenthDet""""";"MacroBenthOmn""""";"ZosOph""""";"ASparAur""""";"Bird""""";;SUM;
"JMugi""""";0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0,02;0;0,02;0;0,02;0;0;0;0,02;;0,1;0,005307856
"JSparAur""""";0;0;0,06;0,02;0;0;0;0;0,06;0;0,06;0;0;0;0;0,02;0,1;0,04;0;0;0,1;0,06;0,06;0,04;0,04;;0,66;0,035031847
"JTPhil""""";0;0;0,08;0,02;0;0;0;0;0,02;0,02;0,1;0,12;0;0,12;0,02;0;0,08;0,06;0;0;0,04;0,02;0,04;0,02;0;;0,76;0,040339703
"MacroAlga""""";0,04;0,06;0,08;0,02;0,04;0;0,02;0,04;0,02;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;;0,34;0,018046709
"MacroBenthDet""""";0;0;0,18;0,1;0;0,02;0;0;0,18;0;0,12;0,08;0,04;0,04;0;0,02;0,2;0,12;0,1;0;0;0,08;0,12;0,08;0,06;;1,54;0,081740977
"MacroBenthHerbDet""""";0,04;0;0,1;0,02;0,04;0,06;0,02;0,04;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,34;0,018046709
"MacroBenthOmn""""";0;0;0,1;0,06;0;0;0;0;0,08;0,06;0,1;0,06;0,02;0,02;0,06;0;0,06;0,06;0,06;0;0,08;0;0,1;0,12;0;;1,04;0,055201699
"MacroBenthOmnFiltFeed""""";0;0;0,12;0,04;0;0;0;0;0,06;0,04;0,12;0;0,12;0,12;0,04;0;0,08;0,08;0;0;0,08;0,06;0,06;0,08;0;;1,1;0,058386412
"MacroBenthOmnMixFeed""""";0,04;0,1;0;0,14;0,04;0,08;0,02;0,04;0,18;0,02;0,12;0,12;0,08;0,06;0,02;0;0,18;0,16;0,06;0;0,18;0,1;0,16;0,1;0;;2;0,106157113
"MicroMeioBenth""""";0;0,02;0,18;0,1;0;0,02;0;0;0;0;0,08;0,06;0,02;0,02;0;0;0,14;0,1;0,06;0;0,18;0,08;0,1;0,08;0,02;;1,26;0,066878981
"NektCarnBenth""""";0;0;0,16;0,06;0;0;0;0;0,1;0,02;0,06;0,08;0,06;0,04;0,02;0;0,14;0;0,04;0;0,12;0,06;0,12;0,06;0;;1,14;0,060509554
"Phyto""""";0;0;0,02;0,02;0;0;0;0;0;0;0,06;0,04;0,02;0,02;0,06;0;0;0,02;0;0;0;0,06;0,02;0,06;0;;0,4;0,021231423
"TPhilCom""""";0;0;0,06;0;0;0;0;0;0,02;0,02;0,08;0,12;0,12;0;0,02;0;0,06;0,04;0;0;0,04;0,02;0,02;0,02;0;;0,64;0,033970276
"UlvRig""""";0;0,04;0,04;0;0,04;0,04;0;0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,2;0,010615711
"Zoopl""""";0;0;0,12;0,1;0;0;0;0;0,08;0,06;0;0,12;0,1;0,08;0,06;0,02;0,14;0,06;0,06;0;0,12;0,1;0,1;0,1;0,06;;1,48;0,078556263
"ZosOph""""";0;0;0,16;0,08;0;0;0;0;0,1;0,02;0,1;0,06;0,04;0,02;0,02;0;0,12;0,12;0,06;0;0,12;0,1;0;0,08;0;;1,2;0,063694268
;;;;;;;;;;;;;;;;;;;;;;;;;;;18,84;1
