TI3;"UlvRig""""";"MacroBenthHerbDet""""";"MacroBenthOmnMixFeed""""";"Grass""""";"MacroAlga""""";"Epiph""""";"MicroMeioBenth""""";"AMugi""""";"ADicLab""""";"Phyto""""";"Zoopl""""";"MacroBenthOmnFiltFeed""""";"JTPhil""""";"TPhilCom""""";"Bacipl""""";"JMugi""""";"AtherBoy""""";"NektCarnBenth""""";"JSparAur""""";"MacroBenthDet""""";"MacroBenthOmn""""";"ZosOph""""";"ASparAur""""";"Bird""""";;SUM;
"MacroAlga""""";0,02;0,02;0,02;0,02;0;0,02;0;0,02;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0,02;0;0;;0,17;0,008362027
"MacroBenthDet""""";0;0,04;0,17;0;0;0,04;0,19;0,02;0,06;0;0,13;0,06;0,02;0,02;0;0,02;0,19;0,1;0,1;0;0,06;0,1;0,04;0,06;;1,44;0,070831284
"MacroBenthHerbDet""""";0,02;0;0,15;0,02;0,02;0,04;0,06;0,04;0,06;0;0;0,02;0;0;0;0;0,04;0,02;0;0,04;0;0,02;0,02;0;;0,58;0,028529267
"MacroBenthOmn""""";0;0;0,08;0;0;0,02;0,06;0,02;0,04;0,06;0,08;0,08;0,04;0,02;0,06;0;0,04;0,06;0,04;0,06;0;0,08;0,08;0;;0,96;0,047220856
"MacroBenthOmnFiltFeed""""";0;0,02;0,13;0;0;0;0,06;0;0,06;0,06;0,15;0;0,15;0,13;0,06;0;0,08;0,1;0;0,06;0,08;0,06;0,1;0;;1,31;0,064436793
"MacroBenthOmnMixFeed""""";0,02;0,15;0;0,02;0,02;0,08;0,19;0,08;0,08;0,02;0,13;0,13;0,08;0,06;0,02;0;0,21;0,19;0,06;0,17;0,08;0,19;0,06;0;;2,04;0,100344319
"MicroMeioBenth""""";0;0,06;0,19;0;0;0,04;0;0,04;0,08;0;0,08;0,06;0,02;0,02;0;0;0,15;0,1;0,06;0,19;0,06;0,1;0,04;0,02;;1,33;0,065420561
"NektCarnBenth""""";0;0,02;0,19;0;0;0,04;0,1;0,04;0,02;0,02;0,08;0,1;0,08;0,06;0,02;0;0,17;0;0,04;0,1;0,06;0,13;0,04;0;;1,33;0,065420561
"Phyto""""";0;0;0,02;0;0;0;0;0;0,02;0;0,06;0,06;0,04;0,02;0,06;0;0;0,02;0;0;0,06;0,02;0,06;0;;0,46;0,02262666
"TPhilCom""""";0;0;0,06;0;0;0;0,02;0;0;0,02;0,08;0,13;0,13;0;0,02;0;0,06;0,06;0;0,02;0,02;0,02;0,02;0;;0,67;0,032956222
"UlvRig""""";0;0,02;0,02;0,02;0,02;0,02;0;0,02;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0,02;0;0;;0,17;0,008362027
"Zoopl""""";0;0;0,13;0;0;0,02;0,08;0,02;0,04;0,06;0;0,15;0,13;0,08;0,06;0,02;0,15;0,08;0,06;0,13;0,08;0,1;0,08;0,06;;1,54;0,075750123
"ZosOph""""";0,02;0,02;0,19;0,02;0,02;0,06;0,1;0,06;0,02;0,02;0,1;0,06;0,04;0,02;0,02;0;0,15;0,13;0,06;0,1;0,08;0;0,04;0;;1,35;0,066404329
;;;;;;;;;;;;;;;;;;;;;;;;;;20,33;1
