"TI3";""MarMamm"";""Tuna"";""PelaSha"";""PelaPred"";""Spela"";""Squid"";""Zoopl"";""Bird"";""BenthFish"";""FlatFish"";""PhytoEater"";""Mull"";""Crab"";""Scrus"";""Turtle"";""Cepha"";""GastroBivalv"";""Anne"";""Echino"";""BenthAlga"";""BillFish"";""BenthPred"";""DemSha"";""GroupSnap"";""Ray"";""Spar"";""BenthFeed"";""Shri"";""MeioBenth"";""Phyto"";;SUM
""PelaPred"";"10109477,90";"20002190,19";"114871,47";"2481086,54";"3214454208,99";"362609904,80";"7795768606,06";"497270,29";"1534840,08";"1475038,74";"4850783881,82";"45024664,13";"12504279,21";"202018160,55";"385857,90";"26661444,77";"581222801,67";"25500969,58";"9440830,44";"207006395,83";"791585,51";"80096,49";"82496,94";"195694,51";"26685,05";"3231354,42";"12108562,33";"76762092,41";"25940933,75";"4948196990,27";;"22437013272,64"
""Spela"";"4233232639,64";"20790999147,74";"23615002,91";"4178790471,69";"268077398288,25";"59822122837,60";"482034879008,19";"133588012,08";"652074779,24";"244179445,79";"276865931630,99";"3056349020,98";"3596674146,69";"16429397750,87";"78033242,93";"5127373858,71";"38217874694,73";"2737889869,44";"1163471808,99";"42880912482,65";"130279557,60";"53140670,60";"2061784,70";"51577546,60";"15336663,75";"564801113,26";"2718341546,64";"5149171080,72";"4340071003,25";"1158681477499,81";;"2402051046607,05"
""Squid"";"567251387,97";"2232032997,61";"3545557,58";"398870895,28";"50618719324,13";"4267831359,68";"150798865511,32";"9170828,02";"37855846,29";"11828854,61";"89155299680,23";"798032962,37";"343417488,89";"4467942249,05";"4786052,80";"231085165,97";"10322578784,48";"533452926,62";"306776421,62";"1797604163,74";"19999938,97";"4097476,52";"619539,43";"3543321,26";"1254799,98";"36413151,73";"141997170,51";"1355371837,86";"627891927,31";"55520199711,97";;"374618337333,81"
""Zoopl"";"12530201675,21";"69659290680,66";"66863826,46";"14811960351,51";"704512515473,51";"260470767701,38";"318952944474,33";"567665228,91";"2839766620,39";"1191339240,75";"162566090252,45";"4551185208,33";"13525336140,11";"17773192271,30";"346673254,54";"24537800662,73";"52201049002,18";"6115330386,45";"654102270,58";"207027843049,61";"371469119,57";"208563126,67";"6099366,41";"219071815,90";"61033413,54";"2518736778,12";"12577734597,52";"7637887640,82";"13008191598,95";"5397546384324,71";;"7309057089553,59"
""Bird"";"957932,63";"3311723,55";"6783,20";"546997,32";"113036010,22";"9170828,02";"328648290,42";"16628,16";"100005,13";"57515,10";"197205041,99";"1810642,08";"790174,54";"10616175,54";"12164,92";"607321,65";"23305252,75";"2092254,93";"1097913,35";"4771009,30";"39850,63";"11264,70";"4500,40";"6838,94";"4609,81";"118085,54";"438020,91";"3213635,40";"2487228,62";"106259685,32";;"810744385,06"
""BenthFish"";"5018813,10";"18258258,01";"51590,78";"3069680,17";"1003191968,07";"68828811,43";"2989228021,46";"181827,51";"5387623,74";"5217324,41";"1805464793,85";"21823166,38";"32065367,50";"227110021,11";"428683,76";"18027262,53";"282655912,24";"184168658,99";"74697689,35";"185238338,98";"197191,11";"1743785,04";"578554,06";"135975,10";"503751,05";"5660042,71";"23191551,69";"68464451,61";"169519387,41";"749377369,83";;"7949485872,99"
""FlatFish"";"4075607,17";"15364103,73";"28339,18";"2507565,86";"319311582,95";"18280957,13";"1065935110,15";"88886,97";"4434725,75";"3585616,11";"622094088,26";"10811932,47";"24108860,48";"164048951,99";"317417,52";"11248950,91";"124590090,75";"129087280,04";"59815549,41";"122548163,58";"134000,26";"640625,25";"238523,82";"67430,75";"309890,60";"4503169,40";"17031295,00";"35997858,72";"149215772,49";"193478943,66";;"3103901290,36"
""PhytoEater"";"4490183434,00";"25093466835,01";"23410579,72";"5335862270,00";"234271172918,53";"89155299680,23";"94117210146,16";"197205041,99";"993005636,62";"402531468,87";"44090028402,78";"1460361071,08";"4725364244,18";"5965377452,25";"119274042,12";"8392375974,57";"16546135577,19";"2030976695,04";"253513358,44";"70980144635,27";"128357938,49";"73046445,61";"1042644,66";"76007298,91";"21282495,51";"859950108,55";"4320676987,48";"2423204954,17";"4489901302,10";"1862055513960,22";;"2483091883599,74"
""Mull"";"40055500,05";"214973660,08";"215189,92";"45024664,13";"2351037708,45";"725484511,25";"2395360635,96";"1646038,25";"10911583,19";"6359960,27";"1327600973,71";"22346145,43";"56070003,07";"156901773,21";"1094262,70";"74825852,70";"268664431,45";"90150444,10";"26524379,39";"671968001,41";"1177026,14";"782239,83";"176997,28";"643294,03";"396874,54";"9868907,06";"47908296,04";"51544664,40";"133801095,31";"14829383912,76";;"23562899026,12"
""Crab"";"40869951,80";"143371735,92";"328552,96";"23758130,50";"5256677599,01";"593175662,62";"13525336140,11";"1364846,93";"30462099,13";"26945197,01";"8161992785,39";"106533005,83";"165363557,97";"1177150692,19";"2331282,31";"112108285,29";"1333214950,15";"846476704,03";"365883814,81";"1151094108,51";"1811215,33";"5144072,51";"2066144,58";"779423,21";"2265308,32";"31632377,14";"122945550,55";"316910090,85";"890382100,52";"8700666697,60";;"43139042083,09"
""Scrus"";"269413862,24";"1502829389,15";"1592400,85";"323229056,88";"20220797231,84";"6498825089,53";"14966898754,78";"15441709,88";"181688016,89";"154399013,63";"8676912657,83";"251042837,13";"991284793,42";"3052233484,79";"14431345,21";"946702802,81";"2948616539,72";"3064541958,52";"927439880,91";"9443909584,80";"8650732,84";"14882274,55";"7008547,29";"6384038,33";"10329833,21";"181280025,57";"846165354,31";"982258281,34";"4126894029,85";"133079388063,90";;"213715471592,02"
