TI3;"Cet""""";"SCod""""";"RedFish""""";"Cape""""";"LPelaFeed""""";"PiscSPelaFeed""""";"PlankSPelaFeed""""";"Shri""""";"Lzoopl""""";"HarpSeal""""";"LCod""""";"SPlai""""";"LPlai""""";"Flou""""";"LDemFeed""""";"SDemFeed""""";"LCrus""""";"BenthInv""""";"HoodSeal""""";"GreenHal""""";"GreySeal""""";"Skate""""";"HarbSeal""""";"Bird""""";"Echino""""";"Mollu""""";"Polych""""";"Szoopl""""";"Phyto""""";;SUM
"Flou""""";0,02;0,19;0,02;0,03;0;0,03;0,16;0,14;0,03;0,03;0,14;0,14;0,03;0;0,03;0,17;0,14;0,05;0;0,03;0,03;0;0,02;0;0;0;0,02;0;0,02;;1,48
"GreenHal""""";0;0,02;0,02;0,03;0;0,03;0,03;0,02;0;0;0,02;0,02;0;0,03;0;0,02;0;0,02;0;0;0;0;0;0;0;0;0;0;0;;0,26
"GreySeal""""";0,02;0,02;0;0,02;0;0;0,07;0,07;0,05;0,03;0;0,02;0;0,03;0,02;0,07;0,05;0,03;0,02;0;0;0;0,02;0,03;0,02;0,02;0,05;0;0;;0,66
"HarbSeal""""";0,02;0;0;0;0;0;0,02;0;0,02;0;0;0;0;0,02;0;0,02;0;0;0;0;0,02;0;0;0;0;0;0,02;0;0;;0,12
"HarpSeal""""";0;0,03;0;0;0;0;0,03;0,05;0,02;0;0,02;0,03;0;0,03;0,02;0,03;0,05;0,03;0;0;0,03;0;0;0;0,02;0,02;0,02;0;0;;0,45
"HoodSeal""""";0,02;0;0;0,03;0;0;0,03;0,03;0,03;0;0;0;0;0;0,02;0,02;0;0;0;0;0,02;0;0;0,02;0;0;0;0,02;0;;0,24
"LCod""""";0;0,22;0,03;0,07;0,02;0,07;0,16;0,17;0,09;0,02;0;0,12;0,03;0,14;0,03;0,19;0,14;0,02;0;0,02;0;0;0;0;0;0;0;0;0,02;;1,55
"LCrus""""";0;0,17;0;0;0;0;0,12;0,16;0,05;0,05;0,14;0,1;0,03;0,14;0,03;0,17;0;0,05;0;0;0,05;0;0;0,02;0,02;0,02;0,03;0;0,02;;1,38
"LDemFeed""""";0;0,03;0;0,02;0;0;0,03;0,05;0,02;0,02;0,03;0,03;0;0,03;0;0,05;0,03;0;0,02;0;0,02;0;0;0,02;0;0;0;0;0;;0,41
"LPelaFeed""""";0;0,03;0,02;0,03;0;0,03;0,03;0,03;0,02;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,22
"LPlai""""";0;0,03;0;0;0;0;0;0;0;0;0,03;0,03;0;0,03;0;0,03;0,03;0;0;0;0;0;0;0;0;0;0;0;0,02;;0,22
"Lzoopl""""";0,03;0,12;0,03;0,09;0,02;0,05;0,14;0,17;0;0,02;0,09;0,03;0;0,03;0,02;0,1;0,05;0,03;0,03;0;0,05;0;0,02;0,02;0,02;0,03;0,05;0,03;0;;1,29
"Mollu""""";0;0;0;0;0;0;0;0,03;0,03;0,02;0;0;0;0;0;0;0,02;0,02;0;0;0,02;0;0;0;0,02;0;0,03;0,02;0;;0,21
"Phyto""""";0;0,02;0;0;0;0;0;0;0;0;0,02;0,02;0,02;0,02;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;;0,12
"PiscSPelaFeed""""";0;0,09;0,05;0,09;0,03;0;0,09;0,07;0,05;0;0,07;0,03;0;0,03;0;0,03;0;0,02;0;0,03;0;0;0;0;0;0;0;0;0;;0,69
"PlankSPelaFeed""""";0,03;0,22;0,05;0,14;0,03;0,09;0;0,28;0,14;0,03;0,16;0,09;0;0,16;0,03;0,17;0,12;0,05;0,03;0,03;0,07;0;0,02;0,03;0;0;0,03;0,02;0;;2,03
"Polych""""";0,02;0;0;0;0;0;0,03;0,05;0,05;0,02;0;0;0;0,02;0;0,03;0,03;0,02;0;0;0,05;0;0,02;0,02;0,02;0,03;0;0,02;0;;0,43
"RedFish""""";0;0,05;0;0,05;0,02;0,05;0,05;0,03;0,03;0;0,03;0,02;0;0,02;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;;0,38
"SCod""""";0;0;0,05;0,07;0,03;0,09;0,22;0,24;0,12;0,03;0,22;0,14;0,03;0,19;0,03;0,21;0,17;0,03;0;0,02;0,02;0;0;0;0;0;0;0;0,02;;1,95
"SDemFeed""""";0,02;0,21;0;0,03;0;0,03;0,17;0,21;0,1;0,03;0,19;0,14;0,03;0,17;0,05;0;0,17;0,05;0,02;0,02;0,07;0;0,02;0,03;0;0;0,03;0;0,02;;1,83
"Shri""""";0,02;0,24;0,03;0,12;0,03;0,07;0,28;0;0,17;0,05;0,17;0,12;0;0,14;0,05;0,21;0,16;0,07;0,03;0,02;0,07;0;0;0,03;0,02;0,03;0,05;0,03;0;;2,22
"Skate""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SPlai""""";0;0,14;0,02;0,03;0;0,03;0,09;0,12;0,03;0,03;0,12;0;0,03;0,14;0,03;0,14;0,1;0,05;0;0,02;0,02;0;0;0;0;0;0;0;0,02;;1,17
"Szoopl""""";0,02;0;0;0,02;0;0;0,02;0,03;0,03;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0,02;0,02;0;0;;0,17
