"TI3";""Seal"";""Aherr"";""Jherr"";""Asprat"";""Acod"";""Jcod"";""Jsprat"";""Bmacrof"";""Pmacrof"";""Mesozoopl"";""Microzoopl"";""Baci"";""Sprphyto"";""Suphyto"";""Bmeiof"";;SUM
""Sprphyto"";"0,01";"0,02";"0,02";"0,01";"0,02";"0,02";"0,02";"0,07";"0,10";"0,03";"0,14";"0,08";"0,07";"0,06";"0,05";;"0,72"
""Suphyto"";"0,01";"0,02";"0,02";"0,02";"0,01";"0,01";"0,02";"0,01";"0,11";"0,09";"0,15";"0,10";"0,06";"0,08";"0,00";;"0,71"
""Bmeiof"";"0,00";"0,01";"0,01";"0,00";"0,01";"0,01";"0,01";"0,06";"0,01";"0,00";"0,00";"0,00";"0,02";"0,00";"0,05";;"0,21"


"TO3";""Seal"";""Aherr"";""Jherr"";""Asprat"";""Acod"";""Jcod"";""Jsprat"";""Bmacrof"";""Pmacrof"";""Mesozoopl"";""Microzoopl"";""Baci"";""Sprphyto"";""Suphyto"";""Bmeiof"";;SUM
""Seal"";"0";"0,00";"0,00";"0,00";"0,03";"0,03";"0,00";"0,00";"0,00";"0,03";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,10"
""Aherr"";"0,00";"0";"0,20";"0,03";"0,10";"0,10";"0,10";"0,13";"0,00";"0,03";"0,00";"0,00";"0,00";"0,03";"0,00";;"0,73"
""Jherr"";"0,00";"0,20";"0";"0,03";"0,10";"0,10";"0,10";"0,13";"0,00";"0,03";"0,00";"0,00";"0,00";"0,03";"0,00";;"0,73"
""Asprat"";"0,00";"0,03";"0,03";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,07"
""Acod"";"0,03";"0,10";"0,10";"0,00";"0";"0,10";"0,07";"0,10";"0,00";"0,03";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,53"
""Jcod"";"0,03";"0,10";"0,10";"0,00";"0,10";"0";"0,07";"0,10";"0,00";"0,03";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,53"
